query_id,pair_id,core,transform,lhs_index,rhs_index,lhs_hash,rhs_hash,lhs_substituent,rhs_substituent,lhs_parent_heavy_atoms,rhs_parent_heavy_atoms,seed_hash,target_hash,seed_smiles,target_smiles
4fadeb24f6dfdf98483dd4cdadf3f5281ccddb3ec9020206c09fcae21bb9789a,58382c1a19c6cd148cabd06cd5abaab112728b7db64e40063967a313533dab96,O=C(NCCCNc1ccnc(C2CC2)n1)C1(C[*:1])CC1,CC(C)[*:1]>>COC[*:1],35433,48175,37c2fd2a3f494e1f140cd8927f68ea3300457007de901708b42759e28d519929,c3920fba3ebe90893a4bda1bdb79f0fe354c36d1d17f1dd31481f59dfd771062,CC(C)[*:1],COC[*:1],23,23,37c2fd2a3f494e1f140cd8927f68ea3300457007de901708b42759e28d519929,c3920fba3ebe90893a4bda1bdb79f0fe354c36d1d17f1dd31481f59dfd771062,CC(C)CC1(C(=O)NCCCNc2ccnc(C3CC3)n2)CC1,COCCC1(C(=O)NCCCNc2ccnc(C3CC3)n2)CC1
e286873db608cd000ad92b8951b09bd03609d78dac2c88de5cb4ff3d91278172,36c69b9375499c4cb51b1f9e5c7c621faef8b0fa10c859bbf87fce41533cb449,CCCCC(=O)N1CCOCC1CNC(=O)c1ccccc1[*:1],CC(C)[*:1]>>CCC[*:1],9177,34851,273cf5bd5e27201f34c50e489631be4f43d333fd09d88c9cf4cfe47e989e0667,679aad79be99c30e4a180e91264419ad7e29492b0f0bec0bb9b86bbab1293319,CC(C)[*:1],CCC[*:1],25,25,273cf5bd5e27201f34c50e489631be4f43d333fd09d88c9cf4cfe47e989e0667,679aad79be99c30e4a180e91264419ad7e29492b0f0bec0bb9b86bbab1293319,CCCCC(=O)N1CCOCC1CNC(=O)c1ccccc1C(C)C,CCCCC(=O)N1CCOCC1CNC(=O)c1ccccc1CCC
a9205035671846adf92f9bef6aaae6da50de733c19bf3ff2a6e434875830b5fc,42203cd0c69282e6e6bab126252f491f8925d3106562602e55f9d9bc71d99f71,O=C(COc1ccccc1[*:1])N1CCCO1,N#C[*:1]>>O=[N+]([O-])[*:1],18431,37257,55cc86699c3131cff36bcbc8d21020a826c9161b21b0709e427da65e11b1928f,6bc76e8a5d79aa297015877a44365211a1dfccea72eca7fbb1f212e0daf853ea,N#C[*:1],O=[N+]([O-])[*:1],17,18,55cc86699c3131cff36bcbc8d21020a826c9161b21b0709e427da65e11b1928f,6bc76e8a5d79aa297015877a44365211a1dfccea72eca7fbb1f212e0daf853ea,N#Cc1ccccc1OCC(=O)N1CCCO1,O=C(COc1ccccc1[N+](=O)[O-])N1CCCO1
8e856b6bdc528e1502bb286e30162a360dc83be069e444deb7fe3845d087be0c,5c1fde7c30a1b36df24b7516d1e696a4fb8bd09da89d154d7912d286a08d566a,CC(Nc1ncnc2ccsc12)(C1CC1)[*:1],C[*:1]>>O=C(O)[*:1],19652,14438,ceb7f13814429a5433f7b9633ea8030bd1d007f83f1855d4b2f763892a365727,13016fbdc63ea81dea3292794fb4ce58209279e4f9a568f03bab7d2d0beba0ad,C[*:1],O=C(O)[*:1],16,18,ceb7f13814429a5433f7b9633ea8030bd1d007f83f1855d4b2f763892a365727,13016fbdc63ea81dea3292794fb4ce58209279e4f9a568f03bab7d2d0beba0ad,CC(C)(Nc1ncnc2ccsc12)C1CC1,CC(Nc1ncnc2ccsc12)(C(=O)O)C1CC1
3d25e880db8423217998fd276bd0c85f1d1d1bdaaa3be66a0978ca8011c3d05b,e511d209e19a92dbfb23bcd716da3d20f6ed61d8bff8754080e154400acda211,CC1CC(COC(=O)Cc2ccccc2[*:1])CCO1,CO[*:1]>>C[*:1],46602,34974,e56ec58d6a6c97ac4ccaa8aba2b57cfb50e999799bdb7a417f8e362a83d2ad0b,1c6326b5906fc0a84ab4cdb0ceb129c40e6137bb41485730dc30f08d53bfe0a8,CO[*:1],C[*:1],20,19,e56ec58d6a6c97ac4ccaa8aba2b57cfb50e999799bdb7a417f8e362a83d2ad0b,1c6326b5906fc0a84ab4cdb0ceb129c40e6137bb41485730dc30f08d53bfe0a8,COc1ccccc1CC(=O)OCC1CCOC(C)C1,Cc1ccccc1CC(=O)OCC1CCOC(C)C1
268a98b95e1f2624089bc84a3d6818655e631061492309452be26e270f72c1bd,00bfeb5522a4da6f77c48d49c2679181a47eea776bd22dcb46b4bb4f2b23c959,Cc1cc(C(=O)N(C)CC2CC[NH+]2[*:1])nn1C(C)C,CC[*:1]>>OCCC[*:1],13434,35122,58cc4c8b1e4299a33d86cb116913c336897a7f735d389c6b7fb33fb3620b23df,80e1cdde29eb382f8dfd7b896a1e39ed8064c2143ac595f0432b329b8b75ce13,CC[*:1],OCCC[*:1],20,22,58cc4c8b1e4299a33d86cb116913c336897a7f735d389c6b7fb33fb3620b23df,80e1cdde29eb382f8dfd7b896a1e39ed8064c2143ac595f0432b329b8b75ce13,CC[NH+]1CCC1CN(C)C(=O)c1cc(C)n(C(C)C)n1,Cc1cc(C(=O)N(C)CC2CC[NH+]2CCCO)nn1C(C)C
c0fb2873eafc9ea01a93ba3e2f9ed556c6edaea4557c790a2c5decab499b489c,05e184a6c702665cd7c3c2f231d1ff4cfffe230c330e63489e37b128089efe73,CC=CCN1CC(=O)NC([*:1])C1=O,CCC[*:1]>>C[*:1],2278,31902,2108be4a03709d190472b8a919b8fb3d4470f1b0f35d093276bd42ee235b3507,642f5c87c1a76bca7c5d913acd5bfbd0160dd6c69e69ceac15d43ef7f2b0da4b,CCC[*:1],C[*:1],15,13,2108be4a03709d190472b8a919b8fb3d4470f1b0f35d093276bd42ee235b3507,642f5c87c1a76bca7c5d913acd5bfbd0160dd6c69e69ceac15d43ef7f2b0da4b,CC=CCN1CC(=O)NC(CCC)C1=O,CC=CCN1CC(=O)NC(C)C1=O
0752ae2023d31fe5ce693cfa670ddbee0dfbb8d5da44cd2c37bfbd3e368bcba2,a70c7b044932fcf3b12d1c4286d1418d71c456800bc7e7d330e4ffc84aa7de05,NCC1(CC(=O)N(C2CCS(=O)(=O)C2)[*:1])CCC1,C[*:1]>>OCC[*:1],4975,13462,54192ff5b82f9a43b1d84cfe52fa39020ff305a6a16f7095139a530e0e592632,a96c5c89a9020052c1feeec016cf8cd2d1643dfee33fb07a18d8116d1d6128e1,C[*:1],OCC[*:1],18,20,54192ff5b82f9a43b1d84cfe52fa39020ff305a6a16f7095139a530e0e592632,a96c5c89a9020052c1feeec016cf8cd2d1643dfee33fb07a18d8116d1d6128e1,CN(C(=O)CC1(CN)CCC1)C1CCS(=O)(=O)C1,NCC1(CC(=O)N(CCO)C2CCS(=O)(=O)C2)CCC1
8aee61e868490320242bdb81e1a5de7dd571874f466191635e3ec543a64a65ac,f5ef07f1d071a1e57733a0125ddcb469d583b1909aa0ad537f4aa6249a359180,CC1(CSC2N=NC(=O)N2[*:1])CC1(Cl)Cl,CCCC[*:1]>>CCC[*:1],32035,3459,302f3b9d581ff781fc744d65167fa64ceba31894643b885862a8de60728381e2,436fa606c80def97bd5b1fe4cc1a4d4b4ee005d714cc95d1005fd987e2c7e498,CCCC[*:1],CCC[*:1],18,17,302f3b9d581ff781fc744d65167fa64ceba31894643b885862a8de60728381e2,436fa606c80def97bd5b1fe4cc1a4d4b4ee005d714cc95d1005fd987e2c7e498,CCCCN1C(=O)N=NC1SCC1(C)CC1(Cl)Cl,CCCN1C(=O)N=NC1SCC1(C)CC1(Cl)Cl
5bd487227681b6ed0e77ff3496b19dacf4e91a5a12285214319e1951bb9e9ea7,1c3fe729429ba84605bdc206ce37a09061467ebb3b1d24ed96143251ef7ac7ad,CC1CN(C(=O)CC[*:1])CC1CCNC(=O)Cn1ncnn1,C=C[*:1]>>COC[*:1],49561,48599,32f5a55e75d890e38dce37eb75f4a379d3793d6633de9dd904e73fa73dea4f7f,53c032eba9a232557b8ef190dc97ae201305f9ea7673df9632eb703a3bb45a54,C=C[*:1],COC[*:1],23,24,32f5a55e75d890e38dce37eb75f4a379d3793d6633de9dd904e73fa73dea4f7f,53c032eba9a232557b8ef190dc97ae201305f9ea7673df9632eb703a3bb45a54,C=CCCC(=O)N1CC(C)C(CCNC(=O)Cn2ncnn2)C1,COCCCC(=O)N1CC(C)C(CCNC(=O)Cn2ncnn2)C1
