space,rank_band,pairs_x,queries,morgan_tanimoto_mean,morgan_tanimoto_ci_low,morgan_tanimoto_ci_high,same_scaffold_mean,same_scaffold_ci_low,same_scaffold_ci_high,single_cut_mmp_mean,single_cut_mmp_ci_low,single_cut_mmp_ci_high,absolute_heavy_atom_delta_mean,absolute_heavy_atom_delta_ci_low,absolute_heavy_atom_delta_ci_high,descriptor_rms_mean,descriptor_rms_ci_low,descriptor_rms_ci_high,normalized_latent_distance_mean,normalized_latent_distance_ci_low,normalized_latent_distance_ci_high,pairs_y,distance_vs_tanimoto_spearman,distance_vs_descriptor_rms_spearman,distance_vs_heavy_atom_delta_spearman
graph_256,1,512,512,0.3967970727784147,0.3785867034514188,0.4132620656081771,0.46484375,0.423828125,0.505859375,0.189453125,0.156201171875,0.22265625,1.296875,1.177734375,1.41796875,0.3639810833481101,0.3457883900964039,0.38264734749665824,0.5059125597763341,0.4920548105314083,0.5190190014771361,12800,-0.5215083557992441,0.4885156154180246,0.23878165792501205
graph_256,2-5,2048,512,0.29456522037409283,0.2850507314489216,0.3044691043306705,0.259765625,0.22947998046875,0.29052734375,0.04443359375,0.0322265625,0.056640625,1.654296875,1.57177734375,1.74564208984375,0.44872115201693197,0.43161333023952847,0.46459445187852,0.6222005728632212,0.6115800540903364,0.6324184685217915,12800,-0.5215083557992441,0.4885156154180246,0.23878165792501205
graph_256,6-10,2560,512,0.2502660510205601,0.24368724528483593,0.25772899688100903,0.162890625,0.1359375,0.188671875,0.016015625000000002,0.010537109375000001,0.022656250000000003,1.7828125,1.703076171875,1.8765917968749999,0.49211032609849736,0.4753527491311035,0.5086297814730203,0.6896512932959011,0.6807015010347823,0.6978010990339679,12800,-0.5215083557992441,0.4885156154180246,0.23878165792501205
graph_256,11-25,7680,512,0.2240447813045383,0.2192722647657104,0.2289821459811523,0.1,0.08267903645833334,0.12031575520833335,0.00625,0.0041666666666666675,0.008723958333333334,1.9658854166666666,1.8984342447916667,2.0415462239583335,0.5400863055100698,0.5256099063921944,0.5561199195729655,0.7450967529128927,0.7372328086542742,0.7529331607954615,12800,-0.5215083557992441,0.4885156154180246,0.23878165792501205
graph_256,random,512,512,0.11829214801992244,0.11500148535768825,0.12215745464583053,0.0,0.0,0.0,0.0,0.0,0.0,4.9609375,4.59169921875,5.334033203125,1.3144940540221064,1.2621703500753312,1.3638849515787916,1.3881104483978854,1.370748995024086,1.404073225303276,12800,-0.5215083557992441,0.4885156154180246,0.23878165792501205
mean_node_128,1,512,512,0.3963921636591421,0.37986395919117527,0.4138595331942641,0.486328125,0.443359375,0.533203125,0.18359375,0.152294921875,0.21875,1.892578125,1.687451171875,2.107470703125,0.5277635301143608,0.49295037121150864,0.5639725354323131,0.4299913264577331,0.41623179109817815,0.4433706512256069,12800,-0.5111032091045778,0.4119761608713614,0.2772395879509742
mean_node_128,2-5,2048,512,0.2993079847651885,0.28918532771126476,0.3089968097142714,0.2939453125,0.26219482421875,0.32763671875,0.0537109375,0.04248046875,0.06640625,2.630859375,2.449658203125,2.83546142578125,0.6839125100641092,0.6520681354512338,0.7167688846245737,0.5399107056958192,0.5286237024749537,0.5514196041836511,12800,-0.5111032091045778,0.4119761608713614,0.2772395879509742
mean_node_128,6-10,2560,512,0.2547858896012352,0.24761752142870536,0.26252507664687236,0.19687500000000002,0.168359375,0.22345703125,0.017578125,0.010937500000000001,0.025390625,2.9734375,2.787880859375,3.1786328125,0.7593955483877292,0.7303157759954295,0.7927666187311643,0.6037346328933628,0.5925751359280537,0.6155169578037579,12800,-0.5111032091045778,0.4119761608713614,0.2772395879509742
mean_node_128,11-25,7680,512,0.22725803440693684,0.22221374855529913,0.23269782374965506,0.12083333333333333,0.10078125,0.14271158854166666,0.007421875,0.0049479166666666664,0.01015950520833333,3.3218750000000004,3.123815104166667,3.5250716145833336,0.8304524771568899,0.8020075901165623,0.8631186360116962,0.6575667277134403,0.6463070747365355,0.6698089609937504,12800,-0.5111032091045778,0.4119761608713614,0.2772395879509742
mean_node_128,random,512,512,0.11533927106132355,0.11160380581366974,0.11897112650484441,0.0,0.0,0.0,0.0,0.0,0.0,4.892578125,4.51748046875,5.265771484375,1.3194340428656406,1.2697849607537914,1.374658991003259,1.3876926034401365,1.35912560245151,1.416438121328146,12800,-0.5111032091045778,0.4119761608713614,0.2772395879509742
hybrid_384,1,512,512,0.4034210289189869,0.3877856963113191,0.42116066597601765,0.4921875,0.44921875,0.533203125,0.193359375,0.162109375,0.232421875,1.4296875,1.308544921875,1.568408203125,0.39397562244455964,0.37311260748532316,0.4147732031049268,0.5009857819171384,0.48670677306337395,0.5164161066553824,12800,-0.5340452319382326,0.5065408586746238,0.257894131673874
hybrid_384,2-5,2048,512,0.3023309720094356,0.2930133166684464,0.3120102948460827,0.28662109375,0.25341796875,0.3193359375,0.048828125,0.0361328125,0.0615234375,1.78173828125,1.6923583984375,1.8833251953125,0.48222536545241834,0.4645961521671664,0.49941059433235296,0.6209041058821323,0.6088103908534321,0.6320533374023646,12800,-0.5340452319382326,0.5065408586746238,0.257894131673874
hybrid_384,6-10,2560,512,0.2558742833074117,0.24863163236544955,0.26391565787912064,0.181640625,0.15390625000000002,0.210166015625,0.01640625,0.010156250000000002,0.022656250000000003,2.034375,1.929296875,2.138291015625,0.5389870197746156,0.5217809188999885,0.5572605332545159,0.6895333217492502,0.6793566634340074,0.6985643281961792,12800,-0.5340452319382326,0.5065408586746238,0.257894131673874
