space,transform,train_examples,train_cores,train_resultant_length,train_loo_alignment_mean,train_loo_alignment_median,median_train_step_norm,validation_examples_unseen_core,validation_alignment_mean,validation_alignment_median,null_alignment_mean,null_alignment_median
graph_256,C=C[*:1]>>COC[*:1],2,2,0.970453188653749,0.8835587827364579,0.8835587827364579,6.706314999521043,6,0.7358181873507822,0.7206645637564161,-0.027486830247316418,-0.0838798567280909
graph_256,CC(C)[*:1]>>CCC[*:1],2,2,0.8292084916464331,0.37517344523710483,0.37517344523710483,3.026103363803341,33,0.59515565680862,0.6026975463172766,-0.007293340689668209,0.02485841743500586
graph_256,CC(C)[*:1]>>COC[*:1],2,2,0.8655409172354276,0.4983221588174906,0.4983221588174906,6.988063146779382,12,0.760070627057016,0.7711797362063298,-0.05395037998181281,-0.03667975751634811
graph_256,CCCCC[*:1]>>CCCC[*:1],2,2,0.9495663720342051,0.8033525897964049,0.8033525897964049,2.196350152115119,1,0.8802082141607205,0.8802082141607205,0.02427588631425912,0.02427588631425912
graph_256,CCCC[*:1]>>CCC[*:1],2,2,0.9495663720342051,0.8033525897964049,0.8033525897964049,2.196350152115119,13,0.7614471808861867,0.768881023979154,0.07156481055729251,0.01294659879992844
graph_256,CCCC[*:1]>>C[*:1],2,2,0.9130638051262339,0.6673710244631943,0.6673710244631943,7.500226983150386,15,0.7765456864302762,0.792814731824409,0.2142388257041637,0.17327018673337158
graph_256,CCCN[*:1]>>N[*:1],2,2,0.9729140664690092,0.8931235614665274,0.8931235614665274,8.436743196804848,2,0.8241506793119737,0.8241506793119737,-0.004891773983213006,-0.004891773983213006
graph_256,CCC[*:1]>>CC[*:1],2,2,0.9495663720342051,0.8033525897964049,0.8033525897964049,2.196350152115119,44,0.6221179017029935,0.6408299853637616,0.0563569956446087,0.013986513211003655
graph_256,CCC[*:1]>>C[*:1],2,2,0.8534709831462848,0.4568254381453716,0.4568254381453716,5.695825561467567,46,0.6188147631051557,0.633777099165358,0.0970331488089964,0.05917318910048407
graph_256,CC[*:1]>>C[*:1],6,6,0.7279381260801614,0.59008713607039,0.5964780972353627,2.4547523398715523,216,0.627620480043213,0.6366512076359695,0.08578393468637222,0.026885619624552194
graph_256,CC[*:1]>>OCCC[*:1],2,2,0.925253101011067,0.7121866018611911,0.7121866018611911,7.927077858985095,2,0.8444064725014148,0.8444064725014148,-0.19068429180676383,-0.19068429180676383
graph_256,CO[*:1]>>C[*:1],2,2,0.965196391280536,0.8632081474819391,0.8632081474819391,9.642401447203348,59,0.645805627207139,0.7178831935654058,-0.03953777118387506,-0.0171008423407566
graph_256,CO[*:1]>>F[*:1],2,2,0.887821398697885,0.5764536719717384,0.5764536719717384,6.49504179361229,54,0.5202326796874613,0.5079143179211041,-0.03070704738176138,-0.015623876378593715
graph_256,CO[*:1]>>O=C(O)[*:1],2,2,0.9700564034722077,0.882018851834869,0.882018851834869,9.910301908025644,8,0.6211533908944905,0.5751047897571178,0.032814554296851435,0.013870217324065104
graph_256,COc1cccc([*:1])c1>>Fc1ccc([*:1])cc1,2,2,0.787754470769653,0.24111421243515238,0.24111421243515238,8.877844568952876,6,0.8093251469434654,0.809467448574777,0.08795449534166229,0.06482745087644055
graph_256,C[*:1]>>Cl[*:1],2,2,0.8748183890857694,0.5306144277652404,0.5306144277652404,4.732267835438214,46,0.7367210594343462,0.757212949761794,0.015754100717416644,0.006828429062561179
graph_256,C[*:1]>>FC(F)(F)[*:1],2,2,0.9158276937792631,0.6774807293860873,0.6774807293860873,11.946161770564986,28,0.8077913369460513,0.8346247845215488,-0.055402467312407624,-0.0513894285665788
graph_256,C[*:1]>>F[*:1],2,2,0.8764511386955873,0.5363331970415837,0.5363331970415837,5.639417036651828,68,0.6903070864993217,0.7328096876052739,0.03451277038717602,0.05293580754539001
graph_256,C[*:1]>>O=C(O)[*:1],2,2,0.7550711709358086,0.14026494635674575,0.14026494635674575,9.917569130552105,9,0.5878310238538496,0.6340374398145898,0.06084238806318533,0.0621046677093936
graph_256,C[*:1]>>OCC[*:1],2,2,0.925253101011067,0.7121866018611911,0.7121866018611911,7.927077858985095,12,0.7503753153180259,0.7967002186595357,-0.03311868097965572,-0.09074519181163768
graph_256,N#C[*:1]>>O=[N+]([O-])[*:1],2,2,0.9402390989275021,0.7680991263040022,0.7680991263040022,11.762684984075612,5,0.8800246034144944,0.8828842653174036,-0.08665310792296069,-0.030023093725513397
mean_node_128,C=C[*:1]>>COC[*:1],2,2,0.9941521171531532,0.9766768640801937,0.9766768640801937,3.8438869806529596,6,0.9620962017432784,0.9596127467919808,-0.21825579655216734,-0.16357343845316763
mean_node_128,CC(C)[*:1]>>CCC[*:1],2,2,0.9741513814050302,0.8979418277866572,0.8979418277866572,2.387400662469048,33,0.9597278269244954,0.9636207691382617,-0.09599684985603522,-0.008080450331687142
mean_node_128,CC(C)[*:1]>>COC[*:1],2,2,0.9911625694088112,0.9648064779941526,0.9648064779941526,5.585461277725463,12,0.9793372307151049,0.9837557360705311,-0.12940822914106084,-0.06996208833574244
mean_node_128,CCCCC[*:1]>>CCCC[*:1],2,2,0.9500684058549339,0.8052599516074704,0.8052599516074704,1.6639177785828685,1,0.8687490191766291,0.8687490191766291,0.5357143526520457,0.5357143526520457
mean_node_128,CCCC[*:1]>>CCC[*:1],2,2,0.9500684058549339,0.8052599516074704,0.8052599516074704,1.6639177785828685,13,0.8101384904210825,0.8151981067367211,0.021983276263556697,-0.041355969789965606
mean_node_128,CCCC[*:1]>>C[*:1],2,2,0.942069784351351,0.7749909571756021,0.7749909571756021,4.339899773480017,15,0.8366813008844536,0.8368304477105899,0.2183576163783322,0.3092090781928063
