query_id,observation_id,core,transform,lhs_substituent,rhs_substituent,lhs_index,rhs_index,lhs_group_molecules,rhs_group_molecules,molecule_pair_multiplicity,core_heavy_atoms,lhs_substituent_heavy_atoms,rhs_substituent_heavy_atoms,lhs_parent_heavy_atoms,rhs_parent_heavy_atoms,train_cores,support_tier,mismatched_transform,seed_hash,target_hash,seed_smiles,target_smiles
597548a0c4d1c173aac2ea901062c158795e407d6440a70ff99eb6ed01bb0b01,a74a6247c0aaf231f95273f5a25f564b2fef09501d72a6b7410522fb0823e615,CCC(C)C(C)N1CC(=O)NC([*:1])C1=O,CC[*:1]>>C[*:1],CC[*:1],C[*:1],39558,8053,1,1,1.0,14,2,1,16,15,443,20+,C[*:1]>>OCC[*:1],f9941dd5de761f8155a2d05a81ebfa6e064b9d62c375169bc79c236093d85bf2,70c489424aa9bb9e4a59fe4200bb6a6ef21546a22d15eaa8f2f3bdb428563137,CCC1NC(=O)CN(C(C)C(C)CC)C1=O,CCC(C)C(C)N1CC(=O)NC(C)C1=O
135aaef57218fbd71d23c0bdf804a802b450e105f0efb7e4af564739e592d292,16dd1e3fed48489032291d8c853bb6421814ee8091996d1480ed8e0c9e923386,O=C(N1CC(CCCO)CC(NCC2CCCCC2)C1)[*:1],CC(C)[*:1]>>C[*:1],CC(C)[*:1],C[*:1],48743,23500,1,1,1.0,20,3,1,23,21,206,20+,CC[*:1]>>OC[*:1],e03fdec85edc5a0a33270fa27116d2b4431b328984b7923c553e9b695b8f1981,b0702b76f717e82ca4b8c3748564c9a9a00256bbdcaefdcc3809ea900a570703,CC(C)C(=O)N1CC(CCCO)CC(NCC2CCCCC2)C1,CC(=O)N1CC(CCCO)CC(NCC2CCCCC2)C1
40dcc1dcb2dea9c395813e1cd5d4c6a71938988f2d7302c30802da31e2a13fbe,ffb55f1530c5c5b55a1de06890bf18cbc59e1b02db9843eb13acd913634583e8,CC1(NC(=O)CC(F)(F)[*:1])CCN(CCN2CCNC2=O)C1,C[*:1]>>F[*:1],C[*:1],F[*:1],16422,35857,1,1,1.0,21,1,1,22,22,159,20+,N[*:1]>>O[*:1],1fc296b48b3fdfc879ffa2cd91e4b4f9624a3e39784af1272ce88dd69d2098ad,13931fe707d57056e160edb041756a765a6b788669e01c09c9ba7c4f0f5523d0,CC(F)(F)CC(=O)NC1(C)CCN(CCN2CCNC2=O)C1,CC1(NC(=O)CC(F)(F)F)CCN(CCN2CCNC2=O)C1
9713a54fb15107df0e91ae1097215cef8cce06505959aca9965cd64d35b05ee6,5e73334f2352b611f78d8e3ec01b36850ea2eaf2582c177355a95b4baaa602a6,OC(CNCC1CC2CCC1C2)CO[*:1],CC(C)[*:1]>>CC[*:1],CC(C)[*:1],CC[*:1],40331,15387,1,1,1.0,14,3,2,17,16,155,20+,CCO[*:1]>>CO[*:1],6bf6cc4f5eae013b78f7797149698a14bf9330654a92bca37334339b25036d75,0a47a43bea811d6f9e6f6a504a7c025b14727d681405b9bad7fb64b5dc41a9fc,CC(C)OCC(O)CNCC1CC2CCC1C2,CCOCC(O)CNCC1CC2CCC1C2
c0488235b23aa6360c960bcf93663b1b14224cab11e168ff478bf2d763ef4303,bbf49a217534726397e4e9a83891c437a7c1585a404a8f397a3ea84c43029b67,CC(C)(O)c1cncc(Nc2cc([*:1])ccc2F)c1,CO[*:1]>>C[*:1],CO[*:1],C[*:1],37873,48416,1,1,1.0,18,2,1,20,19,155,20+,COC(=O)[*:1]>>O=C(O)[*:1],5a93cb1ce5c58166d69a5119d13c8562fb7b822109e312c633fb376942b5a378,180bd7b57fe6d2bef3e9fce6cac3356ac58c6a3fe49f0b75e089096f41a732cf,COc1ccc(F)c(Nc2cncc(C(C)(C)O)c2)c1,Cc1ccc(F)c(Nc2cncc(C(C)(C)O)c2)c1
c2efa127b913e44887b9f62e06f7494d500c792056499a51bffbab27de81e37b,28f4aa34a58d612913e69f44af971fd18e147fcc3bf087b8ea08fa9eb697560e,Nc1cc([*:1])ccc1Nc1ccc2ncccc2c1,Cl[*:1]>>F[*:1],Cl[*:1],F[*:1],3617,3817,1,1,1.0,18,1,1,19,19,150,20+,N#C[*:1]>>N[*:1],d2a7df7e9885165ef5c03d5b3412f9d32010ffb3162458397d683fb1b8dc6a87,b585f8bf3a9353863e4ffc3c9401c99fb19195711a356764cbff04d016920a67,Nc1cc(Cl)ccc1Nc1ccc2ncccc2c1,Nc1cc(F)ccc1Nc1ccc2ncccc2c1
f6f9c5381bde448b87eb0d5ee1f31b1c93735c4e872a4b685d2d343cff036151,2a81ecba197a3d8aa3b61c49a4955dda6468745973cc1137fbcb101734f229f4,CN=C(NCCc1cccc([*:1])c1)NCc1ccsc1,C[*:1]>>Cl[*:1],C[*:1],Cl[*:1],14208,46970,1,1,1.0,19,1,1,20,20,142,20+,C1CCC([*:1])CC1>>C[*:1],139cce715183378e56fcfc7d708d796d28129efcf631f02fdbb970f0a8ab7383,30f8b28d5bbffa83a64a071e8716161d6fb74a1beee6f3648ff5fee92467fd8a,CN=C(NCCc1cccc(C)c1)NCc1ccsc1,CN=C(NCCc1cccc(Cl)c1)NCc1ccsc1
7ffffdc99ddb99c5df77e6e7ead7dbf131d18ed15d4cfe1305406e454c426c6c,764ad4be262144ffd7dd4d09b3d116bb3e94677fb57935245c79aac10c34156d,C#CC(NC(=O)C(=O)N1CCCC(C)(C[*:1])C1)C1CCCO1,C[*:1]>>O[*:1],C[*:1],O[*:1],13371,25768,1,1,1.0,21,1,1,22,22,132,20+,c1ccc([*:1])cc1>>c1cncc([*:1])c1,ea4b61cd6cc766a2b0e0ddd9aa6ead74479c4c3375b7369604da225c209b5de7,3379480f92e0022d7433d0d2bec7136b1190b5a6a666f7abf8c51062f8f2264b,C#CC(NC(=O)C(=O)N1CCCC(C)(CC)C1)C1CCCO1,C#CC(NC(=O)C(=O)N1CCCC(C)(CO)C1)C1CCCO1
8b0ecb30605632785db38a45e7308cc69c7d69bf21817f8cdb1235276ac7df78,7a053e35b0e3d34bb94796586027b4cd28887106ad2daf4d4f50ef709a7a328e,CC1C(CN2CCCC2CO)OC(c2ccc(CNC(=O)[*:1])cc2)OC1c1ccc(CO)cc1,C[*:1]>>c1ccc([*:1])cc1,C[*:1],c1ccc([*:1])cc1,14784,35386,1,1,1.0,33,1,6,34,39,119,20+,CC(C)(C)[*:1]>>C[*:1],da13f516f24fc25f9e470d82c09b1b733bb6ab02b170837341ba655fbd03338d,5764f5193ea0d2e0957f60e3623ed007a5a54e6c4ab7cb17c64b1d335bc03902,CC(=O)NCc1ccc(C2OC(CN3CCCC3CO)C(C)C(c3ccc(CO)cc3)O2)cc1,CC1C(CN2CCCC2CO)OC(c2ccc(CNC(=O)c3ccccc3)cc2)OC1c1ccc(CO)cc1
9d84e92bc1192e1ace2504dddf9d6e4d56ec5304a2f741b87e61516d9aad5b4d,40ed6ae426c9fdbc1a5a45b9d3642449cdeb5ff1246e3f61e19bb7089de76dcd,O=C(NCC(O)c1ccc([*:1])cc1)C1(c2ccc(Cl)cc2)CCCC1,CO[*:1]>>F[*:1],CO[*:1],F[*:1],33429,29330,1,1,1.0,24,2,1,26,25,98,20+,CC[*:1]>>COCC[*:1],479065f15ea4f5deb0b7a186268e05e7da53ba2aceb570cc395619748f47eb5a,2f2354d9caad9b45d735f0ce6774e7a59f1dd444468289b2730e7a991c12a6a5,COc1ccc(C(O)CNC(=O)C2(c3ccc(Cl)cc3)CCCC2)cc1,O=C(NCC(O)c1ccc(F)cc1)C1(c2ccc(Cl)cc2)CCCC1
3164c735e5bbd6bf561f8e961e04a2f0180a9dbd62623477f415fb5108699b97,9080f346b1f43f4894ec188d6ec155cb68086ef48c566ca0e95b33f03f7ea97b,O=C(Cc1cccs1)N(CC[*:1])C1CC1,Br[*:1]>>Cl[*:1],Br[*:1],Cl[*:1],21287,38991,1,1,1.0,14,1,1,15,15,92,20+,CC(C)[*:1]>>CCC[*:1],01cf4c3a38a5e63db410c0f9ecc408dd1bfec46af7f05bf5315079ddfb8c667f,3f0243df284243906ba3c1838b615063fb4f2ee77eebfaf36f186cd6f8260f91,O=C(Cc1cccs1)N(CCBr)C1CC1,O=C(Cc1cccs1)N(CCCl)C1CC1
