analysis,space,transform,train_cores,support_tier,alignment_mean,alignment_count,null_alignment_mean,null_alignment_count,alignment_gain_mean,alignment_gain_count
alignment_all,graph_256,BrCCC[*:1]>>CCOC(=O)CC[*:1],2,2-4,0.8685090879982625,1,-0.08464947346101545,1,0.953158561459278,1
alignment_all,graph_256,BrCC[*:1]>>CCC(C)[*:1],3,2-4,0.8760208273907705,2,0.022900665225024167,2,0.8531201621657463,2
alignment_all,graph_256,BrCC[*:1]>>CCOC(=O)C[*:1],2,2-4,0.7494876567608255,2,0.19308645432861243,2,0.5564012024322131,2
alignment_all,graph_256,BrCC[*:1]>>COC(=O)C[*:1],2,2-4,0.6006444513751937,1,-0.03166050648023918,1,0.632304957855433,1
alignment_all,graph_256,BrCC[*:1]>>COC(C)[*:1],2,2-4,0.6965848832327461,1,-0.22392494956571096,1,0.9205098327984571,1
alignment_all,graph_256,BrCC[*:1]>>ClCC[*:1],2,2-4,0.9394467176649326,2,0.004299915128434695,2,0.935146802536498,2
alignment_all,graph_256,BrCC[*:1]>>NC[*:1],2,2-4,0.9346973723272689,1,-0.1903753583547865,1,1.1250727306820554,1
alignment_all,graph_256,BrCC[*:1]>>OCC[*:1],2,2-4,0.9096533984110784,2,-0.15661219262248688,2,1.0662655910335652,2
alignment_all,graph_256,BrCC[*:1]>>O[*:1],2,2-4,0.8022881657612899,2,0.10301557465965139,2,0.6992725911016384,2
alignment_all,graph_256,BrC[*:1]>>C#C[*:1],2,2-4,0.7478085187023442,1,-0.10727308001189276,1,0.855081598714237,1
alignment_all,graph_256,BrC[*:1]>>CC(=O)[*:1],3,2-4,0.5859168668962892,1,-0.05566198727683283,1,0.641578854173122,1
alignment_all,graph_256,BrC[*:1]>>CC(C)NC[*:1],3,2-4,0.8777131819838504,1,-0.22810519657827022,1,1.1058183785621205,1
alignment_all,graph_256,BrC[*:1]>>CC(CCO)N[*:1],2,2-4,0.8705203306307261,1,0.34893981882377395,1,0.5215805118069521,1
alignment_all,graph_256,BrC[*:1]>>CCNC[*:1],3,2-4,0.884865451725334,1,-0.13776117405414587,1,1.0226266257794798,1
alignment_all,graph_256,BrC[*:1]>>CCOC(=O)[*:1],2,2-4,0.7494876567608255,2,-0.07924086536016128,2,0.8287285221209868,2
alignment_all,graph_256,BrC[*:1]>>CC[*:1],2,2-4,0.8251286395756606,1,0.26782316069096834,1,0.5573054788846923,1
alignment_all,graph_256,BrC[*:1]>>CNC[*:1],9,5-9,0.892063462055392,2,-0.08816697363069037,2,0.9802304356860823,2
alignment_all,graph_256,BrC[*:1]>>COC(=O)[*:1],2,2-4,0.620796417596601,2,0.1511703966980145,2,0.4696260208985865,2
alignment_all,graph_256,BrC[*:1]>>C[*:1],6,5-9,0.8608500931477168,1,0.012779240771950182,1,0.8480708523757666,1
alignment_all,graph_256,BrC[*:1]>>ClC[*:1],5,5-9,0.9355452700022326,2,-0.11178731791712382,2,1.0473325879193567,2
alignment_all,graph_256,BrC[*:1]>>Cl[*:1],3,2-4,0.8345826074323552,2,-0.08941054404309315,2,0.9239931514754482,2
alignment_all,graph_256,BrC[*:1]>>N#C[*:1],2,2-4,0.7376740306998508,1,-0.1856748442620922,1,0.923348874961943,1
alignment_all,graph_256,BrC[*:1]>>NC(=S)[*:1],2,2-4,0.7640751398956616,1,-0.08268682494787596,1,0.8467619648435375,1
