analysis,minimum_train_cores,transformations,observations,metric,space,macro_estimate,ci_low,ci_high,positive_transformation_fraction
alignment_all,2,3964,9074,alignment,graph_256,0.8236832058207361,0.820318024082806,0.8267811230469848,
alignment_all,2,3964,9074,alignment,mean_node_128,0.951744380461149,0.9496423321441264,0.9537210562539156,
alignment_all,2,3964,9074,alignment,hybrid_w1,0.8580039917051313,0.8553419788565276,0.8606096921269121,
alignment_all,2,3964,9074,alignment,released_hybrid_w3,0.919093926906421,0.9170245592536457,0.9210967926092669,
alignment_all,2,3964,9074,alignment,hybrid_w6,0.9411464906820053,0.9391571294819837,0.9430856443730641,
alignment_all,2,3964,9074,null_alignment,graph_256,0.016716259423075055,0.011397896794597134,0.022009376469462827,
alignment_all,2,3964,9074,null_alignment,mean_node_128,0.024181666034645125,0.0175244270837572,0.030586137205334048,
alignment_all,2,3964,9074,null_alignment,hybrid_w1,0.01877130328357111,0.013673715770397587,0.024083224496617008,
alignment_all,2,3964,9074,null_alignment,released_hybrid_w3,0.02239199827649715,0.016605795965414952,0.028204101591559144,
alignment_all,2,3964,9074,null_alignment,hybrid_w6,0.02361879715572177,0.017243823706985552,0.029873036158449325,
alignment_all,2,3964,9074,alignment_gain,graph_256,0.806966946397661,0.8006395139922297,0.8131705335272392,0.9997477295660948
alignment_all,2,3964,9074,alignment_gain,mean_node_128,0.9275627144265033,0.9210054449244818,0.9345855550750534,0.9997477295660948
alignment_all,2,3964,9074,alignment_gain,hybrid_w1,0.8392326884215572,0.8332984211729891,0.8450079630719795,0.9997477295660948
alignment_all,2,3964,9074,alignment_gain,released_hybrid_w3,0.8967019286299258,0.8905991685939164,0.9028777570106364,0.9997477295660948
alignment_all,2,3964,9074,alignment_gain,hybrid_w6,0.917527693526282,0.9110992591139238,0.9243101983214408,0.9997477295660948
alignment_all,5,1248,5311,alignment,graph_256,0.825055120720628,0.8198417489616019,0.8301235866855106,
alignment_all,5,1248,5311,alignment,mean_node_128,0.9456025908969183,0.9421001543737844,0.9491619343947539,
alignment_all,5,1248,5311,alignment,hybrid_w1,0.8566008094108448,0.8523403477735254,0.8608799383621604,
alignment_all,5,1248,5311,alignment,released_hybrid_w3,0.9137665747635743,0.9101717799685939,0.9172486029595422,
alignment_all,5,1248,5311,alignment,hybrid_w6,0.935115872255191,0.9316368463807854,0.9386581512133269,
alignment_all,5,1248,5311,null_alignment,graph_256,0.01567177644338615,0.006315012614469858,0.024653571359677117,
alignment_all,5,1248,5311,null_alignment,mean_node_128,0.025707364145256033,0.014363073680797695,0.037084251138909265,
alignment_all,5,1248,5311,null_alignment,hybrid_w1,0.018634325373968728,0.009392684933841851,0.027571951997418964,
alignment_all,5,1248,5311,null_alignment,released_hybrid_w3,0.023333342162445113,0.012813477265184307,0.03351751155815504,
alignment_all,5,1248,5311,null_alignment,hybrid_w6,0.02492397864842045,0.013873429713397131,0.03594480048478272,
alignment_all,5,1248,5311,alignment_gain,graph_256,0.8093833442772408,0.798606783209157,0.8199952408202829,1.0
alignment_all,5,1248,5311,alignment_gain,mean_node_128,0.9198952267516611,0.9079639626325136,0.9318790565405294,1.0
alignment_all,5,1248,5311,alignment_gain,hybrid_w1,0.8379664840368779,0.8278706623551467,0.8482782147857048,1.0
alignment_all,5,1248,5311,alignment_gain,released_hybrid_w3,0.8904332326011308,0.879707627034841,0.9012769573558913,1.0
alignment_all,5,1248,5311,alignment_gain,hybrid_w6,0.9101918936067722,0.8986465739752917,0.9216193791990664,1.0
alignment_all,10,420,3396,alignment,graph_256,0.8185918357722336,0.8100988670048416,0.826447151237788,
alignment_all,10,420,3396,alignment,mean_node_128,0.9357898946036833,0.9294642205467027,0.9418066304685245,
alignment_all,10,420,3396,alignment,hybrid_w1,0.8480690420858037,0.840404175707751,0.8549268766277248,
alignment_all,10,420,3396,alignment,released_hybrid_w3,0.9034463051048616,0.8969309633240504,0.9093796931909643,
alignment_all,10,420,3396,alignment,hybrid_w6,0.9249648364549962,0.9187506689522832,0.9309587149702837,
alignment_all,10,420,3396,null_alignment,graph_256,0.014293799550817285,0.0006079002329847011,0.027684597003288937,
alignment_all,10,420,3396,null_alignment,mean_node_128,0.02283562267449226,0.005983781121483286,0.03924005299810792,
alignment_all,10,420,3396,null_alignment,hybrid_w1,0.01643994317278651,0.0028387477581444404,0.03027057567195244,
alignment_all,10,420,3396,null_alignment,released_hybrid_w3,0.020377768991990165,0.004820055182895514,0.03542900479476804,
alignment_all,10,420,3396,null_alignment,hybrid_w6,0.021960253763365193,0.005586574844829325,0.037800450283220426,
alignment_all,10,420,3396,alignment_gain,graph_256,0.8042980362214164,0.787900733444462,0.8197640244123675,1.0
alignment_all,10,420,3396,alignment_gain,mean_node_128,0.9129542719291914,0.8947125432754235,0.9318465736179689,1.0
alignment_all,10,420,3396,alignment_gain,hybrid_w1,0.8316290989130178,0.8155923891523419,0.8470218442819232,1.0
alignment_all,10,420,3396,alignment_gain,released_hybrid_w3,0.8830685361128711,0.8663047755825598,0.9000182795279636,1.0
alignment_all,10,420,3396,alignment_gain,hybrid_w6,0.9030045826916302,0.8852207787953621,0.9210768270916581,1.0
