analysis,minimum_train_cores,transformations,observations,metric,space,reference_space,paired_macro_difference,ci_low,ci_high
alignment_all,2,3964,9074,alignment,graph_256,released_hybrid_w3,-0.09541072108568494,-0.09792794081199555,-0.09321779438181843
alignment_all,2,3964,9074,alignment,mean_node_128,released_hybrid_w3,0.032650453554727954,0.0318568999310936,0.03346836525823786
alignment_all,2,3964,9074,alignment,hybrid_w1,released_hybrid_w3,-0.06108993520128969,-0.06256002787011303,-0.05978505756761531
alignment_all,2,3964,9074,alignment,hybrid_w6,released_hybrid_w3,0.02205256377558429,0.021527815218837097,0.02257830370890926
alignment_all,2,3964,9074,null_alignment,graph_256,released_hybrid_w3,-0.0056757388534220965,-0.009577223360864747,-0.0018569168018049633
alignment_all,2,3964,9074,null_alignment,mean_node_128,released_hybrid_w3,0.0017896677581479732,0.0006295473317290938,0.0029205766319659065
alignment_all,2,3964,9074,null_alignment,hybrid_w1,released_hybrid_w3,-0.0036206949929260407,-0.00597360520921355,-0.0013050925552912358
alignment_all,2,3964,9074,null_alignment,hybrid_w6,released_hybrid_w3,0.0012267988792246179,0.0004368250575792847,0.002000666771507663
alignment_all,2,3964,9074,alignment_gain,graph_256,released_hybrid_w3,-0.08973498223226484,-0.09400782714951092,-0.08536981238979302
alignment_all,2,3964,9074,alignment_gain,mean_node_128,released_hybrid_w3,0.030860785796577472,0.029450637673656174,0.032226513982609846
alignment_all,2,3964,9074,alignment_gain,hybrid_w1,released_hybrid_w3,-0.05746924020836863,-0.06006912277102301,-0.054724432615353494
alignment_all,2,3964,9074,alignment_gain,hybrid_w6,released_hybrid_w3,0.020825764896356236,0.01986842229260338,0.02172980464049726
alignment_all,5,1248,5311,alignment,graph_256,released_hybrid_w3,-0.08871145404294623,-0.09230265792584479,-0.08505168116881195
alignment_all,5,1248,5311,alignment,mean_node_128,released_hybrid_w3,0.03183601613334408,0.030628865172835307,0.03306008060603419
alignment_all,5,1248,5311,alignment,hybrid_w1,released_hybrid_w3,-0.057165765352729436,-0.059275391906281644,-0.05501498782350526
alignment_all,5,1248,5311,alignment,hybrid_w6,released_hybrid_w3,0.021349297491616737,0.020552675855826645,0.022147671255594643
alignment_all,5,1248,5311,null_alignment,graph_256,released_hybrid_w3,-0.007661565719058964,-0.014590633739095478,-0.000978117885238925
alignment_all,5,1248,5311,null_alignment,mean_node_128,released_hybrid_w3,0.00237402198281092,0.0004603597436531482,0.004433032671058469
alignment_all,5,1248,5311,null_alignment,hybrid_w1,released_hybrid_w3,-0.004699016788476385,-0.008893907946252418,-0.0007655906258305793
alignment_all,5,1248,5311,null_alignment,hybrid_w6,released_hybrid_w3,0.0015906364859753358,0.0002901719185735084,0.002990828379670572
alignment_all,5,1248,5311,alignment_gain,graph_256,released_hybrid_w3,-0.08104988832389004,-0.0882056529625583,-0.07352432001676626
alignment_all,5,1248,5311,alignment_gain,mean_node_128,released_hybrid_w3,0.029461994150530302,0.027222293582035942,0.03160934060023469
alignment_all,5,1248,5311,alignment_gain,hybrid_w1,released_hybrid_w3,-0.05246674856425293,-0.05668890448435744,-0.04801553436327869
alignment_all,5,1248,5311,alignment_gain,hybrid_w6,released_hybrid_w3,0.019758661005641387,0.018248204726342636,0.021195071026383416
alignment_all,10,420,3396,alignment,graph_256,released_hybrid_w3,-0.08485446933262797,-0.08997682825309171,-0.07989984059776316
alignment_all,10,420,3396,alignment,mean_node_128,released_hybrid_w3,0.03234358949882177,0.030616865372108466,0.03420074566571977
alignment_all,10,420,3396,alignment,hybrid_w1,released_hybrid_w3,-0.055377263019057876,-0.05843380933777982,-0.05244424968847951
alignment_all,10,420,3396,alignment,hybrid_w6,released_hybrid_w3,0.021518531350134595,0.02041236962115702,0.022716301761377948
alignment_all,10,420,3396,null_alignment,graph_256,released_hybrid_w3,-0.006083969441172879,-0.015582696754597178,0.0035797476595137326
alignment_all,10,420,3396,null_alignment,mean_node_128,released_hybrid_w3,0.002457853682502096,-0.0004339029229988982,0.005358112480280665
alignment_all,10,420,3396,null_alignment,hybrid_w1,released_hybrid_w3,-0.003937825819203655,-0.00991639892469669,0.0019878324672112095
alignment_all,10,420,3396,null_alignment,hybrid_w6,released_hybrid_w3,0.0015824847713750284,-0.0003629285028035482,0.0035631274869548195
