query_position,target_hash,target_smiles,decoded_smiles_raw__correct_embedding,decoded_smiles_raw__shuffled_embedding,decoded_smiles_raw__wrong_molecule_embedding,decoded_smiles_raw__zero_embedding,decoded_canonical_smiles__correct_embedding,decoded_canonical_smiles__shuffled_embedding,decoded_canonical_smiles__wrong_molecule_embedding,decoded_canonical_smiles__zero_embedding,exact_canonical_reconstruction__correct_embedding,exact_canonical_reconstruction__shuffled_embedding,exact_canonical_reconstruction__wrong_molecule_embedding,exact_canonical_reconstruction__zero_embedding,molecular_identity_recovery__correct_embedding,molecular_identity_recovery__shuffled_embedding,molecular_identity_recovery__wrong_molecule_embedding,molecular_identity_recovery__zero_embedding,morgan_similarity_to_target__correct_embedding,morgan_similarity_to_target__shuffled_embedding,morgan_similarity_to_target__wrong_molecule_embedding,morgan_similarity_to_target__zero_embedding,condition_source_smiles__correct_embedding,condition_source_smiles__shuffled_embedding,condition_source_smiles__wrong_molecule_embedding,condition_source_smiles__zero_embedding,condition_source_identity_recovery__correct_embedding,condition_source_identity_recovery__shuffled_embedding,condition_source_identity_recovery__wrong_molecule_embedding,condition_source_identity_recovery__zero_embedding
7583,e7c3e489d4d927717c1772d3814743966fd392edcacf7e7a490f9a5afda15477,Cc1cccc(N2C3CCC2CC(O)C3)c1,Cc1cccc(N2C3CCC2CC(O)C3)c1,CNC1C(O)C2OC3C(O)C(O)CC(NC)C3OC2(O)C(O)C1O[B](C)(O)O,CC(C)c1ccccc1N1C2CCC1CC(O)C2,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,Cc1cccc(N2C3CCC2CC(O)C3)c1,,CC(C)c1ccccc1N1C2CCC1CC(O)C2,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4523809523809524,0.1267605633802817,Cc1cccc(N2C3CCC2CC(O)C3)c1,CNC1C(O)C(NC)C2OC3C(OC(C)CC3(O)OB(O)O)OC2C1O,CC(C)c1ccccc1N1C2CCC1CC(O)C2,,1.0,0.0,1.0,
810,dd9de84fd980e13c7a67ad8ad052345fcdef10662c3f059e4d410415fd95963a,O=C(NC1(CF)CCOCC1)c1ccc(Cn2ccnc2)cc1,O=C(NC1(CF)CCOCC1)c1ccc(Cn2ccnc2)cc1,CC(C)CC(=O)NC(C)C1CN(C(=O)c2cn(C)c3ccccc23)C1,O=C(NC1(CF)CCOCC1)c1ccn(CCc2ccccc2)n1,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,O=C(NC1(CF)CCOCC1)c1ccc(Cn2ccnc2)cc1,CC(C)CC(=O)NC(C)C1CN(C(=O)c2cn(C)c3ccccc23)C1,O=C(NC1(CF)CCOCC1)c1ccn(CCc2ccccc2)n1,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.11904761904761904,0.46153846153846156,0.1411764705882353,O=C(NC1(CF)CCOCC1)c1ccc(Cn2ccnc2)cc1,CC(C)CC(=O)NC(C)C1CN(C(=O)c2cn(C)c3ccccc23)C1,O=C(NC1(CF)CCOCC1)c1ccn(CCc2ccccc2)n1,,1.0,1.0,1.0,
3445,63805f55c4038b79f54a04e299f8f5033200df2be9c3963666fd006d625c2574,CCCn1ncnc1C[NH2+]CC1CCN(C(=O)c2ccc[nH]2)C1,CCCn1ncnc1C[NH2+]CC1CCN(C(=O)c2ccc[nH]2)C1,CC(C)C(=O)N1CCC(C2CCN(C(=O)CC(C)(F)F)C2)CC1,CC1CN(C(=O)c2ccc[nH]2)CCC1C[NH2+]Cc1cnnn1C,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,CCCn1ncnc1C[NH2+]CC1CCN(C(=O)c2ccc[nH]2)C1,CC(C)C(=O)N1CCC(C2CCN(C(=O)CC(C)(F)F)C2)CC1,CC1CN(C(=O)c2ccc[nH]2)CCC1C[NH2+]Cc1cnnn1C,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.4794520547945205,0.16666666666666666,CCCn1ncnc1C[NH2+]CC1CCN(C(=O)c2ccc[nH]2)C1,CC(C)C(=O)N1CCC(C2CCN(C(=O)CC(C)(F)F)C2)CC1,CC1CN(C(=O)c2ccc[nH]2)CCC1C[NH2+]Cc1cnnn1C,,1.0,1.0,1.0,
6485,a4112818ebe11748059ddf91a6269fae2277ce5cdcee4b81a3bd1fbd0feb4a3f,CC1(C)CCC1C(=O)NCCNC(=O)C1(F)CCOC1,CC1(C)CCC1C(=O)NCCNC(=O)C1(F)CCOC1,CC(C)(C)c1ccnc(N2CCN(CC(F)(F)F)C(=O)C2)n1,CCC(CNC(=O)C1CCOC1)NC(=O)C1(CF)CCC1,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,CC1(C)CCC1C(=O)NCCNC(=O)C1(F)CCOC1,CC(C)(C)c1ccnc(N2CCN(CC(F)(F)F)C(=O)C2)n1,CCC(CNC(=O)C1CCOC1)NC(=O)C1(CF)CCC1,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.08,0.2727272727272727,0.15584415584415584,CC1(C)CCC1C(=O)NCCNC(=O)C1(F)CCOC1,CC(C)(C)c1ccnc(N2CCN(CC(F)(F)F)C(=O)C2)n1,CCC(CNC(=O)C1(CF)CCC1)NC(=O)C1CCOC1,,1.0,1.0,0.0,
9696,b4eacc2e6ed4266416f5e5188ebb204a949481b7204b05a64cf33c9aeaa3a818,N#Cc1c(Cl)nsc1NC1CCN(C(=O)C2CC2)CC1,N#Cc1c(Cl)nsc1NC1CCN(C(=O)C2CC2)CC1,COc1ccccc1CC(C)N(C)C(=O)C[NH2+]CC1CCCO1,CC(C#N)C(=O)N1CCCC(CNC(=O)c2ncsc2C2CC2)C1,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,N#Cc1c(Cl)nsc1NC1CCN(C(=O)C2CC2)CC1,COc1ccccc1CC(C)N(C)C(=O)C[NH2+]CC1CCCO1,CC(C#N)C(=O)N1CCCC(CNC(=O)c2ncsc2C2CC2)C1,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.10714285714285714,0.2125,0.16455696202531644,N#Cc1c(Cl)nsc1NC1CCN(C(=O)C2CC2)CC1,COc1ccccc1CC(C)N(C)C(=O)C[NH2+]CC1CCCO1,CC(C#N)C(=O)N1CCCC(CNC(=O)c2ncsc2C2CC2)C1,,1.0,1.0,1.0,
3575,4c9253c2c82aefb6f3fef36a46b796bb7023b6deaf21753d3ff6a3eeba6a3a85,Cc1ccccc1C(O)CNS(=O)(=O)C=Cc1ccccc1Cl,Cc1ccccc1C(O)CNS(=O)(=O)C=Cc1ccccc1Cl,COCC1(C(=O)OC(C)c2cccc(NC(C)=O)c2)CCC1,Cc1cccc(CC(CO)NS(=O)(=O)C=Cc2ccccc2Cl)c1,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,Cc1ccccc1C(O)CNS(=O)(=O)C=Cc1ccccc1Cl,COCC1(C(=O)OC(C)c2cccc(NC(C)=O)c2)CCC1,Cc1cccc(CC(CO)NS(=O)(=O)C=Cc2ccccc2Cl)c1,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1282051282051282,0.4666666666666667,0.09523809523809523,Cc1ccccc1C(O)CNS(=O)(=O)C=Cc1ccccc1Cl,COCC1(C(=O)OC(C)c2cccc(NC(C)=O)c2)CCC1,Cc1cccc(CC(CO)NS(=O)(=O)C=Cc2ccccc2Cl)c1,,1.0,1.0,1.0,
742,8121ecde2397593d0698fb49dcc71eba9bd107d3981cc9a06f1db1a30303a8df,COc1ncccc1Nc1ccc(C)cc1CO,COc1ncccc1Nc1ccc(C)cc1CO,CC1(C)C2CCC1(C)C(Cl)C2(Cl)Cl,COCc1ccccc1Nc1c(C)ccnc1OC,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,COc1ncccc1Nc1ccc(C)cc1CO,CC1(C)C2CCC1(C)C(Cl)C2(Cl)Cl,COCc1ccccc1Nc1c(C)ccnc1OC,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.01694915254237288,0.41509433962264153,0.1282051282051282,COc1ncccc1Nc1ccc(C)cc1CO,CC1(C)C2CCC1(C)C(B(Cl)Cl)C2,COCc1ccccc1Nc1c(C)ccnc1OC,,1.0,0.0,1.0,
9702,6c374f296582697c1dbd1b74381887cfc38ea03e0ea65047f326bb8748a85c5c,CC1C([NH2+]CCC2CC2)CCN1C(=O)c1cccn2nnnc12,CC1C([NH2+]CCC2CC2)CCN1C(=O)c1cccn2nnnc12,COC(CNC(=O)C(=O)N1CC(C)SC(C)C1)C1CCCC1,CCC[NH2+]C1CCN(C(=O)c2cn3cccnc3n2)C1,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,CC1C([NH2+]CCC2CC2)CCN1C(=O)c1cccn2nnnc12,COC(CNC(=O)C(=O)N1CC(C)SC(C)C1)C1CCCC1,CCC[NH2+]C1CCN(C(=O)c2cn3cccnc3n2)C1,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.12195121951219512,0.23170731707317074,0.14606741573033707,CC1C([NH2+]CCC2CC2)CCN1C(=O)c1cccn2nnnc12,COC(CNC(=O)C(=O)N1CC(C)SC(C)C1)C1CCCC1,CCC[NH2+]C1CCN(C(=O)c2cn3cccnc3n2)C1,,1.0,1.0,1.0,
1303,44d01f7f70c6df826fcffe8dee6c0a1ea062c3cbd4823572ca4ec5551ebd5ff2,COc1ccnc(C[NH2+]C2CC(N(C)C(=O)C3(C)CCOC3)C2)c1,COc1ccnc(C[NH2+]C2CC(N(C)C(=O)C3(C)CCOC3)C2)c1,CC(=O)N1CCOC(CNC(=O)c2cc3ccsc3[nH]2)C1,COc1cccc(C[NH2+]C2CC(NC(=O)C3(C)CCOC3)C2)n1,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,COc1ccnc(C[NH2+]C2CC(N(C)C(=O)C3(C)CCOC3)C2)c1,CC(=O)N1CCOC(CNC(=O)c2cc3ccsc3[nH]2)C1,COc1cccc(C[NH2+]C2CC(NC(=O)C3(C)CCOC3)C2)n1,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.13829787234042554,0.4666666666666667,0.1276595744680851,COc1ccnc(C[NH2+]C2CC(N(C)C(=O)C3(C)CCOC3)C2)c1,CC(=O)N1CCOC(CNC(=O)c2cc3ccsc3[nH]2)C1,COc1cccc(C[NH2+]C2CC(NC(=O)C3(C)CCOC3)C2)n1,,1.0,1.0,1.0,
3594,bfa7878c41d398fe2cbcba237b9bfa8a7da03bb2de7405d6b4c4e225a977597e,CCN(CC(C)C)CC(O)CO,CC(C)CN(CC)CC(O)CO,CC(Oc1cccc(C#N)c1)C(=O)NC(C)c1ccc2c(c1)OCCO2,CC(C)(CO)CN(CC)CCO,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,CCN(CC(C)C)CC(O)CO,CC(Oc1cccc(C#N)c1)C(=O)NC(C)c1ccc2c(c1)OCCO2,CCN(CCO)CC(C)(C)CO,CC(C)N1CCCC1C(=O)NCc1cnc(C(=O)[O-])c(F)c1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.07575757575757576,0.2571428571428571,0.07462686567164178,CCN(CC(C)C)CC(O)CO,CC(Oc1cccc(C#N)c1)C(=O)NC(C)c1ccc2c(c1)OCCO2,CCN(CCO)CC(C)(C)CO,,1.0,1.0,1.0,
