query_position,validation_index,shuffled_source_index,wrong_molecule_source_index,wrong_molecule_distance
0,35591,43293,46033,19.89786
1,25678,7664,42928,10.525093
2,3713,8603,40566,11.601229
3,33919,41445,33904,19.463194
4,38353,11394,15099,15.493848
5,16742,6767,38120,16.79625
6,873,1476,21112,25.66618
7,32673,38169,28270,4.0011597
8,16948,42694,29428,22.05529
9,15922,4938,30967,12.210905
10,41236,39051,46728,17.106728
11,24864,14109,20283,16.532505
12,25325,2459,40812,9.946285
13,6405,2032,38874,19.78738
14,13950,9252,34574,15.455613
15,42090,8581,7506,18.491829
16,31447,38670,37629,10.966513
17,33011,47864,28090,33.0355
18,5906,29338,4378,13.572932
19,7342,33607,48302,28.03901
20,26390,22417,46395,1.3786352
21,39089,39923,3352,26.626307
22,36927,14480,7090,6.169946
23,36112,32426,15442,8.525066
24,47314,12659,9065,23.343452
25,38530,34751,35397,21.911716
26,2656,28312,21038,9.814814
27,1640,49192,31832,11.16793
28,34019,16818,14690,19.324585
29,41435,9287,16428,8.530341
30,47230,11484,33912,8.907483
31,6713,43703,4662,12.856746
32,21772,30687,7079,9.51635
33,33405,26089,5350,13.590323
34,20691,39559,6153,24.332098
35,41903,2133,4269,10.110963
36,11952,479,49805,2.495357
37,34506,34495,38096,7.958572
38,26854,44490,31175,23.751392
39,35153,42672,28394,13.120968
40,43712,46457,9602,17.397594
41,1374,10552,32859,13.549821
42,47714,44900,29246,21.5944
43,36346,27438,27163,17.397398
44,15023,3866,22145,10.507403
45,408,16202,34223,20.826431
46,16163,37779,19416,23.340006
47,27994,5582,38612,28.94917
48,19133,46911,30971,23.90414
49,10313,5422,16281,17.083399
50,17768,13363,25320,21.684217
51,19201,3886,46891,20.586433
52,36533,5089,23101,19.389822
53,25112,4312,25922,17.920376
54,2642,29507,6270,2.856043
55,49280,4602,31449,16.187817
56,36105,22807,30390,21.48095
57,30497,231,42328,11.881351
58,19093,18228,11933,16.394781
59,44607,32925,26034,18.795437
60,8545,34346,6040,20.197828
61,26140,25967,27568,1.9268862
62,27228,19554,26369,2.8469248
63,36166,46316,38545,11.827062
64,38392,1304,30940,21.17293
65,6907,15280,23098,8.226217
66,22957,13045,8515,15.462041
67,41032,16087,38553,11.122147
68,24109,10974,6232,23.952238
69,27421,30058,28228,19.538368
70,28352,20176,20388,24.754221
71,15417,16358,12315,4.956131
72,31088,42550,29930,4.8919477
73,31364,19444,15266,20.896801
74,43939,17614,8191,25.354673
75,47203,27225,33235,9.403401
76,11164,12790,14517,27.441376
77,47887,9416,14097,22.209076
78,19785,37348,13239,18.63283
79,3830,43617,44492,20.396769
80,46752,17911,17785,19.675816
81,49682,45163,32641,10.546528
82,29462,6968,10117,6.7051644
83,4854,22512,9663,19.757662
84,14770,6729,42752,10.944384
85,25934,49973,13485,7.91685
86,36555,11242,16190,22.061853
87,2316,20666,17724,15.749489
88,41859,10224,37855,19.381544
89,27124,39496,47790,9.852427
90,37685,1752,29200,23.32462
91,33904,49804,35748,15.467977
92,22815,32367,34331,10.368656
93,41497,680,25659,24.710934
94,29823,42844,47009,10.07603
95,11728,22824,33808,25.074451
96,8893,29470,35994,8.684605
97,6211,29353,25298,21.505627
98,24991,24241,21119,10.5462675
99,5002,49947,31621,19.35004
100,27276,47457,34048,25.337261
101,8417,42560,2669,19.2627
102,4572,30412,15953,18.670048
103,1612,17950,24970,21.19474
104,49721,1659,7398,12.386792
105,43342,21897,49075,13.633804
106,7741,7582,9250,26.939789
107,14117,6044,37910,22.97349
108,10366,9762,29918,15.257627
109,10874,29565,36229,11.29252
110,12570,29402,15876,9.211736
111,21098,46925,36953,6.739358
112,16502,24767,34520,22.611938
113,24728,1717,49693,14.937761
114,39543,39662,25099,12.82872
115,14365,23298,10208,13.904415
116,24211,49580,49262,27.82423
117,10008,9032,19758,19.078913
118,6047,10969,19137,22.998089
119,23486,36401,41272,16.105259
120,4927,20627,29943,16.62055
121,40989,35756,22459,15.136803
122,22788,49055,38937,19.503092
123,27519,27977,37429,20.15238
124,29550,47045,21898,14.086065
125,15917,42759,48950,15.994597
126,16073,21351,31811,24.198584
127,27801,41784,7836,13.388446
128,47966,47276,34524,15.620265
129,4046,16112,37218,17.372612
130,35497,41283,2663,17.951126
131,44355,26567,23399,20.904644
132,29987,18079,35309,13.969537
133,28722,38268,44864,21.281004
134,30651,49482,1049,23.792484
135,3008,3646,436,11.916632
136,17830,17084,29095,19.646894
137,7290,33367,30415,5.1982193
138,4023,30604,41156,20.67403
139,45712,16528,15874,15.828152
140,30183,11144,25778,12.594439
141,25018,31634,40351,15.632194
142,49411,21980,3752,12.945301
143,4113,3010,29671,8.563555
144,43185,32845,9599,23.075613
145,35533,30599,25474,12.16287
146,26707,34516,7875,8.592699
147,19977,28408,49215,9.119032
148,42512,23324,32211,5.463882
149,34258,23354,28605,17.342222
150,49814,18730,22077,13.958452
151,17949,44661,34505,18.35899
152,29576,578,48049,17.133545
153,2449,12064,35876,19.270864
154,31072,24714,25691,24.25688
155,32887,24050,39995,20.331583
156,458,9865,30896,13.20288
157,11043,46719,25634,22.299618
158,34525,39639,545,19.014576
159,14979,29654,30412,20.388475
160,29710,23797,2226,13.285605
161,24237,1411,26811,8.554156
162,1276,31610,17261,10.587139
163,24563,28161,32451,35.77545
164,29598,44863,29856,7.1316614
165,903,24224,202,19.73996
166,10521,12444,46811,22.959124
167,13210,14683,4822,24.478033
168,19186,46009,17307,14.322028
169,39508,6619,8269,7.0795565
