epoch,global_step,learning_rate,train_rows,train_loss,train_cross_entropy,train_condition_margin_loss,train_token_accuracy,dev_teacher_nll_correct,dev_teacher_nll_shuffled,dev_teacher_nll_zero,dev_teacher_token_accuracy,dev_generation_exact_correct,dev_generation_identity_correct,dev_generation_exact_shuffled,dev_generation_identity_shuffled,dev_generation_exact_zero,dev_generation_identity_zero,dev_condition_identity_gap,checkpoint_score,epoch_wall_time_seconds
1,958,0.0003984611935975844,980000,0.7688084713624448,0.7679998193799233,0.003234606604916709,0.7518412836483547,0.24461899206774032,3.063083178202365,2.6795117081541187,0.905944323214626,0.04248046875,0.04443359375,0.0,0.0,0.0,0.0,0.04443359375,0.053095802266822596,207.3852931871079
2,1916,0.0003854699217752083,980000,0.1909011953241971,0.1909011953241971,0.0,0.926263825537234,0.1336168862923621,3.865513549546963,3.3348690883098984,0.9476763831795103,0.193359375,0.205078125,0.0,0.0,0.0,0.0,0.205078125,0.25501148738707635,209.5118864789838
3,2874,0.0003601598770042239,980000,0.12282382595247152,0.12282382595247152,0.0,0.9522548620788418,0.09999727394756672,4.30932616599591,3.740244330916147,0.9606629978296972,0.2890625,0.3037109375,0.0,0.0,0.0,0.0,0.3037109375,0.37863869913552434,207.50658722198568
4,3832,0.0003244153213396796,980000,0.0939867312762202,0.0939867312762202,0.0,0.963350901946243,0.07737045155272976,4.654405057667495,3.9573188160388386,0.9697423580572165,0.40478515625,0.41943359375,0.0,0.0,0.0,0.0,0.41943359375,0.5235182876719727,208.2468885689741
5,4790,0.0002808973369931123,980000,0.07657535903770096,0.07657535903770096,0.0,0.9700583665458523,0.0659050906077348,4.773150238496806,3.9338494135924185,0.9739212523493727,0.45849609375,0.470703125,0.0,0.0,0.0,0.0,0.470703125,0.5877198553439227,208.81261415896006
6,5748,0.00023284571620346895,980000,0.06399756972278868,0.06399756972278868,0.0,0.9749302501308674,0.05665506276329852,5.184052252800176,4.315762964829815,0.9777060424774628,0.5087890625,0.52783203125,0.0,0.0,0.0,0.0,0.52783203125,0.659223488434867,208.32661141909193
7,6706,0.0001838377677648178,980000,0.054105402422681144,0.054105402422681144,0.0,0.9787549345211107,0.05054886885305447,5.337962360468864,4.339671993935409,0.9801799158249959,0.54248046875,0.56103515625,0.0,0.0,0.0,0.0,0.56103515625,0.7007884566239695,208.18213625100907
8,7664,0.0001375219963903779,980000,0.045906340622901914,0.045906340622901914,0.0,0.9819749629371021,0.04620077360665758,5.677972647107246,4.70335787191709,0.9819662065755399,0.5830078125,0.59716796875,0.0,0.0,0.0,0.0,0.59716796875,0.7459979532014335,207.0249221069971
9,8622,9.73464817394634e-05,980000,0.03904925268401905,0.03904925268401905,0.0,0.9846366396203333,0.04256129126350536,5.936358981013399,4.762116518340265,0.9836324151648638,0.626953125,0.64306640625,0.0,0.0,0.0,0.0,0.64306640625,0.8034073948998649,207.26711829204578
10,9580,6.630217852921278e-05,980000,0.033542720031495,0.033542720031495,0.0,0.9867845665522984,0.04063186520103527,6.108962853327855,4.920123392575096,0.9844158155108499,0.6337890625,0.64794921875,0.0,0.0,0.0,0.0,0.64794921875,0.8095302047854896,205.83016313798726
11,10538,4.670024831993886e-05,980000,0.029503057166325803,0.029503057166325803,0.0,0.9883481117735103,0.039305980832040684,6.293643814755364,5.090122929367851,0.9852113316528734,0.6494140625,0.66259765625,0.0,0.0,0.0,0.0,0.66259765625,0.8278540105041796,207.21178091201
12,11496,4e-05,980000,0.026935248075334393,0.026935248075334393,0.0,0.9893668228558131,0.039091729652258767,6.454535045248239,5.192582929286362,0.9854259802249343,0.65380859375,0.66845703125,0.0,0.0,0.0,0.0,0.66845703125,0.8351803717659774,206.21813610789832
