policy,control,candidate_set_size,metric,n,mean,ci_95_low,ci_95_high,bootstrap_resamples
beam64_lp00,correct_embedding,1,oracle_target_recall,10000,0.6393,0.6299,0.6486025,2000
beam64_lp00,correct_embedding,1,reranked_exact_target_identity,10000,0.6393,0.6294,0.6491,2000
beam64_lp00,correct_embedding,5,oracle_target_recall,10000,0.8604,0.8531,0.8669,2000
beam64_lp00,correct_embedding,5,reranked_exact_target_identity,10000,0.8604,0.8532,0.8668,2000
beam64_lp00,correct_embedding,10,oracle_target_recall,10000,0.8986,0.8928,0.9044,2000
beam64_lp00,correct_embedding,10,reranked_exact_target_identity,10000,0.8986,0.8924,0.9047,2000
beam64_lp00,correct_embedding,20,oracle_target_recall,10000,0.921,0.9158975,0.9263,2000
beam64_lp00,correct_embedding,20,reranked_exact_target_identity,10000,0.921,0.9159,0.9265,2000
beam64_lp00,correct_embedding,50,oracle_target_recall,10000,0.9392,0.9347,0.9441,2000
beam64_lp00,correct_embedding,50,reranked_exact_target_identity,10000,0.9392,0.9344,0.9438,2000
beam64_lp00,shuffled_embedding,50,reranked_exact_target_identity,10000,0.0,0.0,0.0,2000
beam64_lp00,shuffled_embedding,50,reranked_exact_condition_source_identity,10000,0.9392,0.9344,0.9438,2000
beam64_lp00,shuffled_embedding,50,oracle_condition_source_recall,10000,0.9392,0.9345,0.9438,2000
beam64_lp00,nearest_wrong_embedding,50,reranked_exact_target_identity,10000,0.0001,0.0,0.0003,2000
beam64_lp00,nearest_wrong_embedding,50,reranked_exact_condition_source_identity,10000,0.9513,0.9469,0.9555,2000
beam64_lp00,nearest_wrong_embedding,50,oracle_condition_source_recall,10000,0.9513,0.947,0.9554025,2000
beam64_lp00,correct_embedding,50,reranked_target_scaffold_recovery,10000,0.9575,0.9534,0.9614,2000
beam64_lp00,correct_embedding,50,reranked_morgan_similarity_to_target,10000,0.9743253041490912,0.9721773584209382,0.9764835390489176,2000
beam64_lp00,correct_embedding,50,reranked_latent_cosine_to_supplied_condition,9999,0.9994094517245532,0.9993283096045562,0.9994876657824705,2000
beam64_lp00,correct_embedding,50,reranked_latent_relative_l2_to_supplied_condition,9999,0.007602158598276873,0.006924521188338816,0.008285952897757121,2000
