control,candidate_set_size,rows,oracle_exact_canonical_recall_at_k,reported_oracle_molecular_identity_recall_at_k,latent_reranked_exact_canonical_at_1,reported_reranked_molecular_identity_at_1,latent_reranked_exact_condition_source_canonical_at_1,reported_condition_source_molecular_identity_at_1
correct_embedding,1,10000,0.6393,0.6393,0.6393,0.6393,0.6393,0.6393
correct_embedding,5,10000,0.8604,0.8604,0.8604,0.8604,0.8604,0.8604
correct_embedding,10,10000,0.8986,0.8986,0.8986,0.8986,0.8986,0.8986
correct_embedding,20,10000,0.921,0.921,0.921,0.921,0.921,0.921
correct_embedding,50,10000,0.9392,0.9392,0.9392,0.9392,0.9392,0.9392
shuffled_embedding,1,10000,0.0,0.0,0.0,0.0,0.6393,0.6393
shuffled_embedding,5,10000,0.0,0.0,0.0,0.0,0.8604,0.8604
shuffled_embedding,10,10000,0.0,0.0,0.0,0.0,0.8986,0.8986
shuffled_embedding,20,10000,0.0,0.0,0.0,0.0,0.921,0.921
shuffled_embedding,50,10000,0.0,0.0,0.0,0.0,0.9392,0.9392
nearest_wrong_embedding,1,10000,0.0013,0.0013,0.0013,0.0013,0.6709,0.6709
nearest_wrong_embedding,5,10000,0.0073,0.0073,0.0003,0.0003,0.8844,0.8844
nearest_wrong_embedding,10,10000,0.0116,0.0116,0.0002,0.0002,0.9169,0.9169
nearest_wrong_embedding,20,10000,0.0171,0.0171,0.0002,0.0002,0.9377,0.9377
nearest_wrong_embedding,50,10000,0.0224,0.0224,0.0001,0.0001,0.9513,0.9513
