phase,policy,control,candidate_set_size,rows,candidate_set_nonempty_rate,candidate_set_full_rate,mean_unique_valid_candidate_count,raw_non_greedy_rdkit_valid_rate,raw_non_greedy_policy_accept_rate,unique_candidate_rate_per_raw_proposal,oracle_target_recall_at_k,oracle_condition_source_recall_at_k,latent_reranked_valid_top1_rate,latent_reranked_exact_target_identity_at_1,latent_reranked_exact_condition_source_identity_at_1,latent_reranked_target_scaffold_recovery,latent_reranked_condition_source_scaffold_recovery,latent_reranked_mean_morgan_to_target,latent_reranked_mean_morgan_to_condition_source,latent_reranked_mean_cosine_to_supplied_condition,latent_reranked_median_cosine_to_supplied_condition,latent_reranked_mean_l2_to_supplied_condition,latent_reranked_median_l2_to_supplied_condition,latent_reranked_mean_relative_l2_to_supplied_condition,latent_reranked_median_relative_l2_to_supplied_condition,rerank_target_selection_efficiency_given_oracle_presence,historical_step2_exact_identity,exact_target_identity_gain_over_historical_step2,same_panel_greedy_target_identity,same_panel_greedy_condition_source_identity,exact_target_identity_gain_over_same_panel_greedy,condition_source_identity_gain_over_same_panel_greedy
final,beam64_lp00,correct_embedding,1,10000,0.9701,0.9701,0.9701,0.647834375,0.647728125,0.554865625,0.6392999887466431,0.6392999887466431,0.9700999855995178,0.6392999887466431,0.6392999887466431,0.7427999973297119,0.7427999973297119,0.8476955890655518,0.8476955890655518,0.9938833117485046,0.9999998211860657,1.9123473167419434,0.01924716681241989,0.048362020403146744,0.0005719282198697329,1.0,0.639,0.00029998874664305397,0.6392999887466431,0.6392999887466431,0.0,0.0
final,beam64_lp00,correct_embedding,5,10000,0.9999,0.9701,4.9694,0.647834375,0.647728125,0.554865625,0.8604000210762024,0.8604000210762024,0.9998999834060669,0.8604000210762024,0.8604000210762024,0.9049999713897705,0.9049999713897705,0.9433056712150574,0.9433056712150574,0.9983561038970947,0.9999998807907104,0.7254167199134827,0.017670484259724617,0.017815392464399338,0.0005110690253786743,1.0,0.639,0.22140002107620238,0.6392999887466431,0.6392999887466431,0.22110003232955933,0.22110003232955933
final,beam64_lp00,correct_embedding,10,10000,0.9999,0.9668,9.9582,0.647834375,0.647728125,0.554865625,0.8985999822616577,0.8985999822616577,0.9998999834060669,0.8985999822616577,0.8985999822616577,0.9300000071525574,0.9300000071525574,0.9577264785766602,0.9577264785766602,0.9989094734191895,0.9999998807907104,0.5302547216415405,0.01752859354019165,0.012863525189459324,0.0005048654857091606,1.0,0.639,0.2595999822616577,0.6392999887466431,0.6392999887466431,0.25929999351501465,0.25929999351501465
final,beam64_lp00,correct_embedding,20,10000,0.9999,0.8727,19.519,0.647834375,0.647728125,0.554865625,0.9210000038146973,0.9210000038146973,0.9998999834060669,0.9210000038146973,0.9210000038146973,0.9448000192642212,0.9448000192642212,0.96701580286026,0.96701580286026,0.9992286562919617,0.9999998807907104,0.39980870485305786,0.017453856766223907,0.009720983915030956,0.0004999097436666489,1.0,0.639,0.28200000381469725,0.6392999887466431,0.6392999887466431,0.2817000150680542,0.2817000150680542
final,beam64_lp00,correct_embedding,50,10000,0.9999,0.1867,35.4262,0.647834375,0.647728125,0.554865625,0.9391999840736389,0.9391999840736389,0.9998999834060669,0.9391999840736389,0.9391999840736389,0.9574999809265137,0.9574999809265137,0.97432541847229,0.97432541847229,0.9994094967842102,0.9999998807907104,0.31357648968696594,0.017394395545125008,0.007602158468216658,0.0004965802072547376,1.0,0.639,0.3001999840736389,0.6392999887466431,0.6392999887466431,0.29989999532699585,0.29989999532699585
final,beam64_lp00,shuffled_embedding,1,10000,0.9701,0.9701,0.9701,0.647834375,0.647728125,0.554865625,0.0,0.6392999887466431,0.9700999855995178,0.0,0.6392999887466431,0.00419999985024333,0.7427999973297119,0.11221485584974289,0.8476955890655518,0.9938833117485046,0.9999998211860657,1.9123473167419434,0.01924716681241989,0.048362020403146744,0.0005719282198697329,,0.639,-0.639,0.0,0.6392999887466431,0.0,0.0
final,beam64_lp00,shuffled_embedding,5,10000,0.9999,0.9701,4.9694,0.647834375,0.647728125,0.554865625,0.0,0.8604000210762024,0.9998999834060669,0.0,0.8604000210762024,0.005100000184029341,0.9049999713897705,0.11546364426612854,0.9433055520057678,0.9983561038970947,0.9999998807907104,0.7254166603088379,0.017670484259724617,0.017815392464399338,0.0005110690253786743,,0.639,-0.639,0.0,0.6392999887466431,0.0,0.22110003232955933
final,beam64_lp00,shuffled_embedding,10,10000,0.9999,0.9668,9.9582,0.647834375,0.647728125,0.554865625,0.0,0.8985999822616577,0.9998999834060669,0.0,0.8985999822616577,0.004999999888241291,0.9300000071525574,0.11549045145511627,0.9577263593673706,0.9989094734191895,0.9999998807907104,0.5302547216415405,0.01752859354019165,0.01286352425813675,0.0005048654857091606,,0.639,-0.639,0.0,0.6392999887466431,0.0,0.25929999351501465
final,beam64_lp00,shuffled_embedding,20,10000,0.9999,0.8727,19.519,0.647834375,0.647728125,0.554865625,0.0,0.9210000038146973,0.9998999834060669,0.0,0.9210000038146973,0.005200000014156103,0.9448000192642212,0.11546208709478378,0.96701580286026,0.9992287158966064,0.9999998807907104,0.39980870485305786,0.017453856766223907,0.009720983915030956,0.0004999097436666489,,0.639,-0.639,0.0,0.6392999887466431,0.0,0.2817000150680542
final,beam64_lp00,shuffled_embedding,50,10000,0.9999,0.1867,35.4262,0.647834375,0.647728125,0.554865625,0.0,0.9391999840736389,0.9998999834060669,0.0,0.9391999840736389,0.005200000014156103,0.9574999809265137,0.11547517031431198,0.9743252992630005,0.9994094967842102,0.9999998807907104,0.31357648968696594,0.017394395545125008,0.007602158468216658,0.0004965802072547376,,0.639,-0.639,0.0,0.6392999887466431,0.0,0.29989999532699585
final,beam64_lp00,nearest_wrong_embedding,1,10000,0.977,0.977,0.977,0.6390984375,0.638978125,0.546440625,0.0013000000035390258,0.6708999872207642,0.9769999980926514,0.0013000000035390258,0.6708999872207642,0.5067999958992004,0.777999997138977,0.3943549692630768,0.8657983541488647,0.9950028657913208,0.9999998211860657,1.63222336769104,0.01886661723256111,0.04239561781287193,0.0005693850689567626,1.0,0.639,-0.637699999996461,0.0013000000035390258,0.6708999872207642,0.0,0.0
final,beam64_lp00,nearest_wrong_embedding,5,10000,1.0,0.9769,4.9769,0.6390984375,0.638978125,0.546440625,0.007300000172108412,0.8844000101089478,1.0,0.0003000000142492354,0.8844000101089478,0.5791000127792358,0.9244999885559082,0.411609947681427,0.9544119834899902,0.9987462759017944,0.9999998807907104,0.5554984211921692,0.017535679042339325,0.014193467795848846,0.0005153397796675563,0.04109589139401189,0.639,-0.6386999999857508,0.0013000000035390258,0.6708999872207642,-0.0009999999892897904,0.2135000228881836
final,beam64_lp00,nearest_wrong_embedding,10,10000,1.0,0.9731,9.9674,0.6390984375,0.638978125,0.546440625,0.011599999852478504,0.9168999791145325,1.0,0.00019999999494757503,0.9168999791145325,0.5892999768257141,0.9466999769210815,0.41326385736465454,0.9667794704437256,0.9992318153381348,0.9999998807907104,0.382544606924057,0.017410490661859512,0.009709969162940979,0.0005089279147796333,0.017241379094055955,0.639,-0.6388000000050524,0.0013000000035390258,0.6708999872207642,-0.0011000000085914508,0.2459999918937683
final,beam64_lp00,nearest_wrong_embedding,20,10000,1.0,0.871,19.4876,0.6390984375,0.638978125,0.546440625,0.017100000753998756,0.9376999735832214,1.0,0.00019999999494757503,0.9376999735832214,0.59579998254776,0.9599999785423279,0.4145561456680298,0.9752547144889832,0.9994919896125793,0.9999998807907104,0.27396875619888306,0.01733383722603321,0.007042605429887772,0.0005049373721703887,0.01169590562157174,0.639,-0.6388000000050524,0.0013000000035390258,0.6708999872207642,-0.0011000000085914508,0.2667999863624573
final,beam64_lp00,nearest_wrong_embedding,50,10000,1.0,0.176,34.9547,0.6390984375,0.638978125,0.546440625,0.02239999920129776,0.9513000249862671,1.0,9.999999747378752e-05,0.9513000249862671,0.6000000238418579,0.9678999781608582,0.41540467739105225,0.9806337952613831,0.9996262788772583,0.9999998807907104,0.2152915745973587,0.017284609377384186,0.005504101514816284,0.0005020334501750767,0.004464285760688507,0.639,-0.6389000000025262,0.0013000000035390258,0.6708999872207642,-0.0012000000060652383,0.28040003776550293
