query_position,target_index,target_hash,correct_source_index,shuffled_source_index,nearest_wrong_source_index,nearest_wrong_distance
0,206298,76ba545b065545d13549d32b924ecb50e27d29ff69e424c3cadb442a1d9d73fe,206298,162385,542272,22.322996
1,209923,05cd36bccb8968d338022bca66690cbcab39d528e6c1af4fd5873cc016e3906e,209923,335827,677886,18.11887
2,594249,ccc8554e4b07d54e3fe7e4c4a2e45a9a17a77a42406c61a4842e23343a7436f6,594249,320304,348893,25.718151
3,304846,f70c9e31785f953cf8ca83f4ad0f4a2c580c3a1db09750e38575cfd8358eb77f,304846,440275,787791,21.133972
4,819085,490c2691e286176e79f6a70310661f2207a8078eb41241c2d14d6e450fb575b7,819085,485697,812769,20.340984
5,938326,d8483f8c429805e6790edd6b1ef91112d1a9679af533d4fe6b664646dd23ab66,938326,644274,242504,20.78235
6,377200,d11aa1730cb54d5f9261b55cb3f448fbf777d0e2135af62188b74a46c43ab7dc,377200,853110,470717,21.073439
7,199199,116f9f286448cd27c8ca8acf6236d654c784a37234ba37474d6e732247ae3329,199199,27656,267716,21.856853
8,399515,cc4e461a4d7e2bd4c80c3a0cdcc1badb7a88cfdf7598d87071f75c4f3735b20b,399515,833888,431427,12.04125
9,102569,3e3f0991789d5387730ef73d59b3a410cdafbaea7d04b39d1d323cf4513fffae,102569,70247,100870,19.30047
10,796064,a615ae54d866b39f60eb87922ef7abba2f65b7e7318fdc25c0ba38a56a3277d8,796064,791408,922742,17.295986
11,106838,c18c15e44fd952ec37fec5ad46e1fed46cce6a3f367cf40628961d5b188bd7cd,106838,972823,516131,24.745264
12,221231,54acfe29792f8511415687a363b3c423731e8ce0ba08ec406dbe8610ac52f54b,221231,439957,423564,24.260876
13,796049,cee09f9592d4f9ea733a7f934cb9754d0e4e569f46bd100a8d0c5c507af0adc7,796049,427019,935826,16.23709
14,724096,11c4c64e72aa5bc499877e2ae8880137244f1d7c70b50c5873dd3defe6ff0fe5,724096,284537,72163,21.643045
15,734182,d51ad06287a5dfdc0b574ab08a3b5ca4cd226ebd7e6071565b22205f318637a2,734182,985315,953932,23.115664
16,721374,35641cd69d8d3f06eb0fc2743af2c4a9135c57017631a8031f7445563a090672,721374,850941,925435,27.46622
17,721352,eefc9a28b1e988a4bf1d9d0bfdabb286c337e3232eb51a3fabe8254a32074945,721352,227940,733899,24.935572
18,852085,5243aa9b28f40dc881fee60509ba5934a321294bb4aae84dc7a043496f2de17e,852085,375334,651616,22.221571
19,453812,1ee899380598586912989f9509c0d0ce241a333263ae91389416eb419a7e3e49,453812,631779,455744,17.945936
20,362122,f9e9d6eab0791157a105f578f11afd4c7d0117cbab1b0bd9ec1ac9b380816eb4,362122,473277,164263,18.74554
21,179612,751ee68330686b560c5d1abd3bc6722ef288ed1c37ff356e75715fc459489c3a,179612,554981,632949,17.736492
22,369368,64c370cd9872572039fa36e777bb0ba46652d6afbcc6a60552f00f7156530cc0,369368,13876,6793,19.343119
23,164836,b0d108d2ae1a1483f84b2340e97cdda6a58abd7b88ab40a349f9b1e347287ea0,164836,812641,656616,22.669102
24,6437,a051c12136d3e472ca4d6ca5f662397989c0ec5f9b6acfee3bd01ef71846b77d,6437,993034,22884,29.91846
25,874399,f1ad1dd77f7f38f82eb85c0b95a4fecd4bc981143b6b901cebefb1841723734a,874399,882801,189327,27.393736
26,908355,cf62cec7fb30cca9b5e1b3c7584bca7dd448ef266c29b45c08700ed34956889e,908355,144383,538628,25.185163
27,92689,68618399734511133c5fa7da2494e182d1b92a113949f600f236492dcc7ae578,92689,54522,757634,20.551058
28,567296,efa80d0a739a557aa3a40f0a7f812148f3b694f4ac42c95d29cb108ffd2105bc,567296,675797,363290,8.808205
29,335686,558ddefcedd7781683cacbaea7e620a3625779c9e0a427ee3c85ec7009540b27,335686,459723,472590,21.376423
30,255801,c7f11297321d646c9e034f0d75700740296ddf9b5a5a640dae19e0ad89870df5,255801,908223,316575,16.01476
31,299352,500e3b3497104f417f4052797fe119cee229448df80e4268f50da9f250e154db,299352,579059,656996,10.672596
32,47869,28d9e049a46e8d5ee3d4c0fc492e3bf4d9f8ba1050b8e9386a84ccf54bdb3e54,47869,764358,902253,29.514608
33,745989,1a2efa7317baac3265368cce939dc81f52d49c567268f5052ec4118e6872284f,745989,709828,371763,18.385344
34,296344,3f397f67d6b5fa8dd9f0bef847407cd6aba8de1408fc3c9d4fadaaf2cbd9ef97,296344,323567,351451,20.312243
35,639391,9cc46067f72073e8b5d5f532052d9f8c983dcb7d6576c4cc2840d6df9dd2c8f4,639391,531897,775161,23.287462
