frequency_rank,seed_to_candidate_transform,seed_substituent,candidate_substituent,mmp_edit_class,variable_heavy_atom_delta,candidate_count,seed_count,unique_candidate_molecules,ambiguous_explanation_count,mean_morgan_to_seed,median_morgan_to_seed,median_core_heavy_atoms
1,C[*:1]>>CC[*:1],C[*:1],CC[*:1],substituent_growth,1.0,581,510,581,414,0.8158631,0.8113208,22.0
2,CC[*:1]>>C[*:1],CC[*:1],C[*:1],substituent_truncation,-1.0,566,520,566,449,0.8176988,0.8181818,20.0
3,Cl[*:1]>>Br[*:1],Cl[*:1],Br[*:1],equal_heavy_atom_replacement,0.0,305,285,305,212,0.7780189,0.78571427,21.0
4,Br[*:1]>>I[*:1],Br[*:1],I[*:1],equal_heavy_atom_replacement,0.0,189,189,189,94,0.75604403,0.75609756,19.0
5,Cl[*:1]>>F[*:1],Cl[*:1],F[*:1],equal_heavy_atom_replacement,0.0,187,171,187,133,0.7970807,0.8,22.0
6,C[*:1]>>Cl[*:1],C[*:1],Cl[*:1],equal_heavy_atom_replacement,0.0,159,149,159,115,0.8164934,0.8181818,22.0
7,C[*:1]>>F[*:1],C[*:1],F[*:1],equal_heavy_atom_replacement,0.0,153,150,153,114,0.8174678,0.8235294,22.0
8,CC(C)[*:1]>>CC[*:1],CC(C)[*:1],CC[*:1],substituent_truncation,-1.0,143,142,141,95,0.74076295,0.7457627,19.0
9,CO[*:1]>>O[*:1],CO[*:1],O[*:1],substituent_truncation,-1.0,108,108,108,74,0.7750674,0.7777778,20.0
10,C[*:1]>>CO[*:1],C[*:1],CO[*:1],substituent_growth,1.0,108,107,108,59,0.78411096,0.7883539,22.0
11,c1ccc([*:1])cc1>>C1=CCC=CC([*:1])=C1,c1ccc([*:1])cc1,C1=CCC=CC([*:1])=C1,substituent_growth,1.0,102,102,102,54,0.6305644,0.6393443,17.0
12,Br[*:1]>>Cl[*:1],Br[*:1],Cl[*:1],equal_heavy_atom_replacement,0.0,90,89,90,37,0.75824916,0.7555998,19.0
13,C[*:1]>>[CH2][*:1],C[*:1],[CH2][*:1],equal_heavy_atom_replacement,0.0,89,87,89,70,0.7587108,0.77272725,17.0
14,Br[*:1]>>BrB[*:1],Br[*:1],BrB[*:1],substituent_growth,1.0,87,87,87,40,0.75062746,0.754717,19.0
15,F[*:1]>>Cl[*:1],F[*:1],Cl[*:1],equal_heavy_atom_replacement,0.0,87,84,87,55,0.79374826,0.8,21.0
16,CC(C)[*:1]>>C[*:1],CC(C)[*:1],C[*:1],substituent_truncation,-2.0,85,85,85,42,0.7715174,0.7826087,20.0
17,OC[*:1]>>O[*:1],OC[*:1],O[*:1],substituent_truncation,-1.0,85,85,85,65,0.8167462,0.82608694,20.0
18,C[*:1]>>Br[*:1],C[*:1],Br[*:1],equal_heavy_atom_replacement,0.0,84,82,84,55,0.81303626,0.8158705,22.0
19,C1CCC([*:1])C1>>C1CC([*:1])C1,C1CCC([*:1])C1,C1CC([*:1])C1,substituent_truncation,-1.0,83,81,83,57,0.96121246,0.96,18.0
20,C[*:1]>>N#C[*:1],C[*:1],N#C[*:1],substituent_growth,1.0,79,76,79,49,0.77252924,0.7741935,22.0
21,COC[*:1]>>CO[*:1],COC[*:1],CO[*:1],substituent_truncation,-1.0,78,78,78,71,0.79813975,0.8073549,19.0
22,c1cncc([*:1])c1>>c1cc([*:1])ccn1,c1cncc([*:1])c1,c1cc([*:1])ccn1,equal_heavy_atom_replacement,0.0,77,77,77,50,0.76875377,0.7777778,17.0
23,CC(C)(C)[*:1]>>CC(C)[*:1],CC(C)(C)[*:1],CC(C)[*:1],substituent_truncation,-1.0,77,76,77,38,0.7103601,0.72,18.0
24,C1CCC([*:1])C1>>C1CCC([*:1])CC1,C1CCC([*:1])C1,C1CCC([*:1])CC1,substituent_growth,1.0,76,74,76,41,0.9765905,0.97727275,16.5
25,Cl[*:1]>>C[*:1],Cl[*:1],C[*:1],equal_heavy_atom_replacement,0.0,76,69,76,46,0.807328,0.80602,20.0
26,C[*:1]>>[C-][*:1],C[*:1],[C-][*:1],equal_heavy_atom_replacement,0.0,74,73,74,66,0.80535704,0.8155707,21.0
27,C[*:1]>>O[*:1],C[*:1],O[*:1],equal_heavy_atom_replacement,0.0,68,68,68,39,0.81974417,0.82,21.0
28,C1CC([*:1])C1>>C1CC1[*:1],C1CC([*:1])C1,C1CC1[*:1],substituent_truncation,-1.0,67,67,67,43,0.92112064,0.92,19.0
29,F[*:1]>>Br[*:1],F[*:1],Br[*:1],equal_heavy_atom_replacement,0.0,67,64,67,49,0.79234,0.80851066,21.0
30,C[*:1]>>N[*:1],C[*:1],N[*:1],equal_heavy_atom_replacement,0.0,64,62,64,47,0.8117988,0.81302965,21.5
31,C1CCC([*:1])CC1>>C1CCC([*:1])C1,C1CCC([*:1])CC1,C1CCC([*:1])C1,substituent_truncation,-1.0,63,63,63,33,0.97810817,0.9782609,17.0
32,CC(C)C[*:1]>>CC(C)[*:1],CC(C)C[*:1],CC(C)[*:1],substituent_truncation,-1.0,63,63,63,39,0.75554204,0.75,19.0
33,CC(C)[*:1]>>CC(C)C[*:1],CC(C)[*:1],CC(C)C[*:1],substituent_growth,1.0,61,61,61,37,0.76277834,0.7647059,20.0
