chemical_category,delta_heavy_atom_count,delta_bond_count,delta_ring_count,delta_heteroatom_count,delta_formal_charge,element_count_delta_json,candidate_count,seed_count
scaffold_changing_analogue,0,0,0,0,0,{},129137,9617
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,{},29603,5861
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1}",25476,6769
scaffold_changing_analogue,-1,-1,0,0,0,"{""C"":-1}",19119,6193
scaffold_changing_analogue,1,1,0,1,0,"{""O"":1}",5176,2640
acyclic_non_mmp_analogue,0,0,0,0,0,{},4003,189
scaffold_changing_analogue,0,0,0,-1,0,"{""C"":1,""N"":-1}",3667,1502
scaffold_changing_analogue,1,1,0,1,0,"{""N"":1}",3540,1992
scaffold_preserving_non_mmp_analogue,1,1,0,0,0,"{""C"":1}",3283,1834
scaffold_changing_analogue,2,2,0,1,0,"{""C"":1,""O"":1}",3123,1605
scaffold_changing_analogue,-1,-1,0,-1,0,"{""O"":-1}",2951,1414
scaffold_changing_analogue,0,0,1,0,0,{},2919,958
scaffold_preserving_non_mmp_analogue,-1,-1,0,0,0,"{""C"":-1}",2726,1325
scaffold_changing_analogue,-1,-1,0,-1,0,"{""N"":-1}",2173,1133
scaffold_changing_analogue,1,1,0,1,0,"{""S"":1}",1827,1164
scaffold_changing_analogue,0,0,0,1,0,"{""C"":-1,""N"":1}",1632,996
scaffold_changing_analogue,2,2,0,1,0,"{""C"":1,""N"":1}",1460,884
scaffold_changing_analogue,-2,-2,0,-1,0,"{""C"":-1,""O"":-1}",1395,852
scaffold_changing_analogue,0,0,0,0,0,"{""N"":-1,""O"":1}",1284,756
scaffold_changing_analogue,0,0,0,0,0,"{""N"":1,""O"":-1}",1250,759
scaffold_changing_analogue,0,0,0,0,1,{},1210,717
scaffold_changing_analogue,2,2,0,0,0,"{""C"":2}",1059,666
scaffold_changing_analogue,0,0,0,-1,0,"{""C"":1,""O"":-1}",1015,614
scaffold_changing_analogue,-2,-2,0,0,0,"{""C"":-2}",995,719
scaffold_changing_analogue,0,0,0,1,0,"{""C"":-1,""S"":1}",979,707
scaffold_changing_analogue,-1,-1,1,0,0,"{""C"":-1}",818,410
scaffold_changing_analogue,1,1,1,0,0,"{""C"":1}",816,402
scaffold_changing_analogue,1,1,0,1,0,"{""F"":1}",777,448
acyclic_non_mmp_analogue,1,1,0,0,0,"{""C"":1}",754,152
scaffold_changing_analogue,0,0,0,0,0,"{""O"":-1,""S"":1}",751,483
scaffold_changing_analogue,-2,-2,0,-1,0,"{""C"":-1,""N"":-1}",716,509
scaffold_changing_analogue,0,0,0,0,0,"{""O"":1,""S"":-1}",665,358
scaffold_preserving_non_mmp_analogue,1,1,0,1,0,"{""O"":1}",650,434
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""N"":1,""O"":-1}",635,360
scaffold_changing_analogue,0,0,0,1,0,"{""C"":-1,""O"":1}",613,444
scaffold_changing_analogue,0,0,0,0,-1,{},607,396
acyclic_non_mmp_analogue,-1,-1,0,0,0,"{""C"":-1}",571,150
scaffold_changing_analogue,1,1,0,1,1,"{""N"":1}",567,372
scaffold_changing_analogue,0,0,0,1,0,"{""B"":1,""C"":-1}",542,445
scaffold_changing_analogue,-1,-1,0,-1,0,"{""F"":-1}",542,278
scaffold_changing_analogue,1,2,1,0,0,"{""C"":1}",479,295
scaffold_changing_analogue,0,0,0,0,0,"{""N"":-1,""S"":1}",459,325
scaffold_changing_analogue,0,0,0,1,0,"{""C"":-1,""P"":1}",450,369
scaffold_changing_analogue,-1,-1,0,0,0,"{""C"":-1,""N"":-1,""S"":1}",448,330
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""N"":-1,""O"":1}",442,279
scaffold_changing_analogue,2,2,0,1,0,"{""C"":1,""F"":1}",413,248
scaffold_changing_analogue,0,0,0,0,0,"{""N"":1,""S"":-1}",397,253
scaffold_changing_analogue,1,1,0,1,0,"{""B"":1}",385,321
scaffold_changing_analogue,1,1,0,1,0,"{""Cl"":1}",372,233
scaffold_changing_analogue,0,0,-1,0,0,{},364,41
scaffold_changing_analogue,-1,-1,0,0,0,"{""C"":-1,""N"":-1,""O"":1}",348,248
scaffold_changing_analogue,-1,-1,0,-1,0,"{""S"":-1}",336,173
scaffold_changing_analogue,1,1,0,1,0,"{""P"":1}",331,271
scaffold_changing_analogue,2,2,0,1,1,"{""C"":1,""N"":1}",325,208
scaffold_changing_analogue,1,1,0,0,1,"{""C"":1}",314,217
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""N"":1,""S"":-1}",313,182
scaffold_preserving_non_mmp_analogue,2,2,0,1,0,"{""C"":1,""O"":1}",304,225
scaffold_changing_analogue,1,1,0,-1,0,"{""C"":2,""N"":-1}",303,195
scaffold_changing_analogue,1,1,0,1,-1,"{""O"":1}",301,199
scaffold_changing_analogue,2,2,0,2,0,"{""O"":1,""S"":1}",300,190
scaffold_preserving_non_mmp_analogue,1,1,0,1,0,"{""N"":1}",299,249
scaffold_preserving_non_mmp_analogue,-1,-1,0,-1,0,"{""F"":-1}",294,157
scaffold_preserving_non_mmp_analogue,1,1,0,1,0,"{""F"":1}",289,209
scaffold_changing_analogue,2,3,1,0,0,"{""C"":2}",284,211
scaffold_preserving_non_mmp_analogue,-1,-1,0,-1,0,"{""O"":-1}",270,189
scaffold_changing_analogue,0,0,0,0,1,"{""N"":1,""O"":-1}",270,167
scaffold_preserving_non_mmp_analogue,-2,-2,0,0,0,"{""C"":-2}",242,142
scaffold_changing_analogue,-1,-1,0,1,0,"{""C"":-2,""N"":1}",236,179
scaffold_changing_analogue,1,1,0,2,0,"{""C"":-1,""O"":1,""S"":1}",230,157
scaffold_changing_analogue,-6,-7,-1,0,0,"{""C"":-6}",220,156
scaffold_changing_analogue,0,0,0,0,0,"{""P"":1,""S"":-1}",212,132
scaffold_changing_analogue,3,4,1,1,0,"{""C"":2,""N"":1}",208,157
scaffold_changing_analogue,1,1,0,1,0,"{""Br"":1}",207,154
scaffold_changing_analogue,0,0,0,-1,0,"{""C"":1,""S"":-1}",195,104
scaffold_changing_analogue,-1,-1,0,-2,0,"{""C"":1,""O"":-1,""S"":-1}",188,93
scaffold_changing_analogue,2,2,0,1,0,"{""C"":1,""S"":1}",181,147
scaffold_preserving_non_mmp_analogue,1,1,0,1,0,"{""S"":1}",177,137
scaffold_changing_analogue,0,0,0,-1,0,"{""C"":1,""F"":-1}",177,113
scaffold_changing_analogue,2,2,0,2,0,"{""N"":1,""O"":1}",165,115
scaffold_changing_analogue,-1,-1,0,-1,1,"{""O"":-1}",165,113
scaffold_preserving_non_mmp_analogue,-2,-2,0,-1,0,"{""C"":-1,""O"":-1}",160,121
scaffold_changing_analogue,3,3,0,2,0,"{""C"":1,""N"":1,""O"":1}",159,102
scaffold_changing_analogue,-1,-1,0,0,1,"{""C"":-1}",157,125
scaffold_changing_analogue,-5,-6,-1,0,0,"{""C"":-5}",156,115
scaffold_changing_analogue,4,5,1,1,0,"{""C"":3,""N"":1}",156,111
scaffold_changing_analogue,-1,-1,0,0,0,"{""C"":-1,""N"":1,""O"":-1}",149,117
scaffold_changing_analogue,-1,-1,0,0,0,"{""C"":-1,""O"":-1,""S"":1}",145,107
scaffold_changing_analogue,-3,-3,0,-1,0,"{""C"":-2,""N"":-1}",144,119
scaffold_changing_analogue,-1,-1,0,1,0,"{""C"":-2,""S"":1}",144,115
scaffold_changing_analogue,-1,-1,0,0,-1,"{""C"":-1}",144,112
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,"{""N"":-1,""O"":1}",143,90
scaffold_changing_analogue,0,0,0,1,1,"{""C"":-1,""N"":1}",138,114
acyclic_non_mmp_analogue,1,1,0,1,0,"{""O"":1}",138,58
scaffold_changing_analogue,0,0,0,0,0,"{""F"":-1,""O"":1}",137,75
scaffold_changing_analogue,1,1,0,0,1,"{""C"":1,""N"":1,""O"":-1}",134,87
