population,descriptor_delta,n,mean,std,min,q05,q10,q25,median,q75,q90,q95,max
all_non_mmp,atom_count,301517,-0.01498754630750505,1.3219179390181393,-27.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,5.0
all_non_mmp,heavy_atom_count,301517,-0.015110259123034523,1.3219554296118672,-27.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,5.0
all_non_mmp,bond_count,301517,-0.024147892158651086,1.4607831301162773,-30.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,6.0
all_non_mmp,ring_count,301517,0.00891823678266897,0.24428502002132038,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
all_non_mmp,heteroatom_count,301517,0.021375245840201382,0.5601889504553444,-11.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
all_non_mmp,formal_charge,301517,0.0056812717027563955,0.17264685215074074,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
all_non_mmp,aromatic_atom_count,301517,-0.13913311687234883,1.1383288993178067,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
all_non_mmp,aromatic_bond_count,301517,-0.1484062258512787,1.1785845315192869,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
scaffold_preserving_non_mmp_analogue,atom_count,43425,0.03544041450777202,0.643086805435741,-9.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,4.0
scaffold_preserving_non_mmp_analogue,heavy_atom_count,43425,0.03544041450777202,0.643086805435741,-9.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,4.0
scaffold_preserving_non_mmp_analogue,bond_count,43425,0.03544041450777202,0.643086805435741,-9.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,4.0
scaffold_preserving_non_mmp_analogue,ring_count,43425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scaffold_preserving_non_mmp_analogue,heteroatom_count,43425,0.04016119746689695,0.39350260448092966,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
scaffold_preserving_non_mmp_analogue,formal_charge,43425,0.0005757052389176742,0.13966034234346753,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
scaffold_preserving_non_mmp_analogue,aromatic_atom_count,43425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scaffold_preserving_non_mmp_analogue,aromatic_bond_count,43425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acyclic_non_mmp_analogue,atom_count,7555,0.04182660489741893,0.8275107247542609,-11.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.0
acyclic_non_mmp_analogue,heavy_atom_count,7555,0.04182660489741893,0.8275107247542609,-11.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.0
acyclic_non_mmp_analogue,bond_count,7555,0.04182660489741893,0.8275107247542609,-11.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.0
acyclic_non_mmp_analogue,ring_count,7555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acyclic_non_mmp_analogue,heteroatom_count,7555,0.04632693580410324,0.47380209616068547,-5.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
acyclic_non_mmp_analogue,formal_charge,7555,0.008074123097286565,0.18355312546082414,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
acyclic_non_mmp_analogue,aromatic_atom_count,7555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acyclic_non_mmp_analogue,aromatic_bond_count,7555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scaffold_changing_analogue,atom_count,250537,-0.025441351975955647,1.4177706969647088,-27.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,5.0
scaffold_changing_analogue,heavy_atom_count,250537,-0.025589034753349806,1.4178116756273549,-27.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,5.0
scaffold_changing_analogue,bond_count,250537,-0.03646567173710869,1.5731729943654413,-30.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,6.0
scaffold_changing_analogue,ring_count,250537,0.010732945632780787,0.2679526454339938,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
scaffold_changing_analogue,heteroatom_count,250537,0.017366696336269694,0.5864846891249288,-11.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
scaffold_changing_analogue,formal_charge,250537,0.006494050778926865,0.17739860334993054,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
scaffold_changing_analogue,aromatic_atom_count,250537,-0.16744432958006203,1.2468860580095646,-21.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
scaffold_changing_analogue,aromatic_bond_count,250537,-0.17860435783936104,1.2908599360349695,-22.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
