metric,value
population.seeds,10000
population.seeds_with_at_least_one_retained_candidate,9999
population.seeds_without_retained_candidate,1
population.retained_candidate_rows,354262
population.nominal_candidate_slots,500000
population.globally_unique_candidate_molecules,353245
population.globally_unique_seed_or_candidate_molecules,353853
validity_and_uniqueness.retained_rdkit_valid_rate_recomputed,1.0
validity_and_uniqueness.retained_policy_accepted_rate_recomputed,1.0
validity_and_uniqueness.retained_valid_unique_identity_slots_fraction_of_nominal_50,0.708524
validity_and_uniqueness.mean_unique_canonical_identities_per_seed,35.4262
validity_and_uniqueness.median_unique_canonical_identities_per_seed,36.0
validity_and_uniqueness.mean_unique_raw_smiles_per_seed_in_retained_sets,35.4262
validity_and_uniqueness.raw_beam_hypotheses,640000
validity_and_uniqueness.raw_beam_rdkit_valid_rate,0.647834375
validity_and_uniqueness.raw_beam_policy_accepted_rate,0.647728125
validity_and_uniqueness.greedy_rdkit_valid_rate,0.9701
validity_and_uniqueness.greedy_policy_accepted_rate,0.9701
validity_and_uniqueness.accepted_beam_identity_redundancy_count,59432
validity_and_uniqueness.accepted_beam_identity_redundancy_fraction,0.143366478026564
validity_and_uniqueness.seed_identity_candidate_count,9392
validity_and_uniqueness.exact_seed_canonical_spelling_count,8960
validity_and_uniqueness.alternative_smiles_same_seed_identity_count,432
validity_and_uniqueness.individual_discarded_raw_strings_available,False
validity_and_uniqueness.raw_string_duplicate_vs_alternative_spelling_limitation,individual rejected and deduplicated beam strings were not persisted by Step 2b; raw-beam validity and identity redundancy are recoverable only from frozen aggregate generation statistics
mmp_derivatives.genuine_nonseed_candidates,344870
mmp_derivatives.one_cut_mmp_candidates,43353
mmp_derivatives.global_mmp_fraction_among_genuine_nonseed,0.12570823788673993
mmp_derivatives.seeds_with_at_least_one_mmp,7892
mmp_derivatives.seeds_with_at_least_one_mmp_fraction,0.7892
mmp_derivatives.mmp_candidates_with_multiple_explanations,18109
mmp_derivatives.distinct_primary_directional_transformations,24055
mmp_derivatives.fragmentation.molecules,353853
mmp_derivatives.fragmentation.parse_failures,0
mmp_derivatives.fragmentation.molecules_with_eligible_fragments,351852
mmp_derivatives.fragmentation.eligible_fragmentations,2114168
scaffold_preservation.genuine_nonseed_with_nonempty_seed_scaffold,336362
scaffold_preservation.nonempty_seed_scaffold_retention_rate,0.17875978856113353
scaffold_preservation.all_nonseed_exact_scaffold_key_rate_including_empty,0.19830950793052454
scaffold_preservation.both_seed_and_candidate_acyclic_rate_among_nonseed,0.023959752950387103
scaffold_preservation.median_distinct_scaffold_keys_per_seed,19.0
scaffold_preservation.median_distinct_nonempty_scaffolds_per_seed,19.0
within_set_diversity.all_candidate_pair_count,6750957
within_set_diversity.genuine_nonseed_pair_count,6431473
within_set_diversity.all_candidates.n,6750957
within_set_diversity.all_candidates.mean,0.4554865284700005
within_set_diversity.all_candidates.std,0.14063947867905252
within_set_diversity.all_candidates.min,0.0
within_set_diversity.all_candidates.q05,0.25
within_set_diversity.all_candidates.q10,0.2881355881690979
within_set_diversity.all_candidates.q25,0.35555556416511536
within_set_diversity.all_candidates.median,0.4406779706478119
within_set_diversity.all_candidates.q75,0.5409836173057556
within_set_diversity.all_candidates.q90,0.6470588445663452
within_set_diversity.all_candidates.q95,0.7115384340286255
within_set_diversity.all_candidates.max,1.0
within_set_diversity.genuine_nonseed.n,6431473
within_set_diversity.genuine_nonseed.mean,0.4510723159982923
within_set_diversity.genuine_nonseed.std,0.1386126344946348
within_set_diversity.genuine_nonseed.min,0.0
within_set_diversity.genuine_nonseed.q05,0.25
within_set_diversity.genuine_nonseed.q10,0.2857142984867096
within_set_diversity.genuine_nonseed.q25,0.3529411852359772
within_set_diversity.genuine_nonseed.median,0.43661972880363464
within_set_diversity.genuine_nonseed.q75,0.5344827771186829
within_set_diversity.genuine_nonseed.q90,0.6393442749977112
within_set_diversity.genuine_nonseed.q95,0.7037037014961243
within_set_diversity.genuine_nonseed.max,1.0
within_set_diversity.fraction_all_candidate_pairs_tanimoto_ge_0_90,0.003455213831164974
within_set_diversity.fraction_distinct_identity_pairs_tanimoto_eq_1,0.000382019912139864
bounded_conclusion.classification,useful_local_analogue_generator_not_supported
bounded_conclusion.gate_values.fraction_seeds_with_5_genuine_nonseed,0.9993
bounded_conclusion.gate_values.fraction_seeds_with_1_mmp,0.7892
bounded_conclusion.gate_values.nonempty_seed_scaffold_retention,0.17875978856113353
bounded_conclusion.gate_values.global_nonseed_median_morgan,0.5272727012634277
bounded_conclusion.gate_values.median_unique_nonseed_per_seed,35.0
bounded_conclusion.gate_values.global_pairwise_mean_morgan,0.45107218623161316
bounded_conclusion.gates.genuine_nonseed_yield,True
bounded_conclusion.gates.mmp_seed_coverage,True
bounded_conclusion.gates.scaffold_locality,False
bounded_conclusion.gates.seed_similarity_local_not_trivial,True
bounded_conclusion.gates.unique_nonseed_yield,True
bounded_conclusion.gates.within_set_nontrivial_diversity,True
bounded_conclusion.scope,unperturbed frozen Step-2b correct-condition candidate sets only
