population,bin_left,bin_right,count,fraction
all_unique_retained_candidates,0.0,0.01,118,1.747900334722914e-05
all_unique_retained_candidates,0.01,0.02,464,6.873099621283323e-05
all_unique_retained_candidates,0.02,0.03,680,0.00010072645996708319
all_unique_retained_candidates,0.03,0.04,212,3.140295516620829e-05
all_unique_retained_candidates,0.04,0.05,216,3.1995463754249955e-05
all_unique_retained_candidates,0.05,0.06,1398,0.0002070817515205622
all_unique_retained_candidates,0.06,0.07,1073,0.00015894042874217685
all_unique_retained_candidates,0.07,0.08,1065,0.00015775541156609353
all_unique_retained_candidates,0.08,0.09,1114,0.00016501364176960392
all_unique_retained_candidates,0.09,0.1,1399,0.0002072298786675726
all_unique_retained_candidates,0.1,0.11,1988,0.0002944767682567079
all_unique_retained_candidates,0.11,0.12,2855,0.000422903004714739
all_unique_retained_candidates,0.12,0.13,3062,0.00045356532414589514
all_unique_retained_candidates,0.13,0.14,4583,0.0006788667147487386
all_unique_retained_candidates,0.14,0.15,6071,0.0008992799095002383
all_unique_retained_candidates,0.15,0.16,8839,0.001309295852425071
all_unique_retained_candidates,0.16,0.17,10581,0.0015673333425172164
all_unique_retained_candidates,0.17,0.18,14056,0.0020820751783784137
all_unique_retained_candidates,0.18,0.19,19001,0.002814563920344923
all_unique_retained_candidates,0.19,0.2,18595,0.002754424298658694
all_unique_retained_candidates,0.2,0.21,34650,0.00513260564391093
all_unique_retained_candidates,0.21,0.22,37152,0.005503219765730992
all_unique_retained_candidates,0.22,0.23,44838,0.006641725017653053
all_unique_retained_candidates,0.23,0.24,53901,0.007984201351008456
all_unique_retained_candidates,0.24,0.25,47971,0.007105807369236688
all_unique_retained_candidates,0.25,0.26,89705,0.013287745722569407
all_unique_retained_candidates,0.26,0.27,83913,0.012429793287085076
all_unique_retained_candidates,0.27,0.28,93665,0.013874329224730657
all_unique_retained_candidates,0.28,0.29,113211,0.016769622440196256
all_unique_retained_candidates,0.29,0.3,109986,0.016291912391087664
all_unique_retained_candidates,0.3,0.31,144088,0.021343344358436885
all_unique_retained_candidates,0.31,0.32,147523,0.021852161108417666
all_unique_retained_candidates,0.32,0.33,161490,0.02392105297071215
all_unique_retained_candidates,0.33,0.34,159630,0.02364553647727278
all_unique_retained_candidates,0.34,0.35000000000000003,174875,0.025903734833446577
all_unique_retained_candidates,0.35000000000000003,0.36,170641,0.025276564493004472
all_unique_retained_candidates,0.36,0.37,197366,0.02923526249685785
all_unique_retained_candidates,0.37,0.38,195303,0.028929676192575363
all_unique_retained_candidates,0.38,0.39,200442,0.029690901601061893
all_unique_retained_candidates,0.39,0.4,166508,0.02466435499441042
all_unique_retained_candidates,0.4,0.41000000000000003,236484,0.03502970023361132
all_unique_retained_candidates,0.41000000000000003,0.42,202959,0.03006373763008711
all_unique_retained_candidates,0.42,0.43,194394,0.028795028615942894
all_unique_retained_candidates,0.43,0.44,212225,0.03143628377428563
all_unique_retained_candidates,0.44,0.45,197290,0.02922400483368506
all_unique_retained_candidates,0.45,0.46,180811,0.026783017578100407
all_unique_retained_candidates,0.46,0.47000000000000003,192555,0.02852262279259074
all_unique_retained_candidates,0.47000000000000003,0.48,189616,0.028087277107527127
all_unique_retained_candidates,0.48,0.49,149740,0.02218055899333976
all_unique_retained_candidates,0.49,0.5,116969,0.017326284258661402
all_unique_retained_candidates,0.5,0.51,241222,0.03573152665614668
all_unique_retained_candidates,0.51,0.52,138198,0.020470875462545533
all_unique_retained_candidates,0.52,0.53,140666,0.02083645326136724
all_unique_retained_candidates,0.53,0.54,136105,0.02016084534385273
all_unique_retained_candidates,0.54,0.55,121960,0.01806558684939039
all_unique_retained_candidates,0.55,0.56,121671,0.01802277810390438
all_unique_retained_candidates,0.56,0.5700000000000001,118225,0.017512331955306486
all_unique_retained_candidates,0.5700000000000001,0.58,105317,0.015600306741696029
all_unique_retained_candidates,0.58,0.59,95471,0.014141846852231469
all_unique_retained_candidates,0.59,0.6,78691,0.01165627332539668
all_unique_retained_candidates,0.6,0.61,101828,0.015083491125776687
all_unique_retained_candidates,0.61,0.62,80992,0.01199711389066765
all_unique_retained_candidates,0.62,0.63,78247,0.011590504872124057
all_unique_retained_candidates,0.63,0.64,73552,0.01089504791691015
all_unique_retained_candidates,0.64,0.65,66867,0.009904817939145516
