structure_index,retained_step2d_molecule_hash,encoder_recanonicalized_molecule_hash,input_smiles,encoder_canonical_smiles
5934,00b9573d3c71e603cce15082b1249a6b455e876ea61f5201f4947e6cfac0325b,2601f05c9ff1f965fea3efb6ce1fade914a23c12e3d17f3a7590ffa298f24b75,CN(CCNC(=O)C1=CC=CP(=O)=N1)Cc1nnn(C)n1,CN(CCNC(=O)c1ccc[p+]([O-])n1)Cc1nnn(C)n1
69067,086496907129d9a158047766f55b58d260a37fc4dd153a3fff743be22dbd9c3b,9b58af6904ab348669367b2048264fa1f05daf70f6a19e6bd7464627b0698a46,CCC1(O)C(=O)OCc2c1nc1cc3oc(=O)n-1c1c-3c(C)c2C=C(OC)C=C1C,CCC1(O)C(=O)OCc2c1nc1cc3oc(=O)n1c1c-3c(C)c2C=C(OC)C=C1C
123221,0efe886548ec6946013d4849d02c98c593893c276c2230ad6b08bd67e6b21847,df83a483d47e30276a5e848fd332c06ee4205a165e8fe914d2fc1d775f20b03d,CC1=P(=O)N(C)C(CC(=O)NCC[NH2+]Cc2ncnn2C)=C1,Cc1cc(CC(=O)NCC[NH2+]Cc2ncnn2C)n(C)[p+]1[O-]
164984,1416832ff3173fe9849edb01b194549521254cac734d54282a585496b0272483,8c3ac651d574a4bd5a316d960eb9f8b4fd4ef6484a607a59f9faf1ca588468b8,CC1=C2OC(=C(Cl)C=CC=C1C(=O)N(C)C)C2(C)c1ccc(S(C)(=O)=O)cc1,Cc1c(C(=O)N(C)C)cccc(Cl)c2oc1C2(C)c1ccc(S(C)(=O)=O)cc1
465182,388ae8580652be435ddae228bf99783489148116213d141cf573ca1f20f70d11,ef01803bbf48e93f7dae090e12771c1755ebf8d1d43bd75e7433a6052a031146,C=C(C)C(=O)OC1C2CCC1C(O[IH](=O)[O-])C2,C=C(C)C(=O)OC1C2CCC1C(O[IH+]([O-])[O-])C2
491560,3bc3b33d20a62a9fc0b2a1ce11e5726f3450849c37ab8b28c441c22e835cf7af,7e5e4c1df755120dd305ad59a130bbbf9be6d2723ac2e01b9f383be762ceb692,CC(Cc1nnc(-c2ccccn2)s1)NC1=NN=C2C=CC(=C~2)C=C1,CC(Cc1nnc(-c2ccccn2)s1)NC1=NN=C2C=CC(=C2)C=C1
600567,48f02d513c295a6ce0f03e6a49be3e3013e2e92e1126ec77acac271797f2dbbe,d4d452d1b0eb9f1f3ce4c8653773a10379a11f960a38a47fcdfeca9e5a70d36c,C=CC(=O)OC[Si](C)(C)COC1(COC(=O)c2cc3c4n2n3-c2ccccc2N=C4C(=O)OC)CC1,C=CC(=O)OC[Si](C)(C)COC1(COC(=O)c2cc3c4c(C(=O)OC)nc5ccccc5n3n24)CC1
651088,4f117fbc301410560eaa690118e3b7d333c200f11921c7f4d2eccbde68cd22f3,3f006f249eeefdefccbcf2b7080f0f92a79a48188d58f10c9d6cbf4d479fba2d,Cn1ncc2c1C1(CCC(=O)NO[IH](=O)O)CCN1C(=O)C1CCNCC(NS(=O)(=O)O)N21,Cn1ncc2c1C1(CCC(=O)NO[IH+]([O-])O)CCN1C(=O)C1CCNCC(NS(=O)(=O)O)N21
719741,576b0961ada05b2e73417e93a02a1d4c3012e67321f2f22c6fe0503fda15ee59,5f75c5453bd114fefaa75e6659c1ce5f47f43e13e24d46c1c9106c73af38f0c7,Cc1ccccc1C1=P(=O)c2ccccc2N1C,Cc1ccccc1-c1n(C)c2ccccc2[p+]1[O-]
1021000,7bebe5f63ebae82503b1e59643b273fcd1ca8cb6decae9b0412747f05101b3c1,d46d011a4bcd3f70f847252130358f5f1f3878734ee1ca0b2800b4bd4a13fbbe,CC[NH+](CCNC(=O)C1=CNP(=O)=C(C)C=C1)CCC1CCOC1,CC[NH+](CCNC(=O)C1=CN[P+]([O-])=C(C)C=C1)CCC1CCOC1
1044349,7eba66b0a00f7921c2795d476ab7b38efa6c395a8deba2dddd3e6e03761ebc47,1cd03e8429b6993a1477a6f081573a5530bed637174a9aaf05275d5eac713add,CCOC(=O)C1CCN2C=CC=C3C=C(N=C2CN)N3CC1,CCOC(=O)C1CCN2c3cccn(c(CN)nc2c3)CC1
1094409,84d50e58c1ce6dd5b49da6d7696ab2be5a5adb93e3cf088ceedff37c59a1c9af,d4f19df0a0b78116cc352df7010af78b64f43d9b5f48e118422a11e5fe43a475,CCCCC(C(N)=O)(C(=O)O)S(=O)(=O)O[IH](=O)O,CCCCC(C(N)=O)(C(=O)O)S(=O)(=O)O[IH+]([O-])O
1468179,b224ff3d6354c6ddf04220327057ab9ed269cffe8a769854aef761ac48b6e6ab,aee8c9cdae6e18808857482739bf9484989b79d00e87a9dd9fe35a096d8327e9,Cn1c2cccn3ccnc2nc2c1nnc23,Cn1c2nnc3c-2nc2nccn3cccc21
1503829,b67cb5042be4c25e0fd9038aa823397e2751c456d42a00af65f38082d952baff,03fc68531a1879929b0b7efa4d0f00fc4764e67ead59716af6deac1c82f94400,CCC1(O)C(=O)OCc2c1nc1cc3c4cccc(c4c(=O)[nH]c2=O)C(=N1)C(C)=C3,CCC1(O)C(=O)OCc2c1nc1cc3c4cccc(c(n1)C(C)=C3)c4c(=O)[nH]c2=O
1524894,b90732538ccaf1de06396126f5dc10779f66856dcb88e3ae3ebfd68605f3dcf3,4bbe5262e93b45fdbcb0be48e5ad12bc6740140513e2f4c8f96ee4314175beaf,COC1(C=c2c3ccc(N(C)C)c2c3)C2C(=O)N(CCF)C(C)(C#N)C(=O)C21,COC1(C=c2c3ccc(N(C)C)c2=C3)C2C(=O)N(CCF)C(C)(C#N)C(=O)C21
1662008,c9bb87d7187b6e32033670db8765891fd3a91f8b495e1fa8b3168ff3e0f885f9,bffbb29cfbffd8feb96ab4227d8f162c1baf6808db93922859505f1cb19492c9,COC(=O)C1[NH+](CCNCc2cc(C)c(CO)o2)CCCC~1,COC(=O)C1CCCC[NH+]1CCNCc1cc(C)c(CO)o1
1791109,d9694dd8a89ca712769ef7b2dce846ab2e1678fc91baa9d2cc0a63c52b1bd255,e8efd562193c5ac0d1989ecbe007ed6b0295babc738b1f2c1b1eeadfa0f0e883,C=C(C)C(=O)OC1C2CCC(C2)C1O[IH](=O)[O-],C=C(C)C(=O)OC1C2CCC(C2)C1O[IH+]([O-])[O-]
