strategy,budget,metric,estimate,ci_lower,ci_upper,confidence_level,bootstrap_resamples,unit,denominator
hybrid_b500_s500_t120,50,raw_token_decode_fraction,1.0,1.0,1.0,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,50,raw_rdkit_valid_fraction,0.8567959999999999,0.8542280000000001,0.8593862500000001,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,50,raw_policy_acceptance_fraction,0.856776,0.8542119000000001,0.8593585500000002,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,50,unique_identity_yield_per_raw_slot,0.360638,0.35800750000000003,0.36333804999999997,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,50,mean_unique_accepted_identities,18.0319,17.900375,18.1669025,0.95,2000,count,all seeds
hybrid_b500_s500_t120,50,candidate_availability_rate,1.0,1.0,1.0,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,50,greedy_rdkit_valid_top1_rate,0.9716,0.9683,0.9748,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,50,greedy_policy_accepted_top1_rate,0.9716,0.9683,0.9748,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,50,greedy_exact_seed_identity_at_1,0.6314,0.6219,0.6407,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,50,greedy_seed_scaffold_recovery,0.7361,0.7276,0.7444,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,50,greedy_mean_morgan_to_seed,0.8434925766810775,0.8386715481976047,0.8483480171367899,0.95,2000,similarity,all seeds
hybrid_b500_s500_t120,50,greedy_conditional_mean_morgan_to_seed,0.8681479792929987,0.8641115163219677,0.8725443170853037,0.95,2000,similarity,policy-accepted greedy top-1 candidates
hybrid_b500_s500_t120,50,generator_order_valid_top1_rate,1.0,1.0,1.0,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,50,generator_order_exact_seed_identity_at_1,0.6493,0.6398975,0.659,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,50,generator_order_seed_scaffold_recovery,0.7564,0.7481,0.7644,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,50,generator_order_mean_morgan_to_seed,0.8682286110106856,0.864176884039417,0.8723560171128623,0.95,2000,similarity,all seeds
