strategy,budget,seed_rows,raw_slot_count,raw_valid_fraction,raw_policy_acceptance_fraction,raw_duplicate_or_redundant_fraction,mean_unique_accepted_identities,median_unique_accepted_identities,mean_genuine_nonseed,mean_mmp_derivatives,mmp_fraction_among_genuine_nonseed,seed_fraction_with_1_mmp,seed_fraction_with_5_mmp,seed_fraction_with_10_mmp,mean_same_scaffold_non_mmp,same_scaffold_fraction_among_scaffold_eligible_nonseed,mean_distinct_scaffolds,median_distinct_scaffolds,mean_novel_genuine_nonseed,novel_fraction_among_genuine_nonseed,mean_novel_mmp,mean_novel_same_scaffold_non_mmp,mean_novel_scaffold_changing,mean_novel_useful_local,median_novel_useful_local,seed_fraction_with_1_novel_useful_local,seed_fraction_with_5_novel_useful_local,seed_fraction_with_10_novel_useful_local,median_seed_candidate_morgan_nonseed,q25_seed_candidate_morgan_nonseed,q75_seed_candidate_morgan_nonseed,within_pairwise_morgan_weighted_mean,within_pairwise_evaluated_pairs,within_pairwise_approximate_seed_fraction
beam1000_lp00,50,512,25600,0.6411328125,0.6410546875,0.11894461032234477,28.240234375,28.0,27.294921875,4.115234375,0.15076923076923077,0.787109375,0.388671875,0.109375,3.337890625,0.19285817550961398,16.80078125,15.0,27.291015625,0.9998568872987478,4.115234375,3.337890625,19.60546875,7.453125,6.0,0.916015625,0.611328125,0.287109375,0.5492957830429077,0.45062683522701263,0.6610169410705566,0.47837404221303276,223527,0.0
beam1000_lp00,100,512,51200,0.56400390625,0.56375,0.1274598115299335,49.189453125,47.0,48.232421875,6.587890625,0.13658635351285686,0.84375,0.55078125,0.271484375,5.181640625,0.16894603226598967,28.1640625,26.0,48.228515625,0.999919011945738,6.587890625,5.181640625,36.009765625,11.76953125,10.0,0.947265625,0.751953125,0.505859375,0.529411792755127,0.4333333373069763,0.6405372321605682,0.4505319187416109,597767,0.23046875
beam1000_lp00,250,512,128000,0.476515625,0.476171875,0.131402789171452,103.400390625,96.0,102.4375,12.58203125,0.12282641854789506,0.892578125,0.728515625,0.533203125,9.435546875,0.14789221741815936,56.3515625,49.5,102.427734375,0.9999046674801708,12.58203125,9.435546875,79.337890625,22.017578125,18.0,0.96484375,0.8828125,0.72265625,0.5074626803398132,0.4117647111415863,0.6170869320631027,0.42358094282767034,975435,0.810546875
beam1000_lp00,500,512,256000,0.42171875,0.42116796875,0.1361448353258702,181.9140625,164.0,180.9453125,21.0078125,0.11610034109062649,0.92578125,0.810546875,0.677734375,14.974609375,0.1352636931252802,96.125,83.0,180.93359375,0.9999352359569966,21.0078125,14.974609375,142.939453125,35.982421875,30.0,0.974609375,0.912109375,0.82421875,0.49180328845977783,0.3968254029750824,0.6029411554336548,0.40456500819103497,1045564,0.982421875
beam1000_lp00,1000,512,512000,0.37409375,0.373359375,0.1406151914626491,320.859375,283.5,319.88671875,35.0,0.10941373288884004,0.9453125,0.85546875,0.791015625,23.814453125,0.12330886630605652,163.41015625,138.5,319.859375,0.9999145205211806,35.0,23.814453125,257.291015625,58.814453125,49.5,0.986328125,0.935546875,0.8984375,0.4776119291782379,0.3835616409778595,0.5873016119003296,0.3878245339749693,1048576,1.0
beam1000_lp06,50,512,25600,0.63171875,0.63171875,0.1184763789265397,27.84375,27.0,26.8984375,4.0078125,0.1489979668893407,0.783203125,0.380859375,0.10546875,3.328125,0.19476232394366197,16.4375,15.0,26.89453125,0.9998547778100494,4.0078125,3.328125,19.32421875,7.3359375,6.0,0.916015625,0.59765625,0.26953125,0.5507246255874634,0.4525689333677292,0.6610169410705566,0.4811193295809315,218634,0.0
beam1000_lp06,100,512,51200,0.55681640625,0.55669921875,0.12409220082096621,48.76171875,47.0,47.806640625,6.482421875,0.13559668259999183,0.837890625,0.533203125,0.265625,5.232421875,0.1724137931034483,27.7421875,25.0,47.802734375,0.9999182906401929,6.482421875,5.232421875,35.66015625,11.71484375,9.0,0.947265625,0.748046875,0.48828125,0.529411792755127,0.43478259444236755,0.640625,0.4526245075788855,590834,0.2109375
beam1000_lp06,250,512,128000,0.46784375,0.4676328125,0.12792154635213926,101.953125,94.0,100.9921875,12.27734375,0.12156726231917692,0.896484375,0.720703125,0.51953125,9.50390625,0.15000978665100803,55.3125,48.5,100.986328125,0.9999419818983523,12.27734375,9.50390625,78.19140625,21.78125,18.0,0.96484375,0.87890625,0.724609375,0.5076923370361328,0.41333332657814026,0.6181818246841431,0.4274086661375867,970956,0.7890625
beam1000_lp06,500,512,256000,0.41098828125,0.410640625,0.13241505269966897,178.1328125,159.5,177.1640625,20.376953125,0.11501741852978789,0.92578125,0.810546875,0.66796875,14.931640625,0.1372323561588783,93.998046875,81.0,177.15625,0.9999559024562332,20.376953125,14.931640625,139.962890625,35.30859375,29.0,0.978515625,0.912109375,0.8203125,0.49253731966018677,0.4000000059604645,0.6034482717514038,0.409770446381721,1043206,0.982421875
beam1000_lp06,1000,512,512000,0.37409375,0.373359375,0.1406151914626491,320.859375,283.5,319.88671875,35.0,0.10941373288884004,0.9453125,0.85546875,0.791015625,23.814453125,0.12330886630605652,163.41015625,138.5,319.859375,0.9999145205211806,35.0,23.814453125,257.291015625,58.814453125,49.5,0.986328125,0.935546875,0.8984375,0.4776119291782379,0.3835616409778595,0.5873016119003296,0.3879077255549479,1048576,1.0
