strategy,budget,interval_start_exclusive,interval_raw_proposals,mean_new_unique_accepted_identity_count,mean_new_mmp_derivative_count,mean_new_retains_nonempty_seed_scaffold_count,mean_new_novel_genuine_nonseed_count,mean_new_novel_useful_local_count,mean_new_distinct_scaffold_count,mean_rate_unique_accepted_identity_count,mean_rate_mmp_derivative_count,mean_rate_retains_nonempty_seed_scaffold_count,mean_rate_novel_genuine_nonseed_count,mean_rate_novel_useful_local_count,mean_rate_distinct_scaffold_count
beam1000_lp00,50,0,50,28.240234375,4.115234375,5.2109375,27.291015625,7.453125,16.80078125,0.5648046875,0.0823046875,0.10421875,0.5458203125,0.14906250000000001,0.336015625
beam1000_lp00,100,50,50,20.94921875,2.47265625,2.84765625,20.9375,4.31640625,11.36328125,0.418984375,0.049453125,0.056953125,0.41875,0.086328125,0.227265625
beam1000_lp00,250,100,150,54.2109375,5.994140625,6.90625,54.19921875,10.248046875,28.1875,0.36140625,0.0399609375,0.04604166666666667,0.361328125,0.06832031250000001,0.18791666666666668
beam1000_lp00,500,250,250,78.513671875,8.42578125,9.1953125,78.505859375,13.96484375,39.7734375,0.3140546875,0.033703125,0.03678125,0.3140234375,0.055859375,0.15909375
beam1000_lp00,1000,500,500,138.9453125,13.9921875,14.75390625,138.92578125,22.83203125,67.28515625,0.277890625,0.027984375,0.0295078125,0.2778515625,0.0456640625,0.1345703125
beam1000_lp06,50,0,50,27.84375,4.0078125,5.185546875,26.89453125,7.3359375,16.4375,0.556875,0.08015625,0.1037109375,0.537890625,0.14671875,0.32875
beam1000_lp06,100,50,50,20.91796875,2.474609375,2.96875,20.908203125,4.37890625,11.3046875,0.41835937500000003,0.0494921875,0.059375,0.4181640625,0.087578125,0.22609375
beam1000_lp06,250,100,150,53.19140625,5.794921875,6.814453125,53.18359375,10.06640625,27.5703125,0.354609375,0.0386328125,0.0454296875,0.35455729166666666,0.067109375,0.18380208333333334
beam1000_lp06,500,250,250,76.1796875,8.099609375,9.041015625,76.169921875,13.52734375,38.685546875,0.30471875,0.0323984375,0.036164062500000003,0.3046796875,0.054109375,0.1547421875
beam1000_lp06,1000,500,500,142.7265625,14.623046875,14.904296875,142.703125,23.505859375,69.412109375,0.285453125,0.02924609375,0.02980859375,0.28540625000000003,0.04701171875,0.13882421875
hybrid_b500_s500_t100,50,0,50,16.62890625,2.4140625,3.201171875,15.69140625,4.51953125,10.470703125,0.332578125,0.04828125,0.0640234375,0.313828125,0.090390625,0.2094140625
hybrid_b500_s500_t100,100,50,50,12.623046875,1.703125,2.03125,12.611328125,2.955078125,7.076171875,0.2524609375,0.0340625,0.040625,0.25222656250000003,0.0591015625,0.14152343750000002
hybrid_b500_s500_t100,250,100,150,31.57421875,3.609375,4.142578125,31.560546875,6.2578125,17.015625,0.21049479166666668,0.0240625,0.0276171875,0.21040364583333335,0.04171875,0.1134375
hybrid_b500_s500_t100,500,250,250,45.251953125,4.857421875,5.62890625,45.240234375,8.32421875,23.60546875,0.1810078125,0.0194296875,0.022515625,0.1809609375,0.033296875,0.094421875
hybrid_b500_s500_t100,1000,500,500,79.984375,8.42578125,9.1953125,79.978515625,13.966796875,40.744140625,0.15996875,0.0168515625,0.018390625,0.15995703125,0.02793359375,0.08148828125
hybrid_b500_s500_t120,50,0,50,16.875,2.419921875,3.21875,15.935546875,4.541015625,10.64453125,0.3375,0.0483984375,0.064375,0.3187109375,0.0908203125,0.212890625
hybrid_b500_s500_t120,100,50,50,12.77734375,1.69921875,2.0234375,12.765625,2.9453125,7.177734375,0.255546875,0.033984375,0.04046875,0.2553125,0.05890625,0.1435546875
hybrid_b500_s500_t120,250,100,150,32.076171875,3.60546875,4.158203125,32.0625,6.2734375,17.390625,0.21384114583333333,0.024036458333333333,0.027721354166666667,0.21375,0.04182291666666667,0.1159375
hybrid_b500_s500_t120,500,250,250,45.970703125,4.86328125,5.640625,45.9609375,8.33984375,24.072265625,0.1838828125,0.019453125,0.0225625,0.18384375,0.033359375,0.0962890625
hybrid_b500_s500_t120,1000,500,500,81.357421875,8.423828125,9.21875,81.34765625,13.984375,41.529296875,0.16271484375,0.01684765625,0.0184375,0.1626953125,0.02796875,0.08305859375
sample_t100_p098,50,0,50,4.716796875,0.201171875,0.509765625,3.81640625,0.638671875,3.642578125,0.0943359375,0.0040234375,0.0101953125,0.076328125,0.0127734375,0.0728515625
sample_t100_p098,100,50,50,1.927734375,0.056640625,0.146484375,1.923828125,0.171875,1.267578125,0.038554687500000004,0.0011328125000000001,0.0029296875,0.0384765625,0.0034375,0.0253515625
sample_t100_p098,250,100,150,4.05078125,0.056640625,0.181640625,4.037109375,0.212890625,2.611328125,0.027005208333333332,0.0003776041666666667,0.0012109375,0.026914062500000002,0.0014192708333333334,0.017408854166666668
sample_t100_p098,500,250,250,5.01171875,0.041015625,0.150390625,5.005859375,0.177734375,2.974609375,0.020046875,0.0001640625,0.0006015625,0.0200234375,0.0007109375,0.0118984375
sample_t100_p098,1000,500,500,7.703125,0.03515625,0.1796875,7.697265625,0.203125,4.59765625,0.01540625,7.031250000000001e-05,0.000359375,0.01539453125,0.00040625,0.0091953125
sample_t120_p0995,50,0,50,5.728515625,0.30078125,0.6875,4.8125,0.87109375,4.330078125,0.11457031250000001,0.006015625,0.01375,0.09625,0.017421875,0.0866015625
sample_t120_p0995,100,50,50,2.798828125,0.083984375,0.236328125,2.78125,0.28515625,1.83203125,0.0559765625,0.0016796875,0.0047265625,0.055625,0.005703125,0.036640625
sample_t120_p0995,250,100,150,6.029296875,0.13671875,0.404296875,6.015625,0.482421875,3.84375,0.040195312500000004,0.0009114583333333333,0.0026953125000000002,0.04010416666666667,0.0032161458333333334,0.025625
sample_t120_p0995,500,250,250,7.806640625,0.103515625,0.345703125,7.796875,0.412109375,4.69140625,0.0312265625,0.0004140625,0.0013828125000000001,0.0311875,0.0016484375,0.018765625
sample_t120_p0995,1000,500,500,12.5078125,0.11328125,0.455078125,12.501953125,0.521484375,7.384765625,0.025015625,0.0002265625,0.00091015625,0.02500390625,0.00104296875,0.01476953125
sample_t150_p100,50,0,50,7.193359375,0.5234375,1.04296875,6.27734375,1.36328125,5.283203125,0.1438671875,0.01046875,0.020859375,0.125546875,0.027265625,0.1056640625
sample_t150_p100,100,50,50,3.890625,0.18359375,0.416015625,3.869140625,0.517578125,2.580078125,0.0778125,0.0036718750000000002,0.0083203125,0.07738281250000001,0.0103515625,0.0516015625
sample_t150_p100,250,100,150,9.001953125,0.369140625,0.724609375,8.986328125,0.951171875,5.865234375,0.06001302083333333,0.0024609375,0.004830729166666667,0.059908854166666664,0.006341145833333333,0.0391015625
sample_t150_p100,500,250,250,11.888671875,0.462890625,0.80078125,11.884765625,1.060546875,7.51171875,0.0475546875,0.0018515625000000001,0.0032031250000000002,0.0475390625,0.0042421875,0.030046875
sample_t150_p100,1000,500,500,20.255859375,0.6171875,1.2265625,20.244140625,1.578125,12.3515625,0.04051171875,0.001234375,0.002453125,0.04048828125,0.00315625,0.024703125
