strategy,budget,bin_left,bin_right,evaluated_pair_count,fraction
beam1000_lp00,50,0.0,0.01,0,0.0
beam1000_lp00,50,0.01,0.02,3,1.342119743923553e-05
beam1000_lp00,50,0.02,0.03,36,0.00016105436927082634
beam1000_lp00,50,0.03,0.04,7,3.1316127358216234e-05
beam1000_lp00,50,0.04,0.05,4,1.7894929918980705e-05
beam1000_lp00,50,0.05,0.06,1,4.473732479745176e-06
beam1000_lp00,50,0.06,0.07,53,0.00023710782142649433
beam1000_lp00,50,0.07,0.08,21,9.39483820746487e-05
beam1000_lp00,50,0.08,0.09,18,8.052718463541317e-05
beam1000_lp00,50,0.09,0.1,30,0.0001342119743923553
beam1000_lp00,50,0.1,0.11,62,0.0002773714137442009
beam1000_lp00,50,0.11,0.12,96,0.00042947831805553694
beam1000_lp00,50,0.12,0.13,121,0.0005413216300491664
beam1000_lp00,50,0.13,0.14,177,0.0007918506489148962
beam1000_lp00,50,0.14,0.15,123,0.0005502690950086567
beam1000_lp00,50,0.15,0.16,164,0.0007336921266782089
beam1000_lp00,50,0.16,0.17,216,0.0009663262156249581
beam1000_lp00,50,0.17,0.18,333,0.0014897529157551436
beam1000_lp00,50,0.18,0.19,309,0.0013823833362412595
beam1000_lp00,50,0.19,0.2,311,0.0013913308012007497
beam1000_lp00,50,0.2,0.21,507,0.0022681823672308045
beam1000_lp00,50,0.21,0.22,593,0.0026529233604888893
beam1000_lp00,50,0.22,0.23,677,0.0030287168887874845
beam1000_lp00,50,0.23,0.24,855,0.0038250412701821257
beam1000_lp00,50,0.24,0.25,916,0.004097938951446581
beam1000_lp00,50,0.25,0.26,1733,0.00775297838739839
beam1000_lp00,50,0.26,0.27,1873,0.008379300934562715
beam1000_lp00,50,0.27,0.28,1989,0.008898253902213155
beam1000_lp00,50,0.28,0.29,2726,0.012195394739785351
beam1000_lp00,50,0.29,0.3,2714,0.012141709950028409
beam1000_lp00,50,0.3,0.31,3723,0.01665570602209129
beam1000_lp00,50,0.31,0.32,3827,0.01712097419998479
beam1000_lp00,50,0.32,0.33,4890,0.02187655182595391
beam1000_lp00,50,0.33,0.34,4619,0.02066417032394297
beam1000_lp00,50,0.34,0.35000000000000003,4871,0.021791550908838754
beam1000_lp00,50,0.35000000000000003,0.36,5407,0.024189471517982168
beam1000_lp00,50,0.36,0.37,6181,0.027652140457304936
beam1000_lp00,50,0.37,0.38,5841,0.026131071414191576
beam1000_lp00,50,0.38,0.39,6428,0.028757152379801993
beam1000_lp00,50,0.39,0.4,5521,0.024699477020673117
beam1000_lp00,50,0.4,0.41000000000000003,7520,0.03364246824768372
beam1000_lp00,50,0.41000000000000003,0.42,6561,0.0293521587996081
beam1000_lp00,50,0.42,0.43,6460,0.02890031181915384
beam1000_lp00,50,0.43,0.44,6794,0.030394538467388727
beam1000_lp00,50,0.44,0.45,6440,0.028810837169558935
beam1000_lp00,50,0.45,0.46,6725,0.03008585092628631
beam1000_lp00,50,0.46,0.47000000000000003,6555,0.02932531640472963
beam1000_lp00,50,0.47000000000000003,0.48,6553,0.02931636893977014
beam1000_lp00,50,0.48,0.49,5805,0.02597001704492075
beam1000_lp00,50,0.49,0.5,4489,0.020082585101576095
beam1000_lp00,50,0.5,0.51,9021,0.04035754069978124
beam1000_lp00,50,0.51,0.52,4892,0.0218854992909134
beam1000_lp00,50,0.52,0.53,5431,0.024296841097496052
beam1000_lp00,50,0.53,0.54,5364,0.023997101021353124
beam1000_lp00,50,0.54,0.55,4415,0.019751528898074952
beam1000_lp00,50,0.55,0.56,4848,0.021688655061804615
beam1000_lp00,50,0.56,0.5700000000000001,4598,0.02057022194186832
beam1000_lp00,50,0.5700000000000001,0.58,3835,0.017156764059822752
beam1000_lp00,50,0.58,0.59,3891,0.01740729307868848
beam1000_lp00,50,0.59,0.6,3077,0.013765674840175907
beam1000_lp00,50,0.6,0.61,3898,0.017438609206046698
beam1000_lp00,50,0.61,0.62,3193,0.014284627807826347
beam1000_lp00,50,0.62,0.63,3161,0.014141468368474502
beam1000_lp00,50,0.63,0.64,2751,0.01230723805177898
beam1000_lp00,50,0.64,0.65,2640,0.011810653746527264
beam1000_lp00,50,0.65,0.66,2358,0.010549061187239125
beam1000_lp00,50,0.66,0.67,2566,0.011479597543026122
beam1000_lp00,50,0.67,0.68,2340,0.010468534002603712
beam1000_lp00,50,0.68,0.6900000000000001,2163,0.009676683353688816
beam1000_lp00,50,0.6900000000000001,0.7000000000000001,1688,0.007551660425809858
