strategy,budget,chemical_category,unique_candidate_rows,genuine_nonseed_rows,novel_genuine_nonseed_rows,novel_fraction_among_genuine_nonseed,seed_coverage
hybrid_b500_s500_t120,50,exact_seed_identity,9233,0,0,,0.9233
hybrid_b500_s500_t120,50,scaffold_changing_analogue,121204,121204,121183,0.9998267383914722,0.9727
hybrid_b500_s500_t120,50,one_cut_mmp_derivative,22131,22131,22123,0.9996385161086259,0.6784
hybrid_b500_s500_t120,50,scaffold_preserving_non_mmp_analogue,24003,24003,24003,1.0,0.5602
hybrid_b500_s500_t120,50,acyclic_non_mmp_analogue,3748,3748,3748,1.0,0.0191
hybrid_b500_s500_t120,100,exact_seed_identity,9355,0,0,,0.9355
hybrid_b500_s500_t120,100,scaffold_changing_analogue,227643,227643,227613,0.9998682147046033,0.9853
hybrid_b500_s500_t120,100,one_cut_mmp_derivative,36962,36962,36948,0.9996212326172826,0.7676
hybrid_b500_s500_t120,100,scaffold_preserving_non_mmp_analogue,38913,38913,38913,1.0,0.6316
hybrid_b500_s500_t120,100,acyclic_non_mmp_analogue,7015,7015,7013,0.9997148966500357,0.0191
hybrid_b500_s500_t120,250,exact_seed_identity,9486,0,0,,0.9486
hybrid_b500_s500_t120,250,scaffold_changing_analogue,510000,510000,509947,0.9998960784313725,0.9929
hybrid_b500_s500_t120,250,one_cut_mmp_derivative,71237,71237,71214,0.9996771340735854,0.8495
hybrid_b500_s500_t120,250,scaffold_preserving_non_mmp_analogue,72319,72319,72319,1.0,0.7155
hybrid_b500_s500_t120,250,acyclic_non_mmp_analogue,15933,15933,15929,0.9997489487227766,0.0191
hybrid_b500_s500_t120,500,exact_seed_identity,9568,0,0,,0.9568
hybrid_b500_s500_t120,500,scaffold_changing_analogue,927259,927259,927182,0.9999169595549895,0.9961
hybrid_b500_s500_t120,500,one_cut_mmp_derivative,117744,117744,117712,0.9997282239434706,0.8912
hybrid_b500_s500_t120,500,scaffold_preserving_non_mmp_analogue,114878,114878,114878,1.0,0.7701
hybrid_b500_s500_t120,500,acyclic_non_mmp_analogue,28929,28929,28924,0.9998271630543745,0.0191
hybrid_b500_s500_t120,1000,exact_seed_identity,9626,0,0,,0.9626
hybrid_b500_s500_t120,1000,scaffold_changing_analogue,1677033,1677033,1676923,0.9999344079693124,0.9982
hybrid_b500_s500_t120,1000,one_cut_mmp_derivative,194690,194690,194649,0.9997894088037392,0.9162
hybrid_b500_s500_t120,1000,scaffold_preserving_non_mmp_analogue,182363,182363,182363,1.0,0.8196
hybrid_b500_s500_t120,1000,acyclic_non_mmp_analogue,52360,52360,52354,0.9998854087089382,0.0191
