metric,seed_rows,point_estimate,ci_low,ci_high,resamples,bootstrap_unit,bootstrap_seed,strategy,budget
delta_sa_mean,10000,0.13006665613159415,0.12630186381136632,0.1337440815079206,2000,seed,20260868,hybrid_b500_s500_t120,50
fraction_no_harder,10000,0.32558771203438536,0.32127625694684897,0.3300237179048237,2000,seed,20260868,hybrid_b500_s500_t120,50
delta_sa_mean,10000,0.1682978450272777,0.16455381392142848,0.17214791030228366,2000,seed,20260918,hybrid_b500_s500_t120,100
fraction_no_harder,10000,0.30274805540704736,0.29888777153328444,0.3068026141898425,2000,seed,20260918,hybrid_b500_s500_t120,100
delta_sa_mean,10000,0.22249732684786555,0.2184063197902374,0.2266513381807364,2000,seed,20261068,hybrid_b500_s500_t120,250
fraction_no_harder,10000,0.2716558380923836,0.2680863543318343,0.27504576611067627,2000,seed,20261068,hybrid_b500_s500_t120,250
delta_sa_mean,10000,0.2656753774535641,0.26135440974879887,0.2698454039274442,2000,seed,20261318,hybrid_b500_s500_t120,500
fraction_no_harder,10000,0.2482235944793866,0.2449996517614504,0.25140667587746823,2000,seed,20261318,hybrid_b500_s500_t120,500
delta_sa_mean,10000,0.3095876691966864,0.30521897543547366,0.31380966106061436,2000,seed,20261818,hybrid_b500_s500_t120,1000
fraction_no_harder,10000,0.22643802171355756,0.22330243099133565,0.22931118515654675,2000,seed,20261818,hybrid_b500_s500_t120,1000
