strategy,budget,chemical_category,pair_rows,distinct_candidate_identities,seed_rows,seed_coverage,fraction_no_harder_than_seed,fraction_not_more_than_half_point_harder,fraction_absolute_delta_within_half_point,fraction_at_least_one_point_easier,fraction_at_least_one_point_harder,candidate_sa_count,candidate_sa_mean,candidate_sa_standard_deviation,candidate_sa_minimum,candidate_sa_q10,candidate_sa_q25,candidate_sa_median,candidate_sa_q75,candidate_sa_q90,candidate_sa_maximum,matched_seed_sa_count,matched_seed_sa_mean,matched_seed_sa_standard_deviation,matched_seed_sa_minimum,matched_seed_sa_q10,matched_seed_sa_q25,matched_seed_sa_median,matched_seed_sa_q75,matched_seed_sa_q90,matched_seed_sa_maximum,delta_sa_count,delta_sa_mean,delta_sa_standard_deviation,delta_sa_minimum,delta_sa_q10,delta_sa_q25,delta_sa_median,delta_sa_q75,delta_sa_q90,delta_sa_maximum
hybrid_b500_s500_t120,50,acyclic_non_mmp_analogue,3748,3748,191,0.0191,0.2910885805763074,0.8265741728922091,0.7881536819637139,0.006670224119530417,0.03815368196371398,3748,3.7726599892493673,0.805246200872346,1.1082036891143652,2.7764299025101824,3.1896729965211463,3.759292531260378,4.346148467550641,4.769294972745397,7.323707052979488,3748,3.595813823404778,0.7779939803086796,1.7497386972251707,2.626071955576899,3.049320035372812,3.553318579234725,4.157608986964736,4.667613554086996,6.1928962897524364,3748,0.17684616584458937,0.407335290418082,-1.8877953786116661,-0.23483775077364488,-0.02505641526787694,0.11652450000000059,0.37127190542682076,0.6849524291591294,2.1636819170732045
hybrid_b500_s500_t120,50,one_cut_mmp_derivative,22131,22121,6784,0.6784,0.35981202837648546,0.9157290678234151,0.9011341557091862,0.0016718629976051691,0.018300122000813338,22131,3.526055920537013,0.8489683688684716,1.576278835247912,2.4456520942403657,2.891921203992575,3.4481901011568477,4.111181342286702,4.701531118203091,7.517239226735507,22131,3.4300410260473737,0.833869595922831,1.5357357567113326,2.3703491746490304,2.7936894088753466,3.342165619313197,4.019615747056674,4.604765070323053,7.474651401255167,22131,0.09601489448963925,0.29405354761549424,-1.7383107632270516,-0.13289606342178573,-0.02957535951155954,0.03559081515499418,0.16330218271431063,0.43173936651583755,2.2277723016885895
hybrid_b500_s500_t120,50,scaffold_changing_analogue,121204,121112,9727,0.9727,0.32352892643807135,0.8897478631068282,0.862100260717468,0.004480050163360946,0.02974324279726742,121204,3.55500935381003,0.9111288768744884,1.03156277326892,2.4281600823577474,2.8573894375798554,3.4504546606397644,4.161502474390332,4.811498753859588,7.836073724998678,121204,3.4241590020031465,0.8847424858087007,1.5357357567113326,2.355279148264554,2.735118681110542,3.28804324447127,4.006893073630409,4.664821430926274,7.474651401255167,121204,0.13085035180688276,0.3716233325945829,-3.4852629850153125,-0.17925984162895958,-0.029401620579824428,0.0679451487226932,0.24810429369018072,0.5358925760438515,4.2338372241442475
hybrid_b500_s500_t120,50,scaffold_preserving_non_mmp_analogue,24003,23892,5602,0.5602,0.34870641169853767,0.9630046244219472,0.9552555930508686,8.332291796858727e-05,0.005082697996083823,24003,3.345732390135312,0.983230831415729,1.5387200973706712,2.2352242525204264,2.4885076386637044,3.1668901606236632,4.036501627966798,4.817468108040137,6.778668969523851,24003,3.27875174399537,0.9448754854632093,1.5357357567113326,2.22554647618054,2.452252005004098,3.094144176998303,3.958563722042612,4.681520834305495,6.728092177859958,24003,0.06698064613994176,0.20850337774556973,-1.0972572407398156,-0.10145779881656729,-0.022695723306545013,0.03193981900452414,0.1287589718017994,0.2930104659384619,2.119209504532429
hybrid_b500_s500_t120,100,acyclic_non_mmp_analogue,7015,7014,191,0.0191,0.2705630791161796,0.7921596578759801,0.7578047042052745,0.006272273699215966,0.04975053456878118,7015,3.8134950968422774,0.7844975705431279,1.1082036891143652,2.834318001081506,3.2496015542261896,3.807646575836838,4.366606937223944,4.79235845095133,7.323707052979488,7015,3.5980831295049853,0.7651665009122187,1.7497386972251707,2.634169273474944,3.0519759643038036,3.5776053000394645,4.157608986964736,4.63719010805347,6.1928962897524364,7015,0.21541196733729223,0.42919707423332104,-1.9134176476188145,-0.22145366257112967,-0.014062153846152725,0.1515963990022815,0.430651591629418,0.7470467224177024,2.2641085020242917
hybrid_b500_s500_t120,100,one_cut_mmp_derivative,36962,36940,7676,0.7676,0.33320707753909423,0.8798495752394351,0.8631838103998701,0.0018397272874844436,0.02737947080785672,36962,3.556032249136333,0.8460184682855437,1.5585453984252542,2.4787823719615805,2.926168765273931,3.481670705598087,4.138332715513542,4.7229481429414,7.517239226735507,36962,3.4218737168339377,0.8307025370140149,1.5357357567113326,2.366101742395937,2.788379364283344,3.332972017567828,4.011007085874015,4.5935709667918285,7.474651401255167,36962,0.13415853230239522,0.3326844328422815,-1.7745961509674917,-0.12965102020033833,-0.024504826359403875,0.05142699552116081,0.2253845300396069,0.5812241101473181,2.2364076863039735
hybrid_b500_s500_t120,100,scaffold_changing_analogue,227643,227359,9853,0.9853,0.3050653874707327,0.861963688758275,0.8326414605325004,0.004818948968340779,0.03960148126672026,227643,3.5957822542566618,0.9173421961995599,1.0,2.4552933917589392,2.895908544014312,3.4979538531552423,4.209940699980914,4.853072193597977,7.910050795295055,227643,3.434080284929001,0.8864501441542776,1.5357357567113326,2.358320192607252,2.744631389906372,3.299661042932449,4.019045332278264,4.672990788697303,7.474651401255167,227643,0.16170196932766093,0.4040093539694848,-3.4852629850153125,-0.18503381774759867,-0.025278356045039363,0.09047435897435996,0.29693801173012657,0.6254144899698882,4.2338372241442475
hybrid_b500_s500_t120,100,scaffold_preserving_non_mmp_analogue,38913,38680,6316,0.6316,0.3285534397245137,0.9471898851283632,0.9390949040166525,0.00017988846914912754,0.008069282758975149,38913,3.3722343445040908,0.9986375574040056,1.5387200973706712,2.2424831960644305,2.497748647666528,3.195239112295889,4.071834587544016,4.8697558376837415,6.788687739990135,38913,3.2851931452962546,0.9523667488832822,1.5357357567113326,2.2305094029255397,2.448585367035827,3.0959009445396592,3.9772878839043555,4.703112363984248,6.728092177859958,38913,0.08704119920783647,0.2339791371360968,-1.2228845597770555,-0.10574849989064532,-0.02081854583772369,0.042933566433566384,0.15755857988165545,0.35130438574747963,2.6291003087327196
hybrid_b500_s500_t120,250,acyclic_non_mmp_analogue,15933,15929,191,0.0191,0.24433565555764766,0.7451201907989707,0.711353794012427,0.006087993472666792,0.06891357559781586,15933,3.859477985441001,0.776705487867059,1.0945154774355945,2.8742061996872037,3.2952123354186167,3.85817565651226,4.39793390435906,4.827523391096879,7.323707052979488,15933,3.5931666911464815,0.7616312800810021,1.7497386972251707,2.634169273474944,3.0547861897232753,3.5776053000394645,4.129395195073035,4.63719010805347,6.1928962897524364,15933,0.2663112942945191,0.46161604498835973,-2.5916805340523794,-0.21089159768892074,0.003914098576255576,0.20086171012695875,0.5075796897018607,0.8576526028587396,2.5674969170732043
hybrid_b500_s500_t120,250,one_cut_mmp_derivative,71237,71181,8495,0.8495,0.2889509664921319,0.8229712087819532,0.8052837710740205,0.002105647346182461,0.043825540098544294,71237,3.610653551227508,0.8488910777269371,1.5080295670664619,2.5275644346950674,2.979292362172048,3.540083769630904,4.19326113229025,4.779290975055472,7.517239226735507,71237,3.4135676248312894,0.8283801707958292,1.5357357567113326,2.3588633240887305,2.7828872285951363,3.322639056910944,3.998190828645831,4.5860984651949686,7.474651401255167,71237,0.19708592639621914,0.37889689363793655,-2.0061207539465764,-0.11864262520328007,-0.012868681318680686,0.09142533848354084,0.34538037521731635,0.7449733066563419,2.315514059930349
