strategy,budget,population,count,mean,standard_deviation,minimum,q10,q25,median,q75,q90,maximum
hybrid_b500_s500_t120,50,all_genuine_nonseed,171086,0.5518437126747779,0.15934441144305406,0.019999999552965164,0.3452380895614624,0.43589743971824646,0.5476190447807312,0.6666666865348816,0.7555555701255798,1.0
hybrid_b500_s500_t120,50,one_cut_mmp_derivative,22131,0.717112908469834,0.09807967462572499,0.2777777910232544,0.6000000238418579,0.65625,0.7118644118309021,0.7727272510528564,0.843137264251709,1.0
hybrid_b500_s500_t120,50,same_scaffold_non_mmp,24003,0.5810800593091673,0.13984077907894166,0.12121212482452393,0.3928571343421936,0.4838709533214569,0.5901639461517334,0.6744186282157898,0.75,1.0
hybrid_b500_s500_t120,50,scaffold_changing,121204,0.5199628217427924,0.15135115072237115,0.019999999552965164,0.3333333432674408,0.4137931168079376,0.5098039507865906,0.6166666746139526,0.71875,1.0
hybrid_b500_s500_t120,50,acyclic_non_mmp,3748,0.4197089485645199,0.13828975960225984,0.1111111119389534,0.25925925374031067,0.3207547068595886,0.40161290764808655,0.5,0.6000000238418579,1.0
hybrid_b500_s500_t120,100,all_genuine_nonseed,310533,0.5310251133022256,0.15712796280239802,0.018518518656492233,0.3333333432674408,0.4166666567325592,0.5227272510528564,0.641791045665741,0.7377049326896667,1.0
hybrid_b500_s500_t120,100,one_cut_mmp_derivative,36962,0.7110883945451142,0.09858201517557834,0.25806450843811035,0.5909090638160706,0.6499999761581421,0.7090908885002136,0.7692307829856873,0.8333333134651184,1.0
hybrid_b500_s500_t120,100,same_scaffold_non_mmp,38913,0.5626350067893079,0.13812963027806624,0.10638298094272614,0.3777777850627899,0.4651162922382355,0.5686274766921997,0.6600000262260437,0.7307692170143127,1.0
hybrid_b500_s500_t120,100,scaffold_changing,227643,0.500260737858248,0.14642866233433102,0.018518518656492233,0.3191489279270172,0.39726027846336365,0.49152541160583496,0.5932203531265259,0.692307710647583,1.0
hybrid_b500_s500_t120,100,acyclic_non_mmp,7015,0.40526031396236917,0.1310715791205945,0.06666667014360428,0.25,0.3125,0.3888888955116272,0.48076921701431274,0.5833333134651184,1.0
hybrid_b500_s500_t120,250,all_genuine_nonseed,669489,0.505905858996201,0.15404672353567486,0.016949152573943138,0.3125,0.3928571343421936,0.49295774102211,0.6122449040412903,0.7142857313156128,1.0
hybrid_b500_s500_t120,250,one_cut_mmp_derivative,71237,0.7026642690255517,0.09866830825000164,0.25806450843811035,0.5799999833106995,0.640625,0.7021276354789734,0.7636363506317139,0.8245614171028137,1.0
hybrid_b500_s500_t120,250,same_scaffold_non_mmp,72319,0.5413408904393455,0.13648093466651345,0.10638298094272614,0.3606557250022888,0.44262295961380005,0.5438596606254578,0.6399999856948853,0.7123287916183472,1.0
hybrid_b500_s500_t120,250,scaffold_changing,510000,0.4770928717074258,0.14077691726875954,0.016949152573943138,0.3035714328289032,0.3777777850627899,0.4677419364452362,0.5660377144813538,0.6610169410705566,1.0
hybrid_b500_s500_t120,250,acyclic_non_mmp,15933,0.38763049485120166,0.1238674240902484,0.03125,0.24390244483947754,0.30000001192092896,0.3720930218696594,0.46000000834465027,0.5555555820465088,1.0
hybrid_b500_s500_t120,500,all_genuine_nonseed,1188810,0.4896003740203149,0.15216229845130497,0.0,0.30136987566947937,0.3777777850627899,0.4761904776096344,0.5932203531265259,0.699999988079071,1.0
hybrid_b500_s500_t120,500,one_cut_mmp_derivative,117744,0.6977004171828121,0.09795463549367428,0.25806450843811035,0.5740740895271301,0.6346153616905212,0.6984127163887024,0.761904776096344,0.8181818127632141,1.0
hybrid_b500_s500_t120,500,same_scaffold_non_mmp,114878,0.5280001044369883,0.1356343842432412,0.10638298094272614,0.3499999940395355,0.4285714328289032,0.529411792755127,0.6274510025978088,0.699999988079071,1.0
hybrid_b500_s500_t120,500,scaffold_changing,927259,0.4619605651869316,0.13745043338458807,0.0,0.2931034564971924,0.36486485600471497,0.4523809552192688,0.5490196347236633,0.6428571343421936,1.0
hybrid_b500_s500_t120,500,acyclic_non_mmp,28929,0.37606191040603626,0.119601320934128,0.027027027681469917,0.2368421107530594,0.2916666567325592,0.3611111044883728,0.44736841320991516,0.5370370149612427,1.0
hybrid_b500_s500_t120,1000,all_genuine_nonseed,2106446,0.4750675930023506,0.15056849954850463,0.0,0.2906976640224457,0.3636363744735718,0.460317462682724,0.5757575631141663,0.6851851940155029,1.0
hybrid_b500_s500_t120,1000,one_cut_mmp_derivative,194690,0.6932386553440888,0.09758507675730929,0.23529411852359772,0.568965494632721,0.6290322542190552,0.694915235042572,0.7592592835426331,0.8148148059844971,1.0
hybrid_b500_s500_t120,1000,same_scaffold_non_mmp,182363,0.517069608207856,0.13519658134716867,0.10638298094272614,0.3392857015132904,0.41818180680274963,0.517241358757019,0.6170212626457214,0.6911764740943909,1.0
hybrid_b500_s500_t120,1000,scaffold_changing,1677033,0.44857477444501903,0.13479447043617984,0.0,0.28358209133148193,0.35227271914482117,0.4385964870452881,0.5333333611488342,0.6274510025978088,1.0
hybrid_b500_s500_t120,1000,acyclic_non_mmp,52360,0.3660911483389188,0.11638545870241732,0.027027027681469917,0.23076923191547394,0.28333333134651184,0.3513513505458832,0.43478259444236755,0.522835481166838,1.0
