strategy,budget,bin_left,bin_right,evaluated_pair_count,fraction
hybrid_b500_s500_t120,50,0.0,0.01,3,1.6980821294402724e-06
hybrid_b500_s500_t120,50,0.01,0.02,6,3.396164258880545e-06
hybrid_b500_s500_t120,50,0.02,0.03,92,5.207451863616836e-05
hybrid_b500_s500_t120,50,0.03,0.04,7,3.9621916353606355e-06
hybrid_b500_s500_t120,50,0.04,0.05,49,2.773534144752445e-05
hybrid_b500_s500_t120,50,0.05,0.06,102,5.773479240096926e-05
hybrid_b500_s500_t120,50,0.06,0.07,151,8.547013384849371e-05
hybrid_b500_s500_t120,50,0.07,0.08,62,3.5093697341765635e-05
hybrid_b500_s500_t120,50,0.08,0.09,113,6.396109354225026e-05
hybrid_b500_s500_t120,50,0.09,0.1,155,8.773424335441408e-05
hybrid_b500_s500_t120,50,0.1,0.11,272,0.00015395944640258472
hybrid_b500_s500_t120,50,0.11,0.12,434,0.00024565588139235944
hybrid_b500_s500_t120,50,0.12,0.13,695,0.0003933890266536631
hybrid_b500_s500_t120,50,0.13,0.14,955,0.0005405561445384867
hybrid_b500_s500_t120,50,0.14,0.15,1379,0.0007805517521660453
hybrid_b500_s500_t120,50,0.15,0.16,1856,0.0010505468107470486
hybrid_b500_s500_t120,50,0.16,0.17,2721,0.001540160491402327
hybrid_b500_s500_t120,50,0.17,0.18,3408,0.0019290212990441496
hybrid_b500_s500_t120,50,0.18,0.19,4664,0.0026399516839031435
hybrid_b500_s500_t120,50,0.19,0.2,4957,0.0028057977052118105
hybrid_b500_s500_t120,50,0.2,0.21,8549,0.004838968041528296
hybrid_b500_s500_t120,50,0.21,0.22,9114,0.005158773509239548
hybrid_b500_s500_t120,50,0.22,0.23,11279,0.006384222779318945
hybrid_b500_s500_t120,50,0.23,0.24,12483,0.007065719740600974
hybrid_b500_s500_t120,50,0.24,0.25,12408,0.007023267687364967
hybrid_b500_s500_t120,50,0.25,0.26,20134,0.01139639519805015
hybrid_b500_s500_t120,50,0.26,0.27,19498,0.01103640178660881
hybrid_b500_s500_t120,50,0.27,0.28,20748,0.011743936007208924
hybrid_b500_s500_t120,50,0.28,0.29,24529,0.013884085517680148
hybrid_b500_s500_t120,50,0.29,0.3,24110,0.01364692004693499
hybrid_b500_s500_t120,50,0.3,0.31,30846,0.017459680454904883
hybrid_b500_s500_t120,50,0.31,0.32,29977,0.016967802664743684
hybrid_b500_s500_t120,50,0.32,0.33,36285,0.020538303355580097
hybrid_b500_s500_t120,50,0.33,0.34,34580,0.01957322667868154
hybrid_b500_s500_t120,50,0.34,0.35000000000000003,35891,0.02031528856924694
hybrid_b500_s500_t120,50,0.35000000000000003,0.36,40425,0.02288165669420767
hybrid_b500_s500_t120,50,0.36,0.37,42631,0.02413031308672275
hybrid_b500_s500_t120,50,0.37,0.38,42192,0.02388182706844799
hybrid_b500_s500_t120,50,0.38,0.39,45377,0.025684624262537082
hybrid_b500_s500_t120,50,0.39,0.4,38190,0.02161658550777467
hybrid_b500_s500_t120,50,0.4,0.41000000000000003,53782,0.030442084361852244
hybrid_b500_s500_t120,50,0.41000000000000003,0.42,45486,0.02574632124657341
hybrid_b500_s500_t120,50,0.42,0.43,47333,0.02679177381093214
hybrid_b500_s500_t120,50,0.43,0.44,47254,0.02674705764819021
hybrid_b500_s500_t120,50,0.44,0.45,47658,0.02697573270828817
hybrid_b500_s500_t120,50,0.45,0.46,47562,0.026921394080146082
hybrid_b500_s500_t120,50,0.46,0.47000000000000003,48530,0.02746930858057881
hybrid_b500_s500_t120,50,0.47000000000000003,0.48,45061,0.025505759611569374
hybrid_b500_s500_t120,50,0.48,0.49,42387,0.02399220240686161
hybrid_b500_s500_t120,50,0.49,0.5,30273,0.017135346768181788
hybrid_b500_s500_t120,50,0.5,0.51,63968,0.03620763921867845
hybrid_b500_s500_t120,50,0.51,0.52,35812,0.020270572406505014
hybrid_b500_s500_t120,50,0.52,0.53,41072,0.02324787640679029
hybrid_b500_s500_t120,50,0.53,0.54,37744,0.021364137297864547
hybrid_b500_s500_t120,50,0.54,0.55,34959,0.019787751054367496
hybrid_b500_s500_t120,50,0.55,0.56,34651,0.01961341462241163
hybrid_b500_s500_t120,50,0.56,0.5700000000000001,34510,0.019533604762327936
hybrid_b500_s500_t120,50,0.5700000000000001,0.58,30131,0.017054970880721616
hybrid_b500_s500_t120,50,0.58,0.59,29466,0.016678562675362357
hybrid_b500_s500_t120,50,0.59,0.6,24270,0.013737484427171804
