query_position,target_index,target_hash,seed_canonical_smiles,seed_scaffold,seed_heavy_atoms
0,49072,ca8c7eb2f5b1262cb47bffede5c8901bc0cf4362ca24fe13f8907e7d61a6b075,CN(C)S(=O)(=O)c1ccc(C(=O)N2CC3(CCC3)c3ccccc32)o1,O=C(c1ccco1)N1CC2(CCC2)c2ccccc21,25
1,195602,156e69b56982fb3e94dd8d9ed2e69a754d913ce806bdb95d64780adaaaf9de30,CN1CC(N(C)C(=O)C(CO)NC(=O)OCc2ccccc2)CCC1=O,O=C1CCC(NC(=O)CNC(=O)OCc2ccccc2)CN1,26
2,126826,694a4c2cc831e15f97755aceba628280c9696814b6f68395b26ac5df2582854c,CC(NC(=O)c1ccc2c(c1)NC(=O)CS2)C(=O)O,O=C1CSc2ccccc2N1,19
3,505651,59ae9f70cf7af6b255380fe9b27a390804e0bb286f35834e307067e05e25c15a,CCC(c1cccc([N+](=O)[O-])c1)N(CC)C1CNC1,c1ccc(CNC2CNC2)cc1,19
4,603505,6313bd8e463c1e49c55ea84fe398a688273b8a7f7dfd9b7b895cea132e218870,Cc1ccc(CN(C)C(=O)NCc2ccncc2OCC2CCOC2)o1,O=C(NCc1ccco1)NCc1ccncc1OCC1CCOC1,26
5,408719,8f7065bdf7f4a4c1d30f93c336c26fa720f920eb14b8e442a65b0334fdda8c52,COC(C)C(=O)Nc1cccc(NC(=O)NCCCOC2CCCC2)c1,O=C(NCCCOC1CCCC1)Nc1ccccc1,26
6,313012,3d0d3609c68488831542bca879caa950d491929afd8bb60a86ac1324b0ff6a86,CC(C)C[NH+]1CCC1CN(C)C(=O)c1cn2ccccc2n1,O=C(NCC1CC[NH2+]1)c1cn2ccccc2n1,22
7,581906,b962fa2bcc1f8976e13d6bf6d01877d11bd3e5ee5ee2c656f26e610cb6d0b19a,CCOC(=O)c1ccc(CNC(=O)c2cnn(-c3cccc(Cl)c3)n2)o1,O=C(NCc1ccco1)c1cnn(-c2ccccc2)n1,26
8,127986,78d6df92cfc137184ad1fe440671395c8dcc262c36448ad0efd7c5ae9e64a8d5,CC(F)(F)C(=O)N1CCC2CN(C(=O)c3nccc4ccccc34)CC21,O=C(c1nccc2ccccc12)N1CC2CCNC2C1,26
9,922695,53ebfc49afebca71c60f73bb2452c15d6f94ba1c1aa2dc40206f06a871211116,COc1ccc(-c2ccc(NCc3cn[nH]c3C)nc2)cc1Cl,c1ccc(-c2ccc(NCc3cn[nH]c3)nc2)cc1,23
10,951652,c2b1255ddd9ebfb27b8f238917d7f3595c710e3cecb4d2a19c94a346cddc9418,C=CC(C)(C)CC(=O)NC1CCCN(C(=O)C2(C)CC3CC3C2)C1,O=C(C1CC2CC2C1)N1CCCCC1,24
11,836793,de9c81888a0573b215e6043e6caf3de89709f1b4cb3736f95da7702a431156a7,COCCC(=O)NCC1CCN(C(=O)c2cnn3c2CCC3)C1,O=C(c1cnn2c1CCC2)N1CCCC1,23
12,383389,d5b8365d25541d0b4c5572c2123ef55968cb3ddb7a0f10eed2c5ca8b1bf3be29,CC1CN(c2ccc3nc(C#N)c4cc5cc(F)ccc5n4c3n2)CC(C)N1,c1ccc2c(c1)cc1cnc3ccc(N4CCNCC4)nc3n12,28
13,589483,6873637f10e0234608bc0e08f831bef3ab5805b9dc32902040319ef55f45ab0c,COC(=O)c1ccc(OCc2ccccc2)c(NC(=O)NC2CC[NH+](C)C(C)C2)c1,O=C(Nc1ccccc1OCc1ccccc1)NC1CC[NH2+]CC1,30
14,972827,1aa4be78015f6772f884cb6416b94302cac6a0053a8e5545acc2f589117d478e,CCNCC(CCc1scnc1C)c1ccc(F)cc1,c1ccc(CCCc2cncs2)cc1,20
15,138947,ea39a85525ffc0e0d2947136a32378794ffdf65f83ee309a081425e887af49b2,O=C(c1cnon1)N1CCC2(CC[NH+](Cc3cc4n(n3)CCC4)C2)C1,O=C(c1cnon1)N1CCC2(CC[NH+](Cc3cc4n(n3)CCC4)C2)C1,25
16,91263,b05e1635cb1fb9db75f58ccde56bed7429224920cd969a8778a26dd6292c8c8f,CC(Nc1ncnc2ccsc12)C1CCN(C(=O)C2(C)CC2)C1,O=C(C1CC1)N1CCC(CNc2ncnc3ccsc23)C1,23
17,972628,3f4ca9daacf361c1c8d4474f20872d91162fc17df66e3d3db83b0e2e6e3af96d,COc1cccc(OCCCNC(=O)C2CC[NH+]2Cc2ccccc2)c1,O=C(NCCCOc1ccccc1)C1CC[NH+]1Cc1ccccc1,26
18,48640,9e035df44a423d3088a42edc4c305a360d71815fd881694ee57ff824ede68ebc,CN(CC(=O)N1CCN(c2ccccc2F)CC1)Cc1nc2ccccc2s1,O=C(CNCc1nc2ccccc2s1)N1CCN(c2ccccc2)CC1,28
19,555990,878ee2e7ecb68dcaa57f60a3444e265c364ce0c64bf1bbb177da064430874e19,CCn1nc(C)cc1C(=O)N1CCC(C)C(NC(=O)c2cnon2)C1,O=C(NC1CCCN(C(=O)c2ccn[nH]2)C1)c1cnon1,25
20,61864,a92e978fdc500356638ebe2d1b19b16ee2e3530fe2271696897ba4da43d982f6,C#CCNC(=S)NC1CC[NH+](Cc2ccc(F)cc2)CC1,c1ccc(C[NH+]2CCCCC2)cc1,21
21,120426,3ca0fd919783f3d77d1f0308a333cf046ca930dca0a993f3376d9a53a0ac2711,Cc1ocnc1C(=O)N1CC(NC(=O)C2CCCCN(C)C2=O)C1,O=C1NCCCCC1C(=O)NC1CN(C(=O)c2cocn2)C1,24
22,578887,351d4f2f8ebf6a0ebf9c7bbb6291066e5e361f86842110aee433c35c4bd3db50,CCOC(C)C(=O)N1CCC(N(C)C(=O)Cn2ccnc2C)C1,O=C(Cn1ccnc1)NC1CCNC1,23
23,624071,a8c97bdfaac4501ae59ca91815e7c886c8922608f89e1d12df387a5356a150cc,COC1CN(C(=O)C=CCOC2CCOCC2)CC1OC,O=C(C=CCOC1CCOCC1)N1CCCC1,21
