benchmark_seed_index,seed_heavy_atoms,rdkit_valid_fraction,rdkit_unique_valid_molecules,rdkit_unique_fraction_of_valid,release_policy_accepted_fraction,release_policy_unique_molecules
0,23,1.0,2,0.002,1.0,2
1,36,0.764,719,0.9410994764397904,0.764,719
2,26,0.991,5,0.0050454086781029,0.991,5
3,24,1.0,1,0.001,1.0,1
4,25,0.995,11,0.0110552763819095,0.995,11
5,20,0.98,4,0.0040816326530612,0.98,4
6,22,0.994,1,0.0010060362173038,0.994,1
7,20,0.97,39,0.0402061855670103,0.97,39
8,24,1.0,5,0.005,1.0,5
9,32,0.828,219,0.2644927536231884,0.828,219
10,19,1.0,7,0.007,1.0,7
11,21,0.997,13,0.0130391173520561,0.997,13
12,35,0.613,613,1.0,0.613,613
13,20,0.728,20,0.0274725274725274,0.728,20
14,17,0.953,537,0.5634837355718783,0.953,537
15,27,1.0,8,0.008,1.0,8
16,27,1.0,2,0.002,1.0,2
17,24,1.0,5,0.005,1.0,5
18,25,0.968,73,0.0754132231404958,0.968,73
19,17,1.0,1,0.001,1.0,1
20,24,1.0,4,0.004,1.0,4
21,21,1.0,1,0.001,1.0,1
22,20,0.755,30,0.0397350993377483,0.755,30
23,24,0.999,17,0.017017017017017,0.999,17
24,27,0.939,76,0.080937167199148,0.939,76
25,41,0.732,555,0.7581967213114754,0.732,555
26,29,0.619,364,0.5880452342487884,0.619,364
27,22,1.0,2,0.002,1.0,2
28,25,1.0,20,0.02,1.0,20
29,25,1.0,6,0.006,1.0,6
30,30,0.996,91,0.0913654618473895,0.996,91
31,21,1.0,2,0.002,1.0,2
32,24,0.998,4,0.0040080160320641,0.998,4
33,19,0.971,104,0.1071060762100926,0.971,104
34,21,0.999,88,0.088088088088088,0.999,88
35,23,1.0,2,0.002,1.0,2
36,27,0.743,59,0.079407806191117,0.743,59
37,25,0.998,4,0.0040080160320641,0.998,4
38,23,0.994,8,0.0080482897384305,0.994,8
39,22,1.0,4,0.004,1.0,4
40,22,0.988,23,0.0232793522267206,0.988,23
41,23,0.997,4,0.0040120361083249,0.997,4
42,24,0.999,21,0.021021021021021,0.999,21
43,26,0.753,353,0.4687915006640106,0.753,353
44,14,1.0,1,0.001,1.0,1
45,25,0.995,7,0.0070351758793969,0.995,7
46,17,0.997,48,0.0481444332998996,0.997,48
47,25,0.888,10,0.0112612612612612,0.888,10
48,19,1.0,14,0.014,1.0,14
49,22,1.0,10,0.01,1.0,10
50,26,0.985,44,0.0446700507614213,0.985,44
51,24,1.0,4,0.004,1.0,4
52,20,1.0,33,0.033,1.0,33
53,25,1.0,4,0.004,1.0,4
54,26,0.997,46,0.0461384152457372,0.997,46
55,27,0.999,114,0.1141141141141141,0.999,114
56,24,0.994,11,0.011066398390342,0.994,11
57,22,0.992,8,0.0080645161290322,0.992,8
58,26,0.546,17,0.0311355311355311,0.546,17
59,17,0.986,10,0.0101419878296146,0.986,10
60,20,0.893,21,0.0235162374020156,0.893,21
61,18,0.993,140,0.1409869083585095,0.993,140
62,15,1.0,1,0.001,1.0,1
63,23,1.0,2,0.002,1.0,2
64,22,1.0,6,0.006,1.0,6
65,23,1.0,21,0.021,1.0,21
66,27,0.946,27,0.0285412262156448,0.946,27
67,25,0.931,856,0.9194414607948442,0.931,856
68,24,0.945,43,0.0455026455026455,0.945,43
69,23,1.0,1,0.001,1.0,1
70,29,0.989,68,0.0687563195146612,0.989,68
71,21,1.0,2,0.002,1.0,2
72,24,1.0,1,0.001,1.0,1
73,25,0.993,16,0.0161127895266868,0.993,16
74,23,1.0,5,0.005,1.0,5
75,17,1.0,2,0.002,1.0,2
76,27,0.746,55,0.0737265415549597,0.746,55
77,30,0.678,244,0.359882005899705,0.678,244
78,25,1.0,1,0.001,1.0,1
79,20,1.0,35,0.035,1.0,35
80,21,0.999,3,0.003003003003003,0.999,3
81,13,1.0,1,0.001,1.0,1
82,19,0.996,3,0.003012048192771,0.996,3
83,29,0.956,31,0.0324267782426778,0.956,31
84,21,0.998,121,0.1212424849699398,0.998,121
85,20,1.0,4,0.004,1.0,4
86,18,0.992,4,0.0040322580645161,0.992,4
87,18,1.0,2,0.002,1.0,2
88,30,0.844,116,0.1374407582938388,0.844,116
89,19,1.0,4,0.004,1.0,4
90,23,1.0,2,0.002,1.0,2
91,33,0.966,45,0.046583850931677,0.966,45
92,25,0.998,19,0.0190380761523046,0.998,19
93,18,0.993,10,0.0100704934541792,0.993,10
94,25,0.964,13,0.0134854771784232,0.964,13
95,29,0.997,7,0.0070210631895687,0.997,7
96,15,1.0,3,0.003,1.0,3
97,25,1.0,6,0.006,1.0,6
98,28,0.998,10,0.0100200400801603,0.998,10
99,24,1.0,1,0.001,1.0,1
