batch_index,first_benchmark_seed_index,seed_count,raw_proposals,token_decodable_proposals,rdkit_valid_proposals,rdkit_unique_valid_molecules,release_policy_accepted_proposals,release_policy_unique_molecules,generation_seconds,token_decode_seconds,rdkit_validation_seconds,release_policy_seconds,serialization_seconds,raw_proposals_per_second,raw_smiles_per_second,valid_unique_molecules_per_second,policy_unique_molecules_per_second
0,0,2,2000,2000,1764,721,1764,721,2.2878040919895284,0.02470500103663653,0.35574147797888145,0.9305639659869485,0.028377014969009906,874.2007268029462,864.8614641263039,270.21450227908014,200.34375002904014
1,2,2,2000,2000,1991,6,1991,6,1.2493207569932565,0.016958359046839178,0.2489801850169897,0.9195074089802802,0.0039975729887373745,1600.8699037494623,1579.4306126238534,3.959718310796205,2.464301805698633
2,4,2,2000,2000,1975,15,1975,15,1.0136010919813998,0.014681500964798033,0.23511305899592116,0.8699614770011976,0.004074307042174041,1973.1628308434194,1944.9906219550726,11.872765255240255,7.031171572961027
3,6,2,2000,2000,1964,40,1964,40,0.9430752290063538,0.014181388018187135,0.22148086997913197,0.8077765409834683,0.004067619040142745,2120.7215909034608,2089.3039174977325,33.93461261818287,20.135775250744377
4,8,2,2000,2000,1828,224,1828,224,1.5486905610305257,0.017575171019416302,0.300598151050508,0.9722439319593832,0.004558259970508516,1291.4135659670872,1276.9225292201106,119.98732314001667,78.89802522179993
5,10,2,2000,2000,1997,20,1997,20,0.6765725100412965,0.01240873901406303,0.1904937910148874,0.679891801031772,0.004009732976555824,2956.0763559221828,2902.8366196353486,22.740838669398197,12.825718408803548
6,12,2,2000,2000,1341,633,1341,633,2.282154601998627,0.018322891963180155,0.2182886489899829,0.6627784390002489,0.005633362976368517,876.3648169359225,869.3847278443334,251.31352577979914,198.95996541768474
7,14,2,2000,2000,1953,545,1953,545,0.903557820012793,0.014144686050713062,0.2946626199991442,0.7963582680094987,0.0049313679919578135,2213.472071960689,2179.355495692193,449.5345406131688,271.3165991934601
8,16,2,2000,2000,2000,7,2000,7,0.9400744559825398,0.01609089900739491,0.24803349300054833,0.9263692789827473,0.004056194971781224,2127.4910591094144,2091.6884193331325,5.812993436824249,3.2855086450319133
9,18,2,2000,2000,1968,74,1968,74,1.4513443059986457,0.015483908005990088,0.17243764299200848,0.6444070669822395,0.004186431004200131,1378.0327602028476,1363.486181207092,45.14215902451477,32.40393982123696
