batch_index,benchmark_seed_index,source_panel_row,query_position,target_index,target_hash,seed_canonical_smiles,seed_heavy_atoms,sampling_seed,raw_proposals,token_decodable_proposals,token_decodable_fraction,rdkit_valid_proposals,rdkit_valid_fraction,rdkit_unique_valid_molecules,rdkit_unique_fraction_of_raw,rdkit_unique_fraction_of_valid,release_policy_accepted_proposals,release_policy_accepted_fraction,release_policy_unique_molecules,release_policy_unique_fraction_of_raw
0,0,5881,5881,7194,dd1e000d394de1c855132e57237ff55bbc7fe77369aa660848941a25b3fe96a8,COC1CN(c2ccnc(N(C)C3CCCCC3)n2)CC1OC,23,8027087273736615212,1000,1000,1.0,1000,1.0,2,0.002,0.002,1000,1.0,2,0.002
0,1,8895,8895,40698,6908f8ce6de3cc56a73c676b1a61ed5a2ca72aefb649caf78f037603a69ffa9b,C=CC(=CC=C(CC(=O)Nc1ccc2[nH]c(=O)cc(C)c2c1)N(CC)CCC)CN1CCN(C)CC1,36,4835863312579264243,1000,1000,1.0,764,0.764,719,0.719,0.9410994764397905,764,0.764,719,0.719
1,2,7622,7622,4726,0895e7c432a91e06faae5e42fbb4cd6bc3502941585086ba76dba74e6260abf9,CC(NS(=O)(=O)c1cn(C)c(=O)n(C)c1=O)c1ccc2c(c1)CCCC2,26,3351452735547444134,1000,1000,1.0,991,0.991,5,0.005,0.005045408678102927,991,0.991,5,0.005
1,3,5361,5361,23956,ce0312cd38552b0996112228bb7dddea1fc616025d6eddad44807c807251cde5,Cc1c(C(=O)NC2CN(C(=O)C3CC=CCC3)CC2O)nnn1C,24,3737449343863546297,1000,1000,1.0,1000,1.0,1,0.001,0.001,1000,1.0,1,0.001
2,4,5716,5716,44173,eed65cb09174948c88bcddc0447936a42d00bddb2156ddb2c681d6836efe0edc,Cc1nc(C)c(C(=O)N2CCC(NC(=O)c3cccnc3C)CC2)o1,25,971018927373885334,1000,1000,1.0,995,0.995,11,0.011,0.011055276381909548,995,0.995,11,0.011
2,5,4239,4239,43525,448c344a51786903a0c161f17513a023910a5d66af3d6c063424ec3abf2c08a8,O=c1ccc(-c2ccccc2F)nn1CC1CC[NH2+]C1,20,18189833808629345,1000,1000,1.0,980,0.98,4,0.004,0.004081632653061225,980,0.98,4,0.004
3,6,7251,7251,20218,b2995d8508a44d7aaa5cf9aece3ac2e0f6716c45d02ca18d2224bb4584d3b965,O=C(CCc1ccc(Cl)c(Cl)c1)N1CCC2CCC(C1)S2=O,22,6380408248121930477,1000,1000,1.0,994,0.994,1,0.001,0.001006036217303823,994,0.994,1,0.001
3,7,514,514,42156,67793a73417d0bbe2b01db938f462e08e71c3f8802c3e1add921aa4c3840a0dd,O=C1C=C(O)C(n2cncn2)C(c2ccc(Cl)cc2)C1,20,1008675070897566125,1000,1000,1.0,970,0.97,39,0.039,0.04020618556701031,970,0.97,39,0.039
4,8,6119,6119,4295,231cc43cb96f6666f85bff71f25c6db3bb765d5e15ec6d6bc1b306cbcfb73a15,CCOC(=O)c1cnc(C)c(Nc2ccc(OC(C)C)c(F)c2)c1,24,9198615022282564446,1000,1000,1.0,1000,1.0,5,0.005,0.005,1000,1.0,5,0.005
4,9,5360,5360,38521,783a436e71490e31e8da2a7c1ae0159382544ead2df8acc2a77aba4d6ed70315,COc1cc2nc(C)oc2cc1-c1ccc2nc(N3CCC(NC(C)(C)C)C3)ccc2n1,32,4236399483621389004,1000,1000,1.0,828,0.828,219,0.219,0.2644927536231884,828,0.828,219,0.219
5,10,5525,5525,41451,7c1380726be7993cb89ff3b437740cf6af7baba40070f1cde490327b46cc8eea,Cc1cc(N)ncc1Nc1ccc(C(C)C#N)cc1,19,6107763887781708747,1000,1000,1.0,1000,1.0,7,0.007,0.007,1000,1.0,7,0.007
5,11,3019,3019,9874,6c9e60ea9db5a8c046e1761cf1f7241f5435a354ad3464b8bc5c8e02b31cdbd7,COc1cc(OC)c(Nc2ccc(N(C)C)nc2)cc1Cl,21,3386535237002098177,1000,1000,1.0,997,0.997,13,0.013,0.013039117352056168,997,0.997,13,0.013
6,12,2281,2281,12824,01131e2611627ca1f70b9e68275b552220bef91eff8c651f7d34602c15a3eb5b,COC1=C2CCCC(OC)CCC=C(C)C(OC(N)=O)CC=CC=C(C)C(=O)NC(=CC1=O)C2=O,35,3828518233565539093,1000,1000,1.0,613,0.613,613,0.613,1.0,613,0.613,613,0.613
6,13,1093,1093,5381,b29bffb9373f14f2749d3fca797181a8e7c6ae83719fa02c912a155f5fabacee,CCCn1c(SCC(=O)O)nnc1C1C2CCCCC21,20,2289367596970967276,1000,1000,1.0,728,0.728,20,0.02,0.027472527472527472,728,0.728,20,0.02
7,14,1446,1446,3869,ff4d77db4a63b0ff1e63299cec293e40a7a96887201ddf1534032f64d326dc0a,CC1(C)OC2C(CO)C3COC(=O)CC3C2O1,17,1738634528607530046,1000,1000,1.0,953,0.953,537,0.537,0.5634837355718783,953,0.953,537,0.537
7,15,9735,9735,44300,b317e72614397cb1102e89a7948756fb4aabdcb1e90548b20c6f3c4a665fabd8,Cc1ccc(CCC2CCN(C(=O)CCNC(=O)c3ccco3)CC2)cc1,27,6466992527580448838,1000,1000,1.0,1000,1.0,8,0.008,0.008,1000,1.0,8,0.008
8,16,7246,7246,3599,40810d49d29ed2d3ba783185546d580363aed125d965ad569b6ed8b7e58e9f7f,COc1cccnc1-c1ccc(C(=O)NCCCN2CCNC(=O)C2)cc1,27,3184351252268740589,1000,1000,1.0,1000,1.0,2,0.002,0.002,1000,1.0,2,0.002
8,17,2549,2549,24792,246916946e29dbb7ccb7cf5c7fd79133ddf196d6e1935568f552a99da07c3b15,Cn1cnc(C(=O)NCC2CCN2C(=O)C23CCC[NH+]2CCC3)n1,24,7993868091694452904,1000,1000,1.0,1000,1.0,5,0.005,0.005,1000,1.0,5,0.005
9,18,2717,2717,37245,4200e48fc704a097e1466f1733aadb950fc39d2407599f94252f4c0085136d70,CCC[NH+]1CCC(CNC(=O)NC2(C(=O)[O-])CCC(CC)CC2)CC1,25,8227898372651912745,1000,1000,1.0,968,0.968,73,0.073,0.07541322314049587,968,0.968,73,0.073
9,19,605,605,34407,aae650bf361ab71596f201b8cc104fbd8281627ed386d2813316ddd9f6ec8508,COC(C(=O)NC1CCS(=O)(=O)C1)C1CCC1,17,5370965587117889354,1000,1000,1.0,1000,1.0,1,0.001,0.001,1000,1.0,1,0.001
10,20,9473,9473,28725,1f8c74be0034d490d5271029459c55b02e687edb0e57e39e0139240672408656,CCC(NC(=O)CCn1ccc(C)n1)C12CC3CC(CC(C3)C1)C2,24,3155476586121965393,1000,1000,1.0,1000,1.0,4,0.004,0.004,1000,1.0,4,0.004
10,21,4290,4290,32193,3c354d2585c4063f7a9f48b51ffdeadd998f58b5e68a1a9ae0065a2bae2c65c9,CCCn1ncc(C(=O)N2CC3COCC3C2)c1C1CC1,21,4914084411322773099,1000,1000,1.0,1000,1.0,1,0.001,0.001,1000,1.0,1,0.001
11,22,2451,2451,48751,438f77cd1d8323c9072ea695d874467906b6d98475d575cc23a21bb6eb4cee1e,O=C(Cl)Cc1cc2c(n(C3CCCCC3)c1=O)CCC2,20,4878316604140147504,1000,1000,1.0,755,0.755,30,0.03,0.039735099337748346,755,0.755,30,0.03
11,23,3067,3067,47202,3937c4ebe9185fd9276c1fe11936f3e5716796e353611e857a9981d1f77e7808,Cc1[nH]c2ccc(F)cc2c1CCNC(=O)Cc1ccccc1Br,24,1543922517335408417,1000,1000,1.0,999,0.999,17,0.017,0.01701701701701702,999,0.999,17,0.017
12,24,6884,6884,2593,77b692a1bb317276c9b7efabef9c4deb50fc9e156633f99dd9b41097e049bd99,COc1ccccc1C(C)(C)c1noc(CC(NC(C)=O)c2cccs2)n1,27,3955823616565727758,1000,1000,1.0,939,0.939,76,0.076,0.08093716719914804,939,0.939,76,0.076
12,25,8666,8666,4116,3cb353978f72c232d5d8bf927d310ba809c2c391cbca6c2119b3edc099248d6f,O=C(O)CCNC(=O)OC[n+]1cccc(CNC(=O)Nc2ccc(COc3ccccc3-c3ccccc3)cc2)c1,41,3756176443335574108,1000,1000,1.0,732,0.732,555,0.555,0.7581967213114754,732,0.732,555,0.555
13,26,6867,6867,15155,70425007216e925e9c45fd0ffa9be8d2be3d38595acf9b634ca25ec174449cd1,CCOC(=O)N1CCC(=O)C1C(O)C1OC(C)(C)OC1COCc1ccccc1,29,5686975574842406814,1000,1000,1.0,619,0.619,364,0.364,0.5880452342487884,619,0.619,364,0.364
13,27,8702,8702,32997,4af20e40898970d6a0810f1b365b3c5da9daa16bee5dd94b3a959192ac5a25ae,Cc1ccc(OC(C)C(=O)N2c3ccncc3CC2C)cc1,22,2438828079004193856,1000,1000,1.0,1000,1.0,2,0.002,0.002,1000,1.0,2,0.002
14,28,8515,8515,43651,c4af7c66ae42cfd36fc5fc609708c216717e9e093be2edadb219dbe471435b22,CCn1c(CC2CC2)nnc1N1CCC(N2CC[NH+](C(C)C)CC2)C1,25,7323024344330774651,1000,1000,1.0,1000,1.0,20,0.02,0.02,1000,1.0,20,0.02
14,29,6924,6924,11020,a6feb72ed83109858f6b467d928de72d1ff5a94b4a2ad16a6687c79e9ad18d00,COc1ccc(CC(=O)Nc2nnc(-c3cc(C)ccc3C)o2)cc1,25,2919230854390546543,1000,1000,1.0,1000,1.0,6,0.006,0.006,1000,1.0,6,0.006
15,30,8497,8497,30195,50ccdd52479d3f9e7d1404ceb7cb1bf6a6c4adf036253d7bcd2d30b5689109bf,O=C(COC(=O)C1CCC(=O)c2ccccc21)NCC1CCN(c2ccccc2)C1,30,5295725990992740214,1000,1000,1.0,996,0.996,91,0.091,0.09136546184738956,996,0.996,91,0.091
15,31,7706,7706,21827,9c0fafd3db3baa795b366880d7769cd3a08aed4fe6da3ee00ad140c00ca80da9,CCCCNC(=O)c1cccc(Nc2cnccc2Cl)c1,21,4780926047110884310,1000,1000,1.0,1000,1.0,2,0.002,0.002,1000,1.0,2,0.002
16,32,1064,1064,18722,e5d4d0961b9c677f2bc6f13975de8c443acbbda52cf8e84862875b9ff74d4ab6,CC(C)[NH2+]CC1CCC(NC(=O)CCNC(=O)c2ccco2)CC1,24,2101628748859578436,1000,1000,1.0,998,0.998,4,0.004,0.004008016032064128,998,0.998,4,0.004
16,33,6102,6102,12721,a473cbfe09db30ddb85963403887c951689b04063a5f3cb3b0706577222ada79,COC(OC)C1CCNc2cc(CC(C)(C)C)nn21,19,5705181091791782349,1000,1000,1.0,971,0.971,104,0.104,0.10710607621009269,971,0.971,104,0.104
17,34,5315,5315,12573,80d36b60f9c6ca93ad232d743000689682c5ac3806b9be013e44d524d96fa695,COc1ccc(Nc2cc(C#N)cc([N+](=O)[O-])c2)c(C)n1,21,3000096279309848848,1000,1000,1.0,999,0.999,88,0.088,0.08808808808808809,999,0.999,88,0.088
17,35,6543,6543,35167,f37683a912e8ea087084d566ad64d87f51528dedbbd959002602d2cb60a09651,Cc1nnc(CN2CCCN(C(=O)C3(C)CCNC3=O)CC2)o1,23,5023326341564841351,1000,1000,1.0,1000,1.0,2,0.002,0.002,1000,1.0,2,0.002
18,36,4868,4868,33910,16c2bb28eadaa4707488acb85f36bcc37a3821d9ecd2592794ea74db9c881457,Cc1nc(N2CC[NH+](C3CCOCC3)CC2C)c2c(CC(C)C)csc2n1,27,9169294009198864663,1000,1000,1.0,743,0.743,59,0.059,0.07940780619111709,743,0.743,59,0.059
18,37,5388,5388,36219,e786f2070b3163b5e8f52d4597e35a968ad42a5283de210e072d196984b176e8,CCC1CN(CCNC(=O)NC(C2CCCCC2)C(F)(F)F)CCO1,25,931949357053616582,1000,1000,1.0,998,0.998,4,0.004,0.004008016032064128,998,0.998,4,0.004
19,38,6498,6498,19902,d3602b28ce50c6caab970f89c8e572bd4d97d2a6a04f1b592d9f15c0f459ff13,CC(C)S(=O)(=O)N1CCCC(c2ncc3c(n2)CCCC3=O)C1,23,6229382936771065178,1000,1000,1.0,994,0.994,8,0.008,0.008048289738430584,994,0.994,8,0.008
19,39,4800,4800,9412,b456ceb977a06735d2f4269efdbfb4127c9aced9c155dfc79a62f2854687c2ae,C[NH+]1CCCC1C(=O)NCCCOCCNC(=O)C1(C)CC1,22,6551062213678340625,1000,1000,1.0,1000,1.0,4,0.004,0.004,1000,1.0,4,0.004
20,40,7207,7207,42333,33172ac7c8b8fd95b1636c11b38195d5ec1d13bc3de7e740302fe22fe07d99f6,Nc1ccc(N(CCO)c2cnc(N)cc2C(F)(F)F)cc1,22,6762244318166980959,1000,1000,1.0,988,0.988,23,0.023,0.02327935222672065,988,0.988,23,0.023
20,41,5679,5679,5915,184985e8290d94e803fdf624c1e76f6f049543503533eb4ddcf1f42d2cc6f4c9,CC(Sc1nncn1C)C(=O)N(C)Cc1nc2ccccc2[nH]1,23,1219361054766409609,1000,1000,1.0,997,0.997,4,0.004,0.004012036108324975,997,0.997,4,0.004
21,42,5969,5969,33099,641bba3ab039938b69f18ee2ab11cc45048cc5e0e345d28125843450f6cbeac2,Cc1cc(C)c(CC(=O)NC2CC(C)N(C(=O)c3cnco3)C2)s1,24,6569523137957088002,1000,1000,1.0,999,0.999,21,0.021,0.021021021021021023,999,0.999,21,0.021
21,43,5309,5309,18491,a5c3c7c56c3790e8e92280ee87a4c5177ac2716c35eb9ebe5f0da2a9dff34a7d,CCCn1c(SCC2=C(C(=O)O)N3C(=O)C(N)C3SC2)n[nH]c(=O)c1=O,26,5279994389805247478,1000,1000,1.0,753,0.753,353,0.353,0.46879150066401065,753,0.753,353,0.353
22,44,4151,4151,14530,dbce6b477bf2cf2aac448032e3f8862137bf5618da603b24429a60e325188f96,C=CC(=O)OCC(O)COC(C)(C)C,14,8427751636387424320,1000,1000,1.0,1000,1.0,1,0.001,0.001,1000,1.0,1,0.001
22,45,6538,6538,17017,f3002b4852b9af65ae6655a85be999ad100347315ccdcac15736ddb3b9c8cd65,CC1(C)CC(=O)Nc2c(Nc3cccc(C=CC(=O)[O-])c3)cccc21,25,4842419454471514320,1000,1000,1.0,995,0.995,7,0.007,0.007035175879396985,995,0.995,7,0.007
23,46,598,598,48750,ad43df7d9d032428f16994606b7c7ddac650395724ed989e8a7af50c00f18a43,CCCOc1ccnc(-n2cc(C)c(N)n2)n1,17,6728825257784592079,1000,1000,1.0,997,0.997,48,0.048,0.048144433299899696,997,0.997,48,0.048
23,47,6855,6855,32094,1eb4c681f09c99d083e1da3722335bca1a0f38f306933bd20546a6d800f80195,COc1ccc2c(c1)CN(C(=O)c1cccc(-n3ccnc3)c1)CC2,25,3297553673991420623,1000,1000,1.0,888,0.888,10,0.01,0.01126126126126126,888,0.888,10,0.01
24,48,351,351,20969,d1a6d677edc99443b4f3750110117261fe585f875b9fdf8e521d9519970b5dad,CNC(=O)c1ccc(Nc2cc(Br)cnc2Cl)cc1,19,3543559909278697820,1000,1000,1.0,1000,1.0,14,0.014,0.014,1000,1.0,14,0.014
24,49,6198,6198,10937,8b6bbe2b653fc78a1c8f40b793ed0db014d39ce77b7a4462679af865438fd185,COC(=O)C(C)(NC(=O)CC1CN(C(=O)[O-])CCO1)C1CC1,22,321161279300074679,1000,1000,1.0,1000,1.0,10,0.01,0.01,1000,1.0,10,0.01
25,50,4489,4489,14992,e0a0e36bfc51906e28eae08254195d0086f95b0300752bc6fef5baa624fd8464,CSCc1ccc(N2CCCC3(CC[NH+]3Cc3cccc(F)c3)C2)nc1,26,1820147729456058309,1000,1000,1.0,985,0.985,44,0.044,0.04467005076142132,985,0.985,44,0.044
25,51,8626,8626,20660,5a94731e49211d0a33d8ee454e69e2be2bc219a725ffb0d91f941e9469effcba,CCCCC(=O)NCC1CC(NC(=O)c2n[nH]c3c2CCCC3)C1,24,8128535905161380930,1000,1000,1.0,1000,1.0,4,0.004,0.004,1000,1.0,4,0.004
26,52,9346,9346,49886,06a22f7a41ec283a4df246323400e6c8ede50a7bb951fd58f89ae993f8062db4,COC(=O)c1cc(Nc2cnc(C)c(N)c2)ccc1Cl,20,633293637954903962,1000,1000,1.0,1000,1.0,33,0.033,0.033,1000,1.0,33,0.033
26,53,8793,8793,48440,91b9cbc2359c7605e65f3ed57b964806401c1a139e991b76b5cd505335120aee,Cn1c(SCC(=O)NCc2ccccc2)nnc1-c1ccc(O)cc1,25,3278652725343152033,1000,1000,1.0,1000,1.0,4,0.004,0.004,1000,1.0,4,0.004
27,54,6315,6315,7451,85f07ee6dc640545dfbfff668366512a681190118d1b2ca156fd3d08b76794ea,C1=CCC(C[NH+]2CC3CCCC3(c3nc(-c4cnccn4)no3)C2)CC1,26,868797804882369315,1000,1000,1.0,997,0.997,46,0.046,0.04613841524573721,997,0.997,46,0.046
