domain,metric,criterion,direction,step_5000_value,step_5000_gate_reference,step_5000_margin,step_5000_outcome,step_7500_value,step_7500_gate_reference,step_7500_margin,step_7500_outcome,step_10000_value,step_10000_gate_reference,step_10000_margin,step_10000_outcome,step_12500_value,step_12500_gate_reference,step_12500_margin,step_12500_outcome,step_15000_value,step_15000_gate_reference,step_15000_margin,step_15000_outcome
Latent utilization,Effective rank,>= 25,minimum,24.8654488169,25,-0.134551183092,Fail,28.0520691562,25,3.05206915623,Pass,29.973050746,25,4.97305074605,Pass,30.9018734388,25,5.90187343882,Pass,31.1393343888,25,6.13933438885,Pass
Held-out topology,Mean R2,>= 0.90,minimum,0.96734276289,0.9,0.0673427628902,Pass,0.967208183826,0.9,0.0672081838255,Pass,0.967865113786,0.9,0.0678651137862,Pass,0.968177337828,0.9,0.0681773378281,Pass,0.968053265925,0.9,0.0680532659246,Pass
Held-out topology,Median R2,>= 0.95,minimum,0.96871367945,0.95,0.0187136794503,Pass,0.967263463626,0.95,0.0172634636261,Pass,0.967494113358,0.95,0.0174941133576,Pass,0.967766516258,0.95,0.017766516258,Pass,0.967223107426,0.95,0.0172231074257,Pass
Held-out topology,Mean standardized MAE,<= 0.15,maximum,0.112960036058,0.15,0.0370399639417,Pass,0.112914515422,0.15,0.0370854845781,Pass,0.112011564796,0.15,0.0379884352043,Pass,0.111644873611,0.15,0.0383551263889,Pass,0.111871742669,0.15,0.038128257331,Pass
Held-out topology,Scaffold-disjoint mean R2,>= 0.95,minimum,0.967682780114,0.95,0.0176827801143,Pass,0.967514088303,0.95,0.0175140883028,Pass,0.968051871464,0.95,0.0180518714638,Pass,0.968347113449,0.95,0.0183471134485,Pass,0.968186441612,0.95,0.0181864416123,Pass
Retrieval,Morgan recall@10,>= 0.18,minimum,0.18516,0.18,0.00516,Pass,0.19614,0.18,0.01614,Pass,0.20228,0.18,0.02228,Pass,0.20636,0.18,0.02636,Pass,0.2074,0.18,0.0274,Pass
Retrieval,Cosine-Tanimoto Spearman,>= 0.35,minimum,0.439299934701,0.35,0.0892999347006,Pass,0.437089048764,0.35,0.0870890487638,Pass,0.436933694684,0.35,0.0869336946845,Pass,0.437193727564,0.35,0.0871937275641,Pass,0.438028895842,0.35,0.0880288958418,Pass
Retrieval,Neighbor mean Tanimoto,>= 0.20,minimum,0.224386870861,0.2,0.0243868708611,Pass,0.227241441607,0.2,0.0272414416075,Pass,0.229026481509,0.2,0.0290264815092,Pass,0.230042487383,0.2,0.0300424873829,Pass,0.230326443911,0.2,0.0303264439106,Pass
Retrieval,Neighbor-Tanimoto enrichment,>= 1.70-fold,minimum,1.94738733768,1.7,0.247387337685,Pass,1.97216129303,1.7,0.27216129303,Pass,1.98765313625,1.7,0.287653136253,Pass,1.99647080898,1.7,0.296470808983,Pass,1.99893510342,1.7,0.298935103416,Pass
Scaffold neighborhood,Purity enrichment,>= 25-fold,minimum,32.3463660811,25,7.34636608105,Pass,33.3353523746,25,8.33535237463,Pass,33.8002351534,25,8.80023515335,Pass,33.9927025458,25,8.99270254582,Pass,34.158520607,25,9.15852060702,Pass
Clustering,Learned ARI,>= matched Morgan ARI,minimum,0.360509957862,0.317101912974,0.0434080448874,Pass,0.359281178047,0.317101912974,0.0421792650729,Pass,0.362099468911,0.317101912974,0.0449975559366,Pass,0.367215203713,0.317101912974,0.0501132907385,Pass,0.366763655814,0.317101912974,0.0496617428399,Pass
Clustering,Learned NMI,>= Morgan NMI - 0.03,minimum,0.780197569196,0.746556283168,0.0336412860279,Pass,0.781704976417,0.746556283168,0.0351486932487,Pass,0.788421683549,0.746556283168,0.041865400381,Pass,0.793024315932,0.746556283168,0.0464680327634,Pass,0.80008827015,0.746556283168,0.0535319869815,Pass
BACE,Mean ROC-AUC,>= 0.82,minimum,0.840438511067,0.82,0.0204385110672,Pass,0.839100727194,0.82,0.0191007271936,Pass,0.841333873099,0.82,0.0213338730986,Pass,0.846051220016,0.82,0.0260512200156,Pass,0.84358600589,0.82,0.0235860058901,Pass
BBBP,Mean ROC-AUC,>= 0.87,minimum,0.882664290554,0.87,0.0126642905543,Pass,0.88384209774,0.87,0.0138420977399,Pass,0.878948856717,0.87,0.00894885671655,Pass,0.887317235125,0.87,0.0173172351249,Pass,0.882298112723,0.87,0.0122981127231,Pass
ESOL,Mean RMSE,<= 0.80,maximum,0.781154528805,0.8,0.0188454711945,Pass,0.746122439363,0.8,0.0538775606366,Pass,0.73143367431,0.8,0.0685663256904,Pass,0.732972331062,0.8,0.067027668938,Pass,0.734782217098,0.8,0.0652177829025,Pass
FreeSolv,Mean RMSE,<= 1.30,maximum,1.3904499283,1.3,-0.0904499283004,Fail,1.37227285085,1.3,-0.0722728508543,Fail,1.29716362903,1.3,0.00283637096979,Pass,1.32288659527,1.3,-0.0228865952742,Fail,1.30346489959,1.3,-0.00346489958514,Fail
Lipophilicity,Mean RMSE,<= 0.85,maximum,0.803249540428,0.85,0.0467504595718,Pass,0.809174505895,0.85,0.0408254941054,Pass,0.812490685423,0.85,0.0375093145767,Pass,0.812539872508,0.85,0.0374601274917,Pass,0.810532988072,0.85,0.0394670119281,Pass
Overall,Full fail-closed promotion gate,All 17 Table 5 criteria plus protocol and artifact-integrity checks,all,15,17,-2,Fail,16,17,-1,Fail,17,17,0,Pass,16,17,-1,Fail,16,17,-1,Fail
